"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","prevalence","prevalence_U","prevalence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-14,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-15,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-16,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-17,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-18,2,0,NA,0.333333333333333,0,NA,0.333333333333333,0,NA,NA,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,NA,NA,0.333333333333333,0.333333333333333,NA,NA,NA,NA,NA,NA,7.86334141684831e-05,7.86334141684831e-05,7.86334141684831e-05,NA,NA,NA
2020-03-19,2,0,NA,0.571428571428571,0,NA,0.238095238095238,0,NA,NA,0.571428571428571,0.571428571428571,0.238095238095238,0,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,NA,NA,0.238095238095238,0.238095238095238,NA,NA,NA,NA,NA,NA,0.000134800138574542,0.000134800138574542,0.000134800138574542,NA,NA,NA
2020-03-20,2,0,NA,0.857142857142857,0,NA,0.285714285714286,0,NA,NA,64.5064935064935,64.5064935064935,63.9350649350649,0,64.5064935064935,64.5064935064935,64.5064935064935,64.5064935064935,NA,NA,63.9350649350649,63.9350649350649,NA,NA,NA,NA,NA,NA,0.015217097461358,0.015217097461358,0.015217097461358,NA,NA,NA
2020-03-21,2,0,NA,1.14285714285714,0,NA,0.285714285714286,0,NA,NA,86.1515151515152,86.1515151515152,21.6450216450216,0,86.1515151515152,86.1515151515152,86.1515151515152,86.1515151515152,22.0092102069574,6.45382855692737,21.6450216450216,21.6450216450216,NA,NA,NA,NA,10.9218637117232,0.442923293738675,0.0203231633164543,0.0203231633164543,0.0203231633164543,33.5547949802027,10.9218637117232,0.442923293738675
2020-03-22,6,0,NA,2,0,NA,0.857142857142857,0,NA,NA,93.9686845684941,93.9686845684941,7.8171694169789,0,99.380571087941,90.0307120050536,99.380571087941,90.0307120050536,22.095884522102,6.47924433354869,13.2290559364258,3.8791968535384,NA,NA,NA,NA,10.9648750260055,0.994924878146827,0.0221672354776258,0.0234439008199753,0.0212382667949304,9.0737457179143,10.9648750260055,0.994924878146827
2020-03-23,6,0,NA,2.85714285714286,0,NA,0.857142857142857,0,NA,NA,101.75562439377,101.75562439377,7.78693982527574,0,112.558469253792,93.894907707822,112.558469253792,93.894907707822,22.1816627074239,6.50439733525964,13.1778981658512,3.86419570276841,NA,NA,NA,NA,11.0074416442855,0.912148336472795,0.0240041764707837,0.0265525701930117,0.022149831498302,8.28673920576148,11.0074416442855,0.912148336472795
2020-03-24,6,0,NA,3.71428571428571,0,NA,0.857142857142857,0,NA,NA,109.512883865292,109.512883865292,7.75725947152176,0,125.686139128675,97.7443748139907,125.686139128675,97.7443748139907,22.2665328343579,6.5292840642102,13.127669874883,3.84946710616869,NA,NA,NA,NA,11.049557647125,0.842337907359272,0.0258341158612934,0.0296493907000281,0.0230579217221639,7.62342083569065,11.049557647125,0.842337907359272
2020-03-25,7,0,NA,4.42857142857143,0,NA,0.714285714285714,0,NA,NA,115.952986121043,115.952986121043,6.4401022557514,0,136.584773715331,100.94021503113,136.584773715331,100.94021503113,22.3504826822971,6.55390093691418,10.8986345866562,3.19584021713979,NA,NA,NA,NA,11.0912169701625,0.652221394254319,0.027353337545185,0.0322203812419986,0.0238118212043959,5.88067999713456,11.0912169701625,0.652221394254319
2020-03-26,10,0,NA,5.57142857142857,0,NA,1.14285714285714,0,NA,NA,126.219020953998,126.219020953998,10.2660348329547,0,153.958063432639,106.034638331694,153.958063432639,106.034638331694,22.4334939487776,6.57824258648366,17.373289717308,5.094423300564,NA,NA,NA,NA,11.1324105309724,0.985589208291184,0.0297750976518484,0.036318744499429,0.0250135968964243,8.85361832962029,11.1324105309724,0.985589208291184
2020-03-27,13,0,NA,7.14285714285714,0,NA,1.57142857142857,0,NA,NA,140.283376460468,140.283376460468,14.0643555064707,0,177.75928044359,113.013942567988,177.75928044359,113.013942567988,22.5155476566968,6.60230344820432,23.8012170109504,6.97930423629373,NA,NA,NA,NA,11.1731289123458,1.24495177459292,0.0330928825265077,0.041933457364237,0.0266600164582853,11.1428177783099,11.1731289123458,1.24495177459292
2020-03-28,13,0,NA,8.71428571428571,0,NA,1.57142857142857,0,NA,NA,154.297268155851,154.297268155851,14.013891695383,0,201.475097158853,119.968204612314,201.475097158853,119.968204612314,22.5966258017389,6.62607824261518,23.7158167152635,6.9542620443254,NA,NA,NA,NA,11.2133631798103,1.12012758144095,0.0363987629758937,0.0475280242785825,0.0283005285609881,9.9897023075518,11.2133631798103,1.12012758144095
2020-03-29,20,0,NA,10.7142857142857,0,NA,2,0,NA,NA,172.070138715006,172.070138715006,17.772870559155,0,231.5522627205,128.787824589037,231.5522627205,128.787824589037,22.6767140225807,6.64956275850112,30.077165561647,8.81961997672356,NA,NA,NA,NA,11.2531062066942,1.2961279746117,0.0405913874508163,0.0546232349284516,0.0303810790523031,11.5185905567707,11.2531062066942,1.2961279746117
2020-03-30,20,0,NA,12.7142857142857,0,NA,2,0,NA,NA,189.781233936456,189.781233936456,17.7110952214494,0,261.524885402953,137.57678913502,261.524885402953,137.57678913502,22.7558091688313,6.67275607206331,29.9726226824529,8.78896454598242,NA,NA,NA,NA,11.2923564296456,1.16224481676126,0.0447694391085933,0.0616937838877665,0.0324543979200722,10.2929510917543,11.2923564296456,1.16224481676126
2020-03-31,26,0,NA,15.5714285714286,0,NA,2.85714285714286,0,NA,NA,214.996253037579,214.996253037579,25.2150191011236,0,304.19645618947,150.08950538069,304.19645618947,150.08950538069,22.8339139244166,6.69565897031764,42.6715707865168,12.5127162456703,NA,NA,NA,NA,11.3311151805375,1.5053913911441,0.0507176682293279,0.0717600177843943,0.0354061507168277,13.2863606048458,11.3311151805375,1.5053913911441
2020-04-01,26,0,NA,18.2857142857143,0,NA,2.71428571428571,0,NA,NA,238.869880882879,238.869880882879,23.8736278452995,0,344.597980235362,161.936568822718,344.597980235362,161.936568822718,22.911042281217,6.71827555614635,40.4015240458914,11.8470634420283,NA,NA,NA,NA,11.3693894027092,1.26238761349415,0.0563494628275189,0.0812907471044098,0.0382008758557796,11.1042064724386,11.3693894027092,1.26238761349415
2020-04-02,37,0,NA,22.1428571428571,0,NA,3.85714285714286,0,NA,NA,272.683143910534,272.683143910534,33.8132630276552,0,401.820425359086,178.716082806367,401.820425359086,178.716082806367,22.9872144145631,6.74061174562375,57.2224451237242,16.7795139836484,NA,NA,NA,NA,11.4071891079787,1.61462028380466,0.0643260197756433,0.0947895357858511,0.0421591672736459,14.1555155060484,11.4071891079787,1.61462028380466
2020-04-03,55,0,NA,28.1428571428571,0,NA,6,0,NA,NA,325.109930814911,325.109930814911,52.4267869043765,0,490.542680120338,204.732383074704,490.542680120338,204.732383074704,23.0624644477302,6.76267754482313,88.7222547612525,26.0163002683373,NA,NA,NA,NA,11.4445312297007,2.2001731694731,0.0766935115201673,0.115719137199661,0.0482964188160412,19.2262661169762,11.4445312297007,2.2001731694731
