"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-14,1,0,NA,0.5,0,NA,0.5,0,NA,NA,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,5.94701447979086e-05,5.94701447979086e-05,5.94701447979086e-05,NA,NA,NA
2020-03-15,1,0,NA,0.666666666666667,0,NA,0.166666666666667,0,NA,NA,0.666666666666667,0.666666666666667,0.166666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,NA,NA,0.166666666666667,0.166666666666667,NA,NA,NA,NA,NA,NA,7.92935263972114e-05,7.92935263972114e-05,7.92935263972114e-05,NA,NA,NA
2020-03-16,2,0,NA,1,0,NA,0.333333333333333,0,NA,NA,1,1,0.333333333333333,0,1,1,1,1,NA,NA,0.333333333333333,0.333333333333333,NA,NA,NA,NA,NA,NA,0.000118940289595817,0.000118940289595817,0.000118940289595817,NA,NA,NA
2020-03-17,3,0,NA,1.4,0,NA,0.4,0,NA,NA,1.4,1.4,0.4,0,1.4,1.4,1.4,1.4,NA,NA,0.4,0.4,NA,NA,NA,NA,NA,NA,0.000166516405434144,0.000166516405434144,0.000166516405434144,NA,NA,NA
2020-03-18,3,0,NA,1.66666666666667,0,NA,0.266666666666667,0,NA,NA,1.66666666666667,1.66666666666667,0.266666666666667,0,1.66666666666667,1.66666666666667,1.66666666666667,1.66666666666667,NA,NA,0.266666666666667,0.266666666666667,NA,NA,NA,NA,NA,NA,0.000198233815993029,0.000198233815993029,0.000198233815993029,NA,NA,NA
2020-03-19,6,0,NA,2.28571428571429,0,NA,0.619047619047619,0,NA,NA,2.28571428571429,2.28571428571429,0.619047619047619,0,2.28571428571429,2.28571428571429,2.28571428571429,2.28571428571429,NA,NA,0.619047619047619,0.619047619047619,NA,NA,NA,NA,NA,NA,0.000271863519076153,0.000271863519076153,0.000271863519076153,NA,NA,NA
2020-03-20,6,0,NA,3.14285714285714,0,NA,0.857142857142857,0,NA,NA,3.14285714285714,3.14285714285714,0.857142857142857,0,3.14285714285714,3.14285714285714,3.14285714285714,3.14285714285714,NA,NA,0.857142857142857,0.857142857142857,NA,NA,NA,NA,NA,NA,0.000373812338729711,0.000373812338729711,0.000373812338729711,NA,NA,NA
2020-03-21,7,0,NA,4,0,NA,0.857142857142857,0,NA,NA,4,4,0.857142857142857,0,4,4,4,4,NA,NA,0.857142857142857,0.857142857142857,NA,NA,NA,NA,NA,NA,0.000475761158383268,0.000475761158383268,0.000475761158383268,NA,NA,NA
2020-03-22,7,0,NA,4.85714285714286,0,NA,0.857142857142857,0,NA,NA,4.85714285714286,4.85714285714286,0.857142857142857,0,4.85714285714286,4.85714285714286,4.85714285714286,4.85714285714286,NA,NA,0.857142857142857,0.857142857142857,NA,NA,NA,NA,NA,NA,0.000577709978036826,0.000577709978036826,0.000577709978036826,NA,NA,NA
2020-03-23,9,0,NA,5.85714285714286,0,NA,1,0,NA,NA,64.9350649350649,64.9350649350649,60.0779220779221,0,64.9350649350649,15.5982814178303,41.4871794871795,15.5982814178303,NA,NA,36.6300366300366,10.7411385606874,NA,NA,NA,NA,NA,NA,0.00772339542829981,0.00493449714271877,0.00185526410903379,NA,NA,NA
2020-03-24,10,0,NA,6.85714285714286,0,NA,1,0,NA,NA,129.87012987013,129.87012987013,64.935064935065,0,129.87012987013,37.0805585392052,114.747252747253,37.0805585392052,52.0116870949727,15.7176748463099,73.2600732600733,21.4822771213749,NA,NA,NA,NA,25.8103108892346,1.54,0.0154467908565996,0.0136480714720827,0.00441037237102771,100,25.8103108892346,1.54
2020-03-25,16,0,NA,8.71428571428571,0,NA,1.85714285714286,0,NA,NA,137.065482398477,137.065482398477,7.19535252834737,0,137.065482398477,40.6511846059039,126.562886263675,40.6511846059039,52.0116870949727,15.7176748463099,11.8156335164222,3.5706260666987,NA,NA,NA,NA,25.8103108892346,1.43,0.0163026081700653,0.015053426344284,0.00483506366943923,5.54042144682747,25.8103108892346,1.43
2020-03-26,28,0,NA,11.8571428571429,0,NA,3.14285714285714,0,NA,NA,149.242232831065,149.242232831065,12.1767504325879,0,149.242232831065,46.6937825649324,146.558573753005,46.6937825649324,52.0116870949727,15.7176748463099,19.9956874893299,6.04259795902857,NA,NA,NA,NA,25.8103108892346,2.29296033389371,0.0177509143928533,0.0174317192049323,0.00555377202059718,8.88389273470587,25.8103108892346,2.29296033389371
2020-03-27,28,0,NA,15,0,NA,3.14285714285714,0,NA,NA,161.418983263653,161.418983263653,12.1767504325879,0,166.554261242335,52.736380523961,166.554261242335,52.736380523961,52.0116870949727,15.7176748463099,19.9956874893299,6.04259795902857,NA,NA,NA,NA,25.8103108892346,2.10587652250868,0.0191992206156412,0.0198100120655807,0.00627248037175513,8.15905136341089,25.8103108892346,2.10587652250868
2020-03-28,38,0,NA,19.4285714285714,0,NA,4.42857142857143,0,NA,NA,178.577131600481,178.577131600481,17.1581483368284,0,194.730002704572,61.2509503753194,194.730002704572,61.2509503753194,52.0116870949727,15.7176748463099,28.1757414622375,8.51456985135843,NA,NA,NA,NA,25.8103108892346,2.74352578552551,0.0212400157477516,0.0231612429146761,0.00728520577565952,10.6295727986362,25.8103108892346,2.74352578552551
2020-03-29,42,0,NA,24.4285714285714,0,NA,5,0,NA,NA,197.949234561417,197.949234561417,19.3721029609353,0,226.541323710324,70.8641744010467,226.541323710324,70.8641744010467,52.0116870949727,15.7176748463099,31.8113210057521,9.61322402572728,NA,NA,NA,NA,25.8103108892346,2.79991057936028,0.0235441392840052,0.0269448906475257,0.00842860542522898,10.8480312049558,25.8103108892346,2.79991057936028
2020-03-30,42,0,NA,29.1428571428571,0,NA,4.71428571428572,0,NA,NA,216.214360210298,216.214360210298,18.2651256488818,0,256.534854944319,79.9280713395896,256.534854944319,79.9280713395896,52.0116870949727,15.7176748463099,29.9935312339948,9.06389693854285,NA,NA,NA,NA,25.8103108892346,2.38156299251717,0.0257165986181872,0.0305123299384983,0.00950666795196591,9.22717669979916,25.8103108892346,2.38156299251717
2020-03-31,53,0,NA,35.2857142857143,0,NA,6.14285714285714,0,NA,NA,240.014372419448,240.014372419448,23.800012209149,0,295.6173350371,91.7386037140545,295.6173350371,91.7386037140545,52.0116870949727,15.7176748463099,39.0824800927812,11.8105323744649,NA,NA,NA,NA,25.8103108892346,2.84109581661568,0.0285473789627274,0.0351608114388564,0.0109114160928655,11.0076001362723,25.8103108892346,2.84109581661568
2020-04-01,57,0,NA,41.1428571428571,0,NA,5.85714285714286,0,NA,NA,262.707407316543,262.707407316543,22.6930348970956,0,332.882025358124,102.999809001335,332.882025358124,102.999809001335,52.0116870949727,15.7176748463099,37.2646903210239,11.2612052872805,NA,NA,NA,0,25.8103108892346,2.44033005111334,0.0312464951051959,0.0395930844973374,0.0122508271109326,9.45486500176638,25.8103108892346,2.44033005111334
2020-04-02,75,0,NA,47.8571428571429,0,NA,6.71428571428571,0,NA,NA,288.721374149799,288.721374149799,26.0139668332559,0,375.60008499442,115.908995550169,375.60008499442,115.908995550169,52.0116870949727,15.7176748463099,42.7180596362956,12.9091865488338,NA,NA,NA,0,25.8103108892346,2.55580372965863,0.0343406038538794,0.0446739828814498,0.0137862494974973,9.9022585997779,25.8103108892346,2.55580372965863
2020-04-03,85,0,NA,56,0,NA,8.14285714285715,0,NA,NA,320.270227543322,320.270227543322,31.5488533935231,0,427.407093489502,131.564817534925,427.407093489502,131.564817534925,52.0116870949727,15.7176748463099,51.807008495082,15.6558219847558,NA,NA,NA,0,25.8103108892346,2.82031670389333,0.038093033612921,0.0508359234749478,0.0156483574982248,10.9270931140534,25.8103108892346,2.82031670389333
2020-04-04,103,0,NA,65.2857142857143,0,NA,9.28571428571429,0,NA,NA,356.246990185059,356.246990185059,35.9767626417369,0,486.485261071613,149.417947868418,486.485261071613,149.417947868418,52.0116870949727,15.7176748463099,59.0781675821111,17.8531303334935,NA,NA,NA,0,25.8103108892346,2.89933733676766,0.0423721201802491,0.0578626978359543,0.0177718139902824,11.2332522812694,25.8103108892346,2.89933733676766
2020-04-05,113,0,NA,75.4285714285714,0,NA,10.1428571428571,0,NA,NA,395.544684762956,395.544684762956,39.2976945778972,0,551.016797968996,168.919059463465,551.016797968996,168.919059463465,52.0116870949727,15.7176748463099,64.5315368973829,19.5011115950468,NA,NA,NA,0,25.8103108892346,2.84714184885836,0.0470461993537922,0.0655380975225922,0.0200912818508376,11.0310250080943,25.8103108892346,2.84714184885836
2020-04-06,132,0,NA,88.2857142857143,0,NA,12.8571428571429,0,NA,NA,445.358663805361,445.358663805361,49.813979042405,0,632.817337698073,193.638778386764,632.817337698073,193.638778386764,52.0116870949727,15.7176748463099,81.8005397290768,24.7197189232987,NA,NA,NA,0,25.8103108892346,3.25049061520014,0.0529710884470158,0.0752674774070627,0.0230314523783019,12.5937677742422,25.8103108892346,3.25049061520014
2020-04-07,132,0,NA,99.5714285714286,0,NA,11.2857142857143,0,NA,NA,489.084267631472,489.084267631472,43.725603826111,0,704.620033682484,215.337198330548,704.620033682484,215.337198330548,52.0116870949727,15.7176748463099,71.8026959844118,21.6984199437844,NA,NA,NA,0,25.8103108892346,2.53407314214652,0.0581718244288454,0.0838077108612091,0.0256122687301873,9.81806516404062,25.8103108892346,2.53407314214652
2020-04-08,153,0,NA,113.285714285714,0,NA,13.7142857142857,0,NA,NA,541.719178610037,542.219178610037,53.1349109785652,0.5,791.373942726833,241.2048985154,791.873942726833,241.7048985154,52.0116870949727,15.7176748463099,87.2539090443487,26.367700184852,NA,NA,NA,0,25.8103108892346,2.80407418964854,0.0644917061282839,0.094185716071311,0.0287484506261492,10.8641627823945,25.8103108892346,2.80407418964854
2020-04-09,192,0,NA,130,0,NA,16.7142857142857,0,NA,NA,606.310684698497,606.977351365164,64.7581727551265,0.166666666666667,897.547977707966,273.173866449022,898.214644374633,273.840533115688,52.0116870949727,15.7176748463099,106.3407016478,32.1356346002883,NA,NA,NA,0,25.8103108892346,3.0854151697512,0.0721940619494746,0.106833909921123,0.0325706723118529,11.9541960691304,25.8103108892346,3.0854151697512
2020-04-10,225,1,NA,150,0.142857142857143,NA,20,0.142857142857143,NA,NA,683.322906066048,684.465763208905,77.488411843741,0.333333333333333,1024.31707125478,311.15057207574,1025.45992839764,312.293429218597,52.0116870949727,15.7176748463099,127.245284023008,38.4528961029091,NA,NA,NA,1.54,25.8103108892346,3.29863888345387,0.0814105560944891,0.121968500852521,0.0371442709101308,12.7803144162426,25.8103108892346,3.29863888345387
