"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-14,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-15,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-16,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-17,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-18,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-19,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-20,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-21,0,0,NA,0,0,NA,0,0,NA,NA,63.9350649350649,63.9350649350649,63.9350649350649,0,63.9350649350649,63.9350649350649,63.9350649350649,63.9350649350649,NA,NA,63.9350649350649,63.9350649350649,NA,NA,NA,NA,NA,NA,0.00738332202788706,0.00738332202788706,0.00738332202788706,NA,NA,NA
2020-03-22,2,0,NA,0.285714285714286,0,NA,0.285714285714286,0,NA,NA,85.5800865800866,85.5800865800866,21.6450216450216,0,85.5800865800866,85.5800865800866,85.5800865800866,85.5800865800866,41.3903356056474,12.1370157039117,21.6450216450216,21.6450216450216,NA,NA,NA,NA,20.539565037389,0.446881982530977,0.00988292322901343,0.00988292322901343,0.00988292322901343,33.8546956462861,20.539565037389,0.446881982530977
2020-03-23,2,0,NA,0.571428571428571,0,NA,0.285714285714286,0,NA,NA,86.9711300865785,86.9711300865785,1.39104350649193,0,87.9341602064575,86.270378846466,87.9341602064575,86.270378846466,41.3903356056475,12.1370157039117,2.35407362637095,0.690292266379458,NA,NA,NA,NA,20.539565037389,0.333856037230007,0.0100435631247211,0.010154775360211,0.0099626392674849,1.62542895442175,20.539565037389,0.333856037230007
2020-03-24,2,0,NA,0.857142857142857,0,NA,0.285714285714286,0,NA,NA,88.3621735930704,88.3621735930704,1.39104350649193,0,90.2882338328285,86.9606711128455,90.2882338328285,86.9606711128455,41.3903356056475,12.1370157039117,2.35407362637096,0.690292266379458,NA,NA,NA,NA,20.539565037389,0.328516239158743,0.0102042030204287,0.0104266274914086,0.0100423553059564,1.59943133440621,20.539565037389,0.328516239158743
2020-03-25,7,0,NA,1.85714285714286,0,NA,1,0,NA,NA,93.2308258657922,93.2308258657922,4.86865227272175,0,98.5274915251268,89.3766940451736,98.5274915251268,89.3766940451736,41.3903356056475,12.1370157039117,8.23925769229835,2.41602293232809,NA,NA,NA,NA,20.539565037389,1.13170597704539,0.0107664426554055,0.0113781099506001,0.0103213614406065,5.50988287719482,20.539565037389,1.13170597704539
2020-03-26,9,0,NA,3.14285714285714,0,NA,1.28571428571429,0,NA,NA,99.4905216450059,99.4905216450059,6.25969577921367,0,109.120822843796,92.4830092438811,109.120822843796,92.4830092438811,41.3903356056475,12.1370157039117,10.5933313186693,3.10631519870753,NA,NA,NA,NA,20.539565037389,1.37906564033349,0.01148932218609,0.0126014445409892,0.0106800836137281,6.7141910640421,20.539565037389,1.37906564033349
2020-03-27,11,0,NA,4.71428571428571,0,NA,1.57142857142857,0,NA,NA,107.141260930711,107.141260930711,7.65073928570561,0,122.068227788836,96.2796167089681,122.068227788836,96.2796167089681,41.3903356056475,12.1370157039117,12.9474049450402,3.79660746508699,NA,NA,NA,NA,20.539565037389,1.57947565802863,0.0123728416124821,0.0140966312625758,0.0111185218253212,7.68991775216977,20.539565037389,1.57947565802863
2020-03-28,18,0,NA,7.28571428571429,0,NA,2.57142857142857,0,NA,NA,119.660652489139,119.660652489139,12.5193915584273,0,143.254890426175,102.492247106383,143.254890426175,102.492247106383,41.3903356056475,12.1370157039117,21.1866626373386,6.21263039741507,NA,NA,NA,NA,20.539565037389,2.40003575568475,0.013818600673851,0.016543300443354,0.0118359661715644,11.684939536528,20.539565037389,2.40003575568475
2020-03-29,27,0,NA,10.8571428571429,0,NA,3.57142857142857,0,NA,NA,137.048696320288,137.048696320288,17.3880438311491,0,172.680810755812,111.120900436126,172.680810755812,111.120900436126,41.3903356056475,12.1370157039117,29.4259203296369,8.62865332974317,NA,NA,NA,NA,20.539565037389,2.98463070118453,0.0158265993701967,0.0199414520833236,0.0128324166524578,14.5311290465572,20.539565037389,2.98463070118453
2020-03-30,28,0,NA,14.5714285714286,0,NA,3.71428571428571,0,NA,NA,155.132261904683,155.132261904683,18.0835655843951,0,203.283767898634,120.094699899059,203.283767898634,120.094699899059,41.3903356056475,12.1370157039117,30.6029571428224,8.9737994629329,NA,NA,NA,NA,20.539565037389,2.71019412370424,0.0179149180143963,0.0234755297888921,0.0138687251525869,13.1949927798898,20.539565037389,2.71019412370424
2020-03-31,38,0,NA,19.7142857142857,0,NA,5.14285714285714,0,NA,NA,180.171045021538,180.171045021538,25.0387831168547,0,245.657093173312,132.519960693889,245.657093173312,132.519960693889,41.3903356056475,12.1370157039117,42.3733252746772,12.4252607948301,NA,NA,NA,NA,20.539565037389,3.31514352960124,0.0208064361371341,0.0283688681504484,0.0153036138450733,16.1402810797918,20.539565037389,3.31514352960124
2020-04-01,46,0,NA,25.2857142857143,0,NA,5.57142857142857,0,NA,NA,207.29639339813,207.29639339813,27.1253483765926,0,291.561528887545,145.980659888289,291.561528887545,145.980659888289,41.3903356056475,12.1370157039117,45.9044357142336,13.4606991943993,NA,NA,NA,NA,20.539565037389,3.0922996371379,0.0239389141034334,0.0336699847088011,0.016858076595267,15.0553316562881,20.539565037389,3.0922996371379
2020-04-02,62,0,NA,32.8571428571429,0,NA,7.57142857142857,0,NA,NA,244.159046320166,244.159046320166,36.8626529220361,0,353.944479986375,164.273404947344,353.944479986375,164.273404947344,41.3903356056475,12.1370157039117,62.3829510988303,18.2927450590555,NA,NA,NA,NA,20.539565037389,3.65246517187928,0.0281958713396863,0.0408740661855368,0.0189705516147609,17.7825828601071,20.539565037389,3.65246517187928
2020-04-03,79,0,NA,42.5714285714286,0,NA,9.71428571428572,0,NA,NA,291.454525540892,291.454525540892,47.2954792207256,0,433.982983282988,187.743342004246,433.982983282988,187.743342004246,41.3903356056475,12.1370157039117,80.0385032966125,23.4699370569014,NA,NA,NA,NA,20.539565037389,3.97867122299755,0.0336576277937467,0.0501170386462543,0.0216808969227908,19.3707666922596,20.539565037389,3.97867122299755
2020-04-04,86,0,NA,52.2857142857143,0,NA,9.71428571428572,0,NA,NA,338.750004761617,338.750004761617,47.2954792207256,0,514.0214865796,211.213279061147,514.0214865796,211.213279061147,41.3903356056475,12.1370157039117,80.0385032966126,23.4699370569014,NA,NA,NA,NA,20.539565037389,3.33303649900704,0.039119384247807,0.0593600111069718,0.0243912422308208,16.2273957259552,20.539565037389,3.33303649900704
