"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","prevalence","prevalence_U","prevalence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-14,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-15,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-16,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-17,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-18,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-19,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-20,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
2020-03-21,1,0,NA,0.142857142857143,0,NA,0.142857142857143,0,NA,NA,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,NA,NA,0.142857142857143,0.142857142857143,NA,NA,NA,NA,NA,NA,3.94344313850752e-05,3.94344313850752e-05,3.94344313850752e-05,NA,NA,NA
2020-03-22,1,0,NA,0.285714285714286,0,NA,0.142857142857143,0,NA,NA,0.285714285714286,0.285714285714286,0.142857142857143,0,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,NA,NA,0.142857142857143,0.142857142857143,NA,NA,NA,NA,NA,NA,7.88688627701505e-05,7.88688627701505e-05,7.88688627701505e-05,NA,NA,NA
2020-03-23,1,0,NA,0.428571428571429,0,NA,0.142857142857143,0,NA,NA,0.428571428571429,0.428571428571429,0.142857142857143,0,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,NA,NA,0.142857142857143,0.142857142857143,NA,NA,NA,NA,NA,NA,0.000118303294155226,0.000118303294155226,0.000118303294155226,NA,NA,NA
2020-03-24,6,0,NA,1.28571428571429,0,NA,0.857142857142857,0,NA,NA,2,2,1.57142857142857,0,2,2,2,2,NA,NA,1.57142857142857,1.57142857142857,NA,NA,NA,NA,NA,NA,0.000552082039391054,0.000552082039391054,0.000552082039391054,NA,NA,NA
2020-03-25,10,0,NA,2.71428571428571,0,NA,1.42857142857143,0,NA,NA,3.71428571428571,3.71428571428571,1.71428571428571,0,3.71428571428571,3.71428571428571,3.71428571428571,3.71428571428571,88.2343461755464,25.8732293296715,1.71428571428571,1.71428571428571,NA,NA,NA,NA,43.7854650194441,71.4285714285714,0.00102529521601196,0.00102529521601196,0.00102529521601196,85.7142857142857,43.7854650194441,71.4285714285714
2020-03-26,14,0,NA,4.71428571428571,0,NA,2,0,NA,NA,10.2360078695149,10.2360078695149,6.52172215522915,0,14.7510462846735,6.95062903943702,14.7510462846735,6.95062903943702,88.2482583740439,25.8773088465241,11.0367605703878,3.23634332515131,NA,NA,NA,NA,43.7923688171947,53.8461538461539,0.00282555804991232,0.00407189385799718,0.00191865872757154,175.584827256169,43.7923688171947,53.8461538461539
2020-03-27,18,0,NA,7.28571428571429,0,NA,2.57142857142857,0,NA,NA,16.7556731798082,16.7556731798082,6.51966531029334,0,25.7843260405545,10.1859516746202,25.7843260405545,10.1859516746202,88.2621732505535,25.8813891486585,11.033279755881,3.23532263518316,NA,NA,NA,NA,43.7992739438837,25.1214563029644,0.00462525311023925,0.0071175316523966,0.00281174048683151,63.6934378461194,43.7992739438837,25.1214563029644
2020-03-28,21,0,NA,10.1428571428571,0,NA,2.85714285714286,0,NA,NA,23.2779100691675,23.2779100691675,6.52223688935931,0,36.8219576994703,13.4225504317459,36.8219576994703,13.4225504317459,88.2760907836534,25.8854702297931,11.0376316589158,3.23659875712567,NA,NA,NA,NA,43.8061803888806,17.0518375797631,0.00642565803187377,0.0101643707505473,0.00370517450809376,38.925543721031,43.8061803888806,17.0518375797631
2020-03-29,22,0,NA,13.1428571428571,0,NA,3,0,NA,NA,30.1251790639714,30.1251790639714,6.84726899480389,0,48.4096436906769,16.8204433163854,48.4096436906769,16.8204433163854,88.2900109524278,25.8895520837946,11.5876859912066,3.39789288463952,NA,NA,NA,NA,43.8130881418063,12.8877916295896,0.008315785147329,0.0133630474074716,0.00464313232478583,29.4153082233674,43.8130881418063,12.8877916295896
2020-03-30,22,0,NA,16.1428571428571,0,NA,3,0,NA,NA,36.9713684574035,36.9713684574035,6.84618939343211,0,59.9955026641774,20.2178004589908,59.9955026641774,20.2178004589908,88.3039337365433,25.8936347047007,11.5858589735005,3.39735714260541,NA,NA,NA,NA,43.8199971925704,9.95847669121856,0.0102056142485207,0.0165612197325652,0.0055809422547005,22.7258048122937,43.8199971925704,9.95847669121856
2020-03-31,34,0,NA,20.1428571428571,0,NA,4,0,NA,NA,48.2375091208729,48.2375091208729,11.2661406634694,0,79.2930890726618,24.7468957518682,79.2930890726618,24.7468957518682,88.3178591161573,25.8977180866928,19.2975864084844,4.52909529287743,NA,NA,NA,NA,43.8269075313262,10.8192157647024,0.013315531205298,0.0218881451624258,0.0068311583376446,30.4726093015725,43.8269075313262,10.8192157647024
2020-04-01,34,0,NA,23.5714285714286,0,NA,3.42857142857143,0,NA,NA,56.0592583893009,56.0592583893009,7.82174926842798,0,92.5298955269245,28.6283653136445,92.5298955269245,28.6283653136445,88.3317870719666,25.9018022241105,13.2368064542627,3.88146956177629,NA,NA,NA,NA,43.8338191484947,7.10770890496899,0.0154746548491576,0.0255420467135728,0.00790260315339448,16.215077044771,43.8338191484947,7.10770890496899
2020-04-02,40,0,NA,27.2857142857143,0,NA,3.71428571428571,0,NA,NA,64.5314839701671,64.5314839701671,8.47222558086625,0,106.867508048391,32.8326276319691,106.867508048391,32.8326276319691,88.3457175851446,25.9058871114334,14.337612521466,4.20426231832461,NA,NA,NA,NA,43.8407320347334,6.62566178267089,0.0178133366375905,0.0294998158939976,0.00906315201081228,15.1129819128738,43.8407320347334,6.62566178267089
2020-04-03,41,0,NA,30.5714285714286,0,NA,3.28571428571429,0,NA,NA,72.0249632601483,72.0249632601483,7.49347928998117,0,119.548780692974,36.5511963021853,119.548780692974,36.5511963021853,88.3596506373846,25.9099727432932,12.6812726445835,3.71856867021622,NA,NA,NA,NA,43.8476461809578,5.09166049220662,0.0198818443018642,0.0330003673258455,0.0100896294983466,11.6121291948677,43.8476461809578,5.09166049220662
2020-04-04,47,0,NA,34.2857142857143,0,NA,3.71428571428571,0,NA,NA,80.4945171232119,80.4945171232119,8.46955386306358,0,133.881871845851,40.7541328056605,133.881871845851,40.7541328056605,88.3735862108454,25.9140591144584,14.3330911528769,4.20293650347516,NA,NA,NA,NA,43.8545615783143,5.15695740483097,0.0222197885865904,0.0369568884230745,0.0112498123764814,11.7591922018374,43.8545615783143,5.15695740483097
2020-04-05,53,0,NA,38.7142857142857,0,NA,4.42857142857143,0,NA,NA,90.5912389129819,90.5912389129819,10.09672178977,0,150.968631797769,45.7645360998321,150.968631797769,45.7645360998321,88.3875242881753,25.9181462198409,17.0867599519185,5.01040329417157,NA,NA,NA,NA,43.8614782181922,5.50172171834455,0.0250068979650206,0.0416735350634948,0.0126328892108904,12.5433658721315,43.8614782181922,5.50172171834455
