"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","prevalence","prevalence_U","prevalence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-15,162,0,0,162,0,0,NA,NA,NA,NA,27337.6623376623,27337.6623376623,NA,NA,27337.6623376623,27337.6623376623,27337.6623376623,27337.6623376623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0129531981248734,0.0129531981248734,0.0129531981248734,NA,NA,NA
2020-03-16,200,0,1,181,0,0.5,19,0,0.5,NA,33116.8831168831,33116.8831168831,5779.22077922078,0,33116.8831168831,33116.8831168831,33116.8831168831,33116.8831168831,3.50018952006173,1.02637136302562,5779.22077922078,5779.22077922078,NA,NA,NA,NA,1.73693615281259,0.0695011876484561,0.0156915226690865,0.0156915226690865,0.0156915226690865,21.1401425178147,1.73693615281259,0.0695011876484561
2020-03-17,321,1,2,227.666666666667,0.333333333333333,1,46.6666666666667,0.333333333333333,0.5,NA,35747.8205800032,35748.1539133366,2631.27079645343,0,37569.4695929325,34422.2931863011,37569.8029262658,34422.6265196344,3.57395385405246,1.04800150607553,4452.91980938272,1305.74340275132,NA,NA,NA,NA,1.77354101028167,0.140915032679739,0.0169382778424321,0.0178014160393637,0.0163102132062355,7.94540593438878,1.77354101028167,0.140915032679739
2020-03-18,372,3,2,263.75,1,1.25,36.0833333333333,0.666666666666667,0.25,NA,37739.7082088677,37740.7082088677,1992.55429553118,0,40940.817887934,35410.4128617777,40941.817887934,35411.4128617777,3.64925482841109,1.07008224291754,3372.01496166814,988.786342143299,NA,NA,NA,NA,1.81090841109122,0.100938470606246,0.0178823947989513,0.0193991524273192,0.0167787223726285,5.57391825068569,1.81090841109122,0.100938470606246
2020-03-19,621,6,2,335.2,2,1.4,71.45,1,0.15,NA,41602.8451343217,41604.8451343217,3864.13692545393,0,47479.1265310099,37326.9544939579,47481.1265310099,37328.9544939579,3.72612509689112,1.09262314871243,6539.30864307588,1917.54163218015,NA,NA,NA,NA,1.8490545593595,0.189322895894344,0.0197133096211044,0.0224976236648091,0.0176872966452759,10.2389157437788,1.8490545593595,0.189322895894344
2020-03-20,793,11,2,411.5,3.5,1.5,76.3,1.5,0.1,NA,45642.6672587315,45646.1672587315,4041.32212440985,0,54316.7870492419,39330.9226158455,54320.2870492419,39334.4226158455,3.80459799720899,1.11563399918158,6839.16051823205,2005.46812188759,1.38713745271122,NA,0.024098408827295,NA,1.88799599861499,0.183400576019236,0.021628178768193,0.0257381714521898,0.0186375324626281,9.71405227541955,1.88799599861499,0.183400576019236
2020-03-21,1021,15,2,498.571428571429,5.14285714285714,1.57142857142857,87.0714285714286,1.64285714285714,0.0714285714285714,NA,50157.7639070366,50162.9067641794,4516.73950544791,0,61958.8572013186,41570.6692877219,61964.0000584615,41575.8121448647,3.88470756395152,1.1391247743918,7643.71300921954,2241.38952901926,1.46914789422135,NA,0.0299025733706311,NA,1.9277496182015,0.190767192062877,0.0237683113431684,0.029359934271379,0.0196995531389317,9.89587107134684,1.9277496182015,0.190767192062877
2020-03-22,1546,25,2,696.285714285714,8.71428571428571,1.85714285714286,197.714285714286,3.57142857142857,0.285714285714286,NA,60198.9521674117,60207.666453126,10044.7596889466,0,84994.1204449327,46551.715449154,85002.834730647,46560.4297348683,3.96648854489446,1.16310566354048,23038.8346721855,4984.61759000357,1.61707632600259,NA,0.0415229512664529,NA,1.9683326613762,0.394183853386187,0.0285277439808456,0.0402762513430068,0.0220613768538692,20.0263307342882,1.9683326613762,0.394183853386187
2020-03-23,1924,34,2,942.571428571429,13.5714285714286,2,246.285714285714,4.85714285714286,0.142857142857143,NA,72448.5621943632,72462.1336229346,12254.4671698086,0,105727.592358675,52628.0224657508,105741.163787246,52641.5938943222,4.04997641615764,1.18758706939961,20738.3290565992,6081.16415945391,1.76715176715177,NA,0.0469210583515565,NA,2.00976273283011,0.4091185714509,0.034334185629172,0.0501025372094054,0.0249427689500312,20.356612081435,2.00976273283011,0.4091185714509
2020-03-24,2247,46,2,1217.71428571429,20,2,275.142857142857,6.42857142857143,0,NA,85800.1054893695,85870.2772065412,13408.1435836065,50.1717171717172,128326.731561213,59250.5298079916,128431.86831335,59295.2591312999,4.13520739837877,1.21257961305844,22690.7045261034,6653.66523697769,2.04717400979083,NA,0.0535691760833118,NA,2.05205780671428,0.379775929288447,0.0406872650614954,0.0608539024025682,0.0280954249089286,18.5071217115883,2.05205780671428,0.379775929288447
2020-03-25,2554,59,2,1529.42857142857,28,2,311.714285714286,8,0,NA,100569.047987902,100747.563139417,14877.2859328755,100.343434343434,153325.403481806,66575.7844814487,153608.813738216,66677.9724513735,4.22221847442912,1.23809413911831,25176.9454248662,7382.71332007356,2.31010180109632,NA,0.0585622105006694,NA,2.09523623543099,0.363302153684079,0.0477364571200073,0.0727833043477421,0.03159352021616,17.3394727757285,2.09523623543099,0.363302153684079
2020-03-26,2985,77,6,1867.14285714286,38.1428571428571,2.57142857142857,337.714285714286,10.1428571428571,0.571428571428572,NA,116194.471429621,116533.644589794,15786.0814503775,150.515151515152,179774.757438122,74325.1482087037,180323.720808085,74511.6670056962,4.31104740390896,1.26414171994323,26714.9070698697,7833.69455432269,2.57956448911223,NA,0.0660753383892222,NA,2.139316756827,0.335802828637401,0.0552162568964652,0.0854414270463632,0.0353053005563572,15.6967593570903,2.139316756827,0.335802828637401
2020-03-27,3417,92,6,2242,49.7142857142857,3.14285714285714,374.857142857143,11.5714285714286,0.571428571428571,NA,133118.41315801,133694.930474027,17161.2858842328,225.772727272727,208422.246736714,82718.4216550147,209365.896919864,83027.7938354659,4.40173274013207,1.29073366064023,29042.1761117787,8516.1268297697,2.69242025168276,NA,0.0688133795902402,NA,2.18431850262193,0.322611447281,0.0633476594059554,0.0992022620624234,0.0393404326287358,14.7694513113108,2.18431850262193,0.322611447281
2020-03-28,3904,111,6,2653.85714285714,63.4285714285714,3.71428571428571,411.857142857143,13.7142857142857,0.571428571428572,NA,151324.192745287,152161.699238794,18466.7687647665,247.274891774892,239240.384719579,91746.787572654,240617.351752546,92191.7542751244,4.49431384573379,1.31788150363623,31251.4548326818,9163.96043965858,2.84323770491803,NA,0.0729487121629755,NA,2.23026100615361,0.30939131951528,0.0720976290113192,0.114009902933039,0.0436825228088411,13.8724375739416,2.23026100615361,0.30939131951528
2020-03-29,4256,136,6,3041,79.2857142857143,4.28571428571429,387.142857142857,15.8571428571429,0.571428571428571,NA,167771.876767264,169162.794516181,17001.0952773879,537.554112554112,267083.432405122,99902.6071410248,269388.436068125,100628.388021798,4.58883091014229,1.34559703380112,28771.0843155795,8436.63374667367,3.19548872180451,NA,0.0803959288973503,NA,2.27716421104805,0.25583664648158,0.0801531296151314,0.12764228857026,0.0476799892738908,11.2348825187553,2.27716421104805,0.25583664648158
2020-03-30,4579,159,120,3420.28571428571,97.1428571428571,21.1428571428571,379.285714285714,17.8571428571428,16.8571428571429,NA,183335.969938772,185475.81842362,16313.0239074389,731.073593073593,293431.667003059,107619.593226134,296995.091911484,108723.572817971,4.68532496583692,1.37389228321534,27606.6558433582,8095.1847961727,3.47237388075999,NA,0.085725460791255,NA,2.32504847928749,0.226072314367038,0.087882606557194,0.140722941856827,0.0515156695609294,9.72333636707697,2.32504847928749,0.226072314367038
