"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-19,621,6,2,621,6,2,NA,NA,NA,NA,56682.3116883117,56688.3116883117,NA,NA,95928.0659340659,28125.0418904404,95934.0659340659,28131.0418904404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0268601946864952,0.045455714084838,0.0133291191677345,NA,NA,NA
2020-03-20,793,11,2,707,8.5,2,86,2.5,0,NA,67177.6471861472,67186.1471861472,10497.8354978355,0,113691.133699634,33331.9940923738,113699.633699634,33340.4940923738,2.13774367431415,0.626888315775469,17765.5677655678,5209.4522019334,1.38713745271122,NA,0.0163724226804124,NA,1.06083520680251,0.151722816939616,0.031834304813624,0.0538734389153636,0.0157974745691668,18.5204787616314,1.06083520680251,0.151722816939616
2020-03-21,1021,15,2,811.666666666667,10.6666666666667,2,104.666666666667,2.16666666666667,0,NA,76677.9497354724,76688.6164021391,9502.46921599191,0,129769.269763465,38045.3384652219,129779.936430131,38056.0051318886,2.21962510085517,0.650899851954642,16080.3027304975,4715.51103951478,1.46914789422135,NA,0.0195596174552728,NA,1.10146809516121,0.15580579411577,0.0363367880512152,0.0614926473393816,0.0180317895592496,14.1452843527861,1.10146809516121,0.15580579411577
2020-03-22,1546,25,2,995.25,14.25,2,183.583333333333,3.58333333333333,0,NA,92740.9924923567,92755.2424923567,16066.6260902176,0,156954.010382143,46014.6673270342,156968.260382143,46028.9173270342,2.30258817405653,0.675228578478621,27188.323952012,7972.9121951456,1.61707632600259,NA,0.0269526544573047,NA,1.14263774050925,0.239448309053932,0.0439495161760386,0.0743750855846031,0.0218095343429966,20.9533850939483,1.14263774050925,0.239448309053932
2020-03-23,1924,34,2,1181,18.2,2,185.75,3.95,0,NA,108420.730908695,108438.930908695,15683.6884163382,0,183490.368162471,53793.6003005554,183508.568162471,53811.8003005554,2.38664773236287,0.699878846686478,26540.3077803278,7782.88297352121,1.76715176715177,NA,0.0313540531201177,NA,1.18435150628533,0.200336753581484,0.0513807998343246,0.0869504792202209,0.0254972390155295,16.911279462133,1.18435150628533,0.200336753581484
2020-03-24,2247,46,2,1358.66666666667,22.8333333333333,2,177.666666666667,4.63333333333333,0,NA,122900.270567183,122923.103900516,14484.1729918214,0,207996.194291339,60976.601684968,208019.027624672,60999.4350183014,2.4718377274796,0.724860612836146,24510.4594622012,7187.63471774597,2.04717400979083,NA,0.0374217690087199,NA,1.22662624070416,0.163919474066236,0.0582437261562849,0.0985640851541918,0.028902901701615,13.359228323243,1.22662624070416,0.163919474066236
2020-03-25,2554,59,2,1529.42857142857,28,2,170.761904761905,5.16666666666667,0,NA,136346.413753549,136374.413753549,13451.3098530326,0,230753.651700788,67646.5211107837,230781.651700788,67674.5211107837,2.55819778795395,0.750185497906103,22762.624076116,6675.08609248234,2.31010180109632,NA,0.0432632473908359,NA,1.26948160905986,0.138993696887123,0.0646172587361116,0.109349527444689,0.0320657073427321,10.944898486354,1.26948160905986,0.138993696887123
2020-03-26,2985,77,6,1867.14285714286,38.1428571428571,2.57142857142857,337.714285714286,10.1428571428571,0.571428571428572,NA,161155.220850127,162096.454616361,25722.0408628116,903.090909090909,272738.492069135,79955.5714637579,274309.09646474,80438.8421404496,2.64576772183491,0.775865175513295,43527.4447639516,12764.3210296659,2.57956448911223,NA,0.0475025812145236,NA,1.31293736572259,0.247784956327635,0.0768049391367533,0.12997380793118,0.0381137291956821,18.8652126262046,1.31293736572259,0.247784956327635
2020-03-27,3417,92,6,2242,49.7142857142857,3.14285714285714,374.857142857143,11.5714285714286,0.571428571428571,NA,188390.999708982,189720.092782575,27623.6381662142,376.287878787879,318833.767610996,93466.5009296987,321054.469076198,94146.8129597739,2.73459250678227,0.801912835250907,46745.3726114579,13707.9708193243,2.69242025168276,NA,0.0484924915704289,NA,1.3570158304333,0.232704979152944,0.0898936390291298,0.152122814871802,0.0446088735031772,17.1410135026925,1.3570158304333,0.232704979152944
2020-03-28,3904,111,6,2653.85714285714,63.4285714285714,3.71428571428571,411.857142857143,13.7142857142857,0.571428571428572,NA,217432.845419467,219101.76894039,29381.6761578156,326.116161616162,367987.030438947,107872.426692224,370774.835078751,108727.193609517,2.82473518868247,0.828346965177187,49720.3660025536,14580.3806497431,2.84323770491803,NA,0.050661389242457,NA,1.40174828912063,0.218715005963643,0.103815336788515,0.175681440467415,0.0515173851732479,15.5961145719292,1.40174828912063,0.218715005963643
2020-03-29,4256,136,6,3041,79.2857142857143,4.28571428571429,387.142857142857,15.8571428571429,0.571428571428571,NA,243629.330888862,245853.457512239,26751.6885718485,539.34595959596,412325.792134524,120866.003351938,416044.674002656,122002.467637652,2.91627017508154,0.85518938513039,45269.8389239046,13275.2740281353,3.19548872180451,NA,0.0553175055482918,NA,1.44717166582994,0.178131851150822,0.11649088738849,0.197131306422288,0.0578075080273708,12.3034256946046,1.44717166582994,0.178131851150822
2020-03-30,4579,159,120,3420.28571428571,97.1428571428571,21.1428571428571,379.285714285714,17.8571428571428,16.8571428571429,NA,268415.530224009,271252.048838727,25398.5913264886,594.534848484848,454279.160301813,133158.915965083,459024.769825623,134606.279874857,3.00929359425169,0.882468284500754,42980.0958229667,12603.8122372048,3.47237388075999,NA,0.0586170687671131,NA,1.49333366331287,0.155751716597277,0.12852531013763,0.217496240692983,0.063779477211155,10.4250958756993,1.49333366331287,0.155751716597277
2020-03-31,5717,201,127,3916,119.285714285714,39,495.714285714286,22.1428571428572,17.8571428571429,NA,299879.265737993,303435.314078542,32183.2652398144,697.386868686869,507534.897773725,148763.678414915,513486.051009378,150576.922775818,3.10390939668729,0.910214146526812,54461.2811837553,15970.6429009605,3.51582998075914,NA,0.0662414658657604,NA,1.54028586602527,0.184764461780601,0.143774463697566,0.243301218331314,0.0713467263461604,11.9900905931023,1.54028586602527,0.184764461780601
2020-04-01,6836,240,127,4527.71428571429,145.142857142857,56.8571428571429,611.714285714285,25.8571428571428,17.8571428571429,NA,337594.86347083,341954.430570397,38519.116491855,777.661616161617,571372.379214584,167469.266298092,578669.009251214,169691.672313129,3.2002212978006,0.938457385509814,65182.9582418358,19114.7495373116,3.51082504388531,NA,0.0701847902949139,NA,1.58807974176571,0.204076824702561,0.162025685815658,0.274186367253087,0.0804037237882211,12.8448748855846,1.58807974176571,0.204076824702561
2020-04-02,8044,324,127,5250.42857142857,180.428571428571,74.1428571428571,722.714285714286,35.2857142857143,17.2857142857143,NA,380187.837438323,386109.34393183,44154.9133614327,1526.65367965368,643466.490504554,188592.963368964,653388.995999059,191603.133078953,3.29833913602664,0.967230211313071,74719.9867478457,21911.4607658237,4.02784684236698,NA,0.0839140531282259,NA,1.63676979682525,0.214169450477359,0.182947275009819,0.309590374379891,0.0907858657943461,13.0792610134745,1.63676979682525,0.214169450477359
2020-04-03,9056,359,127,6056,218.571428571429,91.4285714285714,805.571428571428,38.1428571428572,17.2857142857143,NA,426176.200785406,433877.525460731,47768.181528901,1741.67532467532,721307.3305476,211400.870851619,734223.44043771,215307.644213596,3.39838870329681,0.996569512125262,80834.4444386507,23704.5111346426,3.96422261484099,NA,0.0827422438207144,NA,1.68641845426759,0.211976079218532,0.20558091177679,0.347891548825425,0.102017595317806,12.5643634080352,1.68641845426759,0.211976079218532
2020-04-04,10360,445,127,6978.28571428571,266.285714285714,108.714285714286,922.285714285715,47.7142857142857,17.2857142857143,NA,477157.870347641,486971.117100887,53093.5916401569,2064.20779220779,807603.076176098,236682.9174013,824069.669582691,241654.840065102,3.50050805969539,1.02651577374211,89846.2291449811,26347.1958515065,4.2953667953668,NA,0.0913811896379489,NA,1.737094225112,0.216496539965444,0.230737847405796,0.390462709172387,0.114501488186335,12.4581315292384,1.737094225112,0.216496539965444
2020-04-05,11130,486,127,7960.28571428571,316.285714285714,126,982,50,17.2857142857143,NA,529615.929032494,541865.916045481,54894.7989445935,2386.74025974026,896397.273919369,262697.536211614,916963.944249039,268895.868112795,3.60485660923198,1.05711574101536,92894.2746663475,27241.028047693,4.36657681940701,NA,0.0896900848731752,NA,1.78887621210008,0.205881394156825,0.25674823549135,0.434478101913627,0.127408898815256,11.5045359944706,1.78887621210008,0.205881394156825
2020-04-06,12161,564,127,9043.42857142857,374.142857142857,127,1083.14285714286,57.8571428571429,1,NA,585677.618262304,600673.232980918,58807.3169354374,2687.77056277056,991293.649313223,290497.472220391,1016479.07422165,298078.446441659,3.71160781249938,1.08842028085678,99515.1299726085,29182.5783288637,4.6377764986432,60.2484472049689,0.0938946450470379,0.994914089347079,1.84185049342075,0.204590506518443,0.284612462433955,0.481630604532033,0.141236259553692,11.1037666565028,1.84185049342075,0.204590506518443
