"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-11,108,1,8,108,1,8,NA,NA,NA,NA,6449.21645021645,6450.21645021645,NA,NA,10914.7509157509,3199.85929108486,10915.7509157509,3200.85929108486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0172414795072418,0.0291778883968708,0.00855592216148842,NA,NA,NA
2020-03-12,117,1,8,112.5,1,8,4.5,0,0,NA,7639.69264069264,7640.69264069264,1190.47619047619,0,12929.4029304029,3790.62191192266,12930.4029304029,3791.62191192266,2.45961612422637,0.721626997978377,2014.65201465201,590.762620837809,NA,NA,NA,NA,1.22056138495444,0.0697759182799481,0.0204236317652898,0.0345630691412597,0.0101350353120987,18.4592376401979,1.22056138495444,0.0697759182799481
2020-03-13,193,1,8,139.333333333333,1,8,26.8333333333333,0,0,NA,9979.73637341403,9980.73637341403,2340.04373272139,0,16879.7465775794,4952.35038079193,16880.7465775794,4953.35038079193,2.70915133927201,0.794838157374198,3950.34364717652,1161.72846886926,NA,NA,NA,NA,1.34439089016506,0.351235770800598,0.0266785871416186,0.0451223689050794,0.0132403446832775,30.6300769255716,1.34439089016506,0.351235770800598
2020-03-14,198,1,8,154,1,8,14.6666666666667,0,0,NA,10977.9271540625,10978.9271540625,998.190780648492,0,18568.0885119725,5447.69317419644,18569.0885119725,5448.69317419644,2.96091249574097,0.868702385926288,1688.34193439307,495.342793404515,NA,NA,NA,NA,1.4693249978865,0.14401860148489,0.0293467589807653,0.0496353202281437,0.0145643998816511,10.0021758421161,1.4693249978865,0.14401860148489
2020-03-15,252,1,8,173.6,1,8,19.6,0,0,NA,12206.4814259645,12207.4814259645,1228.55427190193,0,20646.0677281122,6057.35168506507,20647.0677281122,6058.35168506507,3.21491452191398,0.943224063444281,2077.97921613965,609.658510868628,NA,NA,NA,NA,1.59537111613776,0.174998922819892,0.0326306942511578,0.0551897750821888,0.0161940218955301,11.1911315739355,1.59537111613776,0.174998922819892
2020-03-16,415,4,9,213.833333333333,1.5,8.16666666666667,40.2333333333333,0.5,0.166666666666666,NA,14541.6840317703,14543.1840317703,2335.70260580586,0,24596.1799077711,7215.92215110407,24597.6799077711,7217.42215110407,3.47117233267332,1.01840756580684,3950.61217965894,1159.070466039,NA,NA,NA,NA,1.72253664628902,0.323203785351151,0.0388740457609605,0.0657497926354546,0.0192922264041539,19.1349376146805,1.72253664628902,0.323203785351151
2020-03-17,478,5,9,251.571428571429,2,8.28571428571429,37.7380952380952,0.5,0.11904761904762,NA,16580.1674071692,16582.1674071692,2038.98337539885,0,28044.420572336,8227.24848776816,28046.420572336,8229.24848776816,3.72970082618275,1.0942572639876,3448.74066456487,1011.82633666409,NA,NA,NA,NA,1.850828981414,0.254697818218518,0.0443242644247646,0.0749683036657149,0.0219968461922071,14.0216454362791,1.850828981414,0.254697818218518
2020-03-18,657,8,9,330,3,8.42857142857143,78.4285714285714,1,0.142857142857142,NA,20389.1801393761,20542.6952908912,3960.52788372205,150.515151515152,34486.8553043325,10117.435257134,34745.2655607427,10194.6232270588,3.99051488047915,1.17077752305513,6698.84498840676,1965.37473929064,NA,NA,NA,NA,1.98025550459868,0.464587817029976,0.054910786733293,0.0928743692188993,0.0272503083904242,23.8871405002192,1.98025550459868,0.464587817029976
2020-03-19,800,9,9,427.571428571429,4.14285714285714,8.57142857142857,97.5714285714286,1.14285714285714,0.142857142857142,NA,25010.4713483915,25165.1293570495,4622.43406615831,0,42304.1069106127,12410.131861393,42563.6600241658,12488.4626884607,4.25362934997196,1.24797270114598,7818.3944634231,2293.83946140187,NA,NA,NA,NA,2.11082358720413,0.470547689902813,0.0672665894943881,0.113772999359616,0.0333817593846518,22.6710148939798,2.11082358720413,0.470547689902813
2020-03-20,943,12,9,534.714285714286,5.71428571428571,8.71428571428571,107.142857142857,1.57142857142857,0.142857142857142,NA,29786.6443120445,29942.8737492739,4777.74439222438,0,50383.6221496253,14779.4711838502,50644.7466917498,14859.3734394893,4.51905906185513,1.32584714841191,8081.08666758396,2370.91075102864,1.27253446447508,NA,0.0400763136513942,NA,2.242540587086,0.421744871252508,0.0800375379835061,0.135373807836473,0.0397192225446653,19.1029762121282,2.242540587086,0.421744871252508
2020-03-21,1277,19,10,688.857142857143,8.28571428571429,9,154.142857142857,2.57142857142857,0.285714285714286,NA,36273.1677143561,36431.968580157,6489.09483088306,0,61356.7190317905,17997.0520773711,61620.4150024865,18079.5257615817,4.78681881243122,1.40440520594149,10975.6683107367,3220.15232209235,1.48786217697729,NA,0.0521519993030202,NA,2.37541384677038,0.50998060020179,0.097382939709283,0.164711855903294,0.0483267151303892,21.7852496672784,2.37541384677038,0.50998060020179
2020-03-22,1469,21,10,862.714285714286,11.1428571428571,9.28571428571429,173.857142857143,2.85714285714286,0.285714285714286,NA,43198.4061678963,43360.0641765543,6928.09559639732,0,73072.0569951659,21432.1972605457,73338.610108719,21517.5280876134,5.05692336333623,1.48365120465245,11718.1951062325,3438.00232603175,1.42954390742001,NA,0.0484316626342891,NA,2.50945069158039,0.47287208047332,0.115901793947963,0.196034683958031,0.0575165224969524,19.0997810032878,2.50945069158039,0.47287208047332
2020-03-23,2088,25,10,1101.71428571429,14.1428571428571,9.42857142857143,239,3,0.142857142857142,NA,52157.2324550309,52397.1480394465,9037.0838628922,75.2575757575758,88226.6940541881,25876.6712075449,88623.9522959464,26002.0960195749,5.3293874376759,1.5635894641581,15285.3421872274,4484.56793196154,1.19731800766284,NA,0.0477125205005034,NA,2.64465842771887,0.546360901124844,0.140057990477159,0.236892524329174,0.0695038079926436,20.9199474345613,2.64465842771887,0.546360901124844
2020-03-24,2790,26,110,1432,17.1428571428571,23.8571428571429,330.285714285714,3,14.4285714285714,NA,63955.29448697,64273.4676471431,11876.3196076966,75.2575757575758,108183.620277279,31730.0892083567,108711.583647242,31895.6080053492,5.60422571605786,1.64422429160326,20087.6313512956,5893.51198577428,0.931899641577061,NA,0.0404521507112985,NA,2.78104434029939,0.625958901383817,0.171803486572982,0.290586921558397,0.0852572120702698,22.7702258127599,2.78104434029939,0.625958901383817
2020-03-25,3251,30,183,1802.57142857143,20.2857142857143,48.7142857142857,370.571428571429,3.14285714285714,24.8571428571429,NA,76498.4581144069,76970.289283238,12696.8216360949,150.515151515152,129400.497329291,37953.4367871707,130187.013812808,38196.2864112309,5.88145283253151,1.725559980473,21475.4301655657,6300.67840588167,0.9227929867733,NA,0.0389760780157717,NA,2.91861569133142,0.573316500296818,0.205742191070021,0.347990915977279,0.102098975204139,19.8526513527065,2.91861569133142,0.573316500296818
2020-03-26,4042,38,184,2265.71428571429,24.4285714285714,73.7142857142857,463.142857142857,4.14285714285714,25,NA,91470.6569909195,92118.6483329109,15148.3590496729,172.017316017316,154726.422613002,45381.7384852898,155808.979389558,45713.5172178355,6.16108337043402,1.80760080937395,25621.9655767506,7517.23080660457,0.940128649183573,NA,0.0412511480440643,NA,3.05737971765899,0.599531667607897,0.246233874432757,0.416478632294454,0.122192592511963,19.8021756556424,3.05737971765899,0.599531667607897
2020-03-27,4682,54,256,2799.85714285714,30.4285714285714,109,534.142857142857,6,35.2857142857143,NA,107933.96524537,108824.480396885,16705.8320639739,236.52380952381,182575.342267275,53549.2695417409,184065.25801819,54003.6293698827,6.44313185812515,1.89035104078289,28256.278628632,8290.11215204719,1.15335326783426,NA,0.049621187992868,NA,3.19734362884406,0.578704998273985,0.29088869546171,0.492007888201846,0.144352127759413,18.2635968883795,3.19734362884406,0.578704998273985
2020-03-28,5576,61,466,3414,36.4285714285714,174.142857142857,614.142857142857,6,65.1428571428571,NA,125936.618075603,127220.172188157,18395.6917912727,387.038961038961,213027.083875003,62481.1896357989,215179.768856688,63132.3185294616,6.72761276462594,1.97381491976722,31114.5108384978,9128.68915957893,1.09397417503587,NA,0.0479483708839676,NA,3.33851460500235,0.564265556256963,0.340060524886151,0.575177221376985,0.168753185970038,17.043468892719,3.33851460500235,0.564265556256963
2020-03-29,6280,64,466,4101.28571428571,42.5714285714286,239.285714285714,687.285714285715,6.14285714285714,65.1428571428571,NA,145244.91625269,146964.65651243,19744.4843242724,430.04329004329,245687.05872427,72061.0959277579,248575.630152841,72930.3333069201,7.01454049515111,2.05799667267419,33395.861296153,9798.01477745846,1.01910828025478,39.4179894179894,0.0435478852662695,0.992214765100671,3.48089979458627,0.541520618205874,0.392837687402391,0.664444622340714,0.194943356842759,15.6781122329482,3.48089979458627,0.541520618205874
2020-03-30,7398,80,466,4859.85714285714,50.4285714285714,304.428571428571,758.571428571428,7.85714285714286,65.1428571428572,NA,165714.472339541,167893.615196684,20928.9586842539,451.545454545455,280312.254471013,82216.4739214478,283974.913811672,83316.1323532415,7.30392938654159,2.14290050579086,35399.2836588309,10385.7990463215,1.08137334414707,43.1013431013431,0.0476492211489292,1.04702549575071,3.62450631211838,0.518507046565394,0.448780959236372,0.759067187100427,0.222704679707742,14.409425971125,3.62450631211838,0.518507046565394
2020-03-31,8527,101,1592,5679.42857142857,61.1428571428571,516.142857142857,819.571428571428,10.7142857142857,211.714285714286,NA,186995.30714251,189636.709739912,21743.0945432286,451.545454545455,316311.624137144,92773.0020406439,320751.228532749,94105.9386679264,7.59579370258015,2.22853060396977,36776.3147210765,10789.8063146849,1.18447285094406,31.680236861584,0.0532597302170672,1.01194938150091,3.76934123586684,0.491237172728208,0.506900422650428,0.857370566763607,0.251545917191409,13.120818137524,3.76934123586684,0.491237172728208
2020-04-01,9560,109,1592,6580.71428571429,72.4285714285714,717.428571428571,901.285714285714,11.2857142857143,201.285714285714,NA,209529.900172541,212655.636103277,23018.9263633648,473.047619047619,354431.87975344,103951.479999693,359685.487812048,105528.864532453,7.89014762920414,2.31489112922434,38934.2592792997,11422.9258645269,1.14016736401674,36.5800865800866,0.0512565770638986,0.992811032175096,3.91541160546972,0.478939428665959,0.568430194594646,0.961442149271689,0.282079488231397,12.3098952134783,3.91541160546972,0.478939428665959
2020-04-02,11284,139,1735,7615.28571428571,86.8571428571429,939,1034.57142857143,14.4285714285714,221.571428571429,NA,234356.875728232,238120.603000959,25464.9668976817,623.56277056277,396430.820234508,116266.451757726,402756.985069673,118165.615023032,8.18700526961213,2.4019862192933,43071.4972576243,12636.7504905789,1.23183268344559,34.4671201814059,0.0583737812890724,1.13864600853995,4.06272441950677,0.490831970235336,0.636498252202889,1.07657260156661,0.315857622082104,12.1533809144719,4.06272441950677,0.490831970235336
2020-04-03,12437,179,2175,8723.14285714286,104.714285714286,1213.14285714286,1107.85714285714,17.8571428571428,274.142857142857,NA,259742.784449522,264427.459774197,26306.8567732385,903.090909090909,439375.973073649,128857.997224145,447252.456590133,131220.145451857,8.48638063925251,2.48981998617032,44495.4715204602,13054.5304288251,1.43925383935033,25.2323580034423,0.0676934234261652,1.2308171278653,4.21128663301252,0.470096620633981,0.706816688096698,1.19550934831087,0.350752485006851,11.22512693152,4.21128663301252,0.470096620633981
2020-04-04,12978,218,2577,9780.57142857143,127.142857142857,1514.71428571429,1057.42857142857,22.4285714285714,301.571428571429,NA,283064.067874727,288674.262679922,24246.8029057246,903.09090909091,478832.17514606,140422.688891648,488263.548772434,143252.393510337,8.78828766070309,2.57839651460177,41011.0921823013,12032.2480584799,1.67976575743566,26.5989240884638,0.0755176433036275,1.31466529463301,4.36110515493537,0.404980393680371,0.771628583734891,1.30513232156893,0.382914779082946,9.33492838198038,4.36110515493537,0.404980393680371
2020-04-05,15756,259,3012,11134.2857142857,155,1878.42857142857,1353.71428571428,27.8571428571429,363.714285714286,NA,312112.908208849,318675.553230494,30001.290550572,924.593073593073,527979.613676626,154826.964116529,539007.793163806,158140.251979042,9.09274015843088,2.66771986054927,50744.2443913717,14887.8584687049,1.64381822797664,23.5920852359209,0.0812738841666555,1.26078879296254,4.51218684553713,0.475870346574315,0.85182227028957,1.4407720875422,0.422710142335645,10.5987633032425,4.51218684553713,0.475870346574315
2020-04-06,16563,339,3256,12443.5714285714,192,2277,1309.28571428572,37,398.571428571429,NA,338962.211958844,346744.476028108,28068.9227976144,1182.61904761905,573411.65241418,168135.997771199,586483.626773155,172069.191111693,9.3997518534389,2.75779404961915,47475.8336093491,13928.9391326508,2.04673066473465,24,0.0977665178356063,1.34710215548737,4.6645385137366,0.417545591959794,0.926850722581149,1.56767536568527,0.459942306630714,8.99319510964674,4.6645385137366,0.417545591959794
2020-04-07,17872,375,3791,13778.5714285714,231.142857142857,2591.14285714286,1335,39.1428571428571,314.142857142857,NA,365018.039640168,374452.108904237,27707.6328761288,1612.66233766234,617500.718190383,181051.636212414,633348.373868039,185818.843516388,9.70933635779839,2.84862307545822,46864.7470948839,13749.6524046955,2.09825425246195,24.5114376609605,0.100146318069183,1.25238480160607,4.81816691439619,0.392123260913659,1.00091344405958,1.69294520474957,0.496695236086174,8.17425420845818,4.81816691439619,0.392123260913659
2020-04-08,19141,407,4154,15147.2857142857,273.714285714286,2957.14285714286,1368.71428571428,42.5714285714286,366,NA,390799.2708333,401974.582521612,27522.4736173748,1698.670995671,661127.227927058,193829.569414592,679899.942212772,199476.612379146,10.0215071690556,2.94021089811282,46551.5683447332,13657.7688627574,2.12632568831305,21.4341648954022,0.101250182896357,1.11715072191206,4.97307874554641,0.373413196230524,1.0744812333772,1.81737791454162,0.533202560108452,7.54003107476724,4.97307874554641,0.373413196230524
2020-04-09,20654,503,5162,16485.8571428571,325.714285714286,3446.71428571429,1338.57142857143,52,489.571428571428,NA,414672.221928639,428071.252231669,26096.669710057,2171.71861471861,701529.983489403,205657.370065554,724039.902903323,212426.839453309,10.3362776645203,3.03256144235303,44139.9606905507,12950.2270741636,2.43536360995449,22.172517747739,0.117503802784631,1.16005363357369,5.12928064555141,0.341168857510447,1.14423783759132,1.93536437803015,0.56781861934253,6.67776827075729,5.12928064555141,0.341168857510447
2020-04-10,22059,557,5855,17860.4285714286,379.714285714286,3972.42857142857,1374.57142857143,54,525.714285714286,NA,437930.6185587,454071.4194245,26000.1671928316,2687.77056277056,740891.822188426,217180.923495294,768016.639038243,225329.178060278,10.653661095431,3.12567859596098,43976.7361349199,12902.338606969,2.52504646629494,18.1855500821018,0.122667927592966,1.06303495675121,5.28677919021387,0.330234133026771,1.21373648981485,2.05291454099253,0.602306672325634,6.27005278335378,5.28677919021387,0.330234133026771
2020-04-11,23316,654,6589,19337.2857142857,442,4545.57142857143,1476.85714285714,62.2857142857143,573.142857142857,NA,461612.779590092,481191.705997018,27120.2865725181,3375.83982683983,780972.357646542,228912.89492011,813887.947390132,238787.365381979,10.9736705809985,3.2195662079831,45871.3083518889,13458.1873217007,2.8049408131755,15.84229390681,0.135912567039144,1.0175271755842,5.44558088981881,0.336019528950319,1.2862292299856,2.17552891045186,0.638280513312619,6.19282722495525,5.44558088981881,0.336019528950319
2020-04-12,24299,714,7123,20557.7142857143,507,5132.85714285714,1220.42857142857,65,587.285714285715,NA,479126.095227501,502962.943712349,21771.2377153306,4192.92207792208,810616.273786654,237585.00214297,850711.863530243,249591.137481316,11.2963191023205,3.31422808694478,36823.9161401117,10803.772099337,2.93839252644142,15.5952014764688,0.141958768319987,0.927630656775366,5.60569218611391,0.263472432548826,1.34442392032092,2.27395952908402,0.667159081448946,4.7163420680561,5.60569218611391,0.263472432548826
2020-04-13,25680,781,7758,21860.1428571429,570.142857142857,5776,1302.42857142857,63.1428571428571,643.142857142857,NA,496077.585112335,525546.637060387,22583.6933480382,5569.06060606061,839301.056706533,245983.849969816,888909.968794445,260798.083052523,11.6216194961703,3.40966799902817,38198.1052642015,11206.9455712069,3.04127725856698,14.1054640559836,0.148607172974881,0.847819647958268,5.76711944922738,0.270927947152658,1.40479031097824,2.37606336609651,0.697115335459345,4.7135177092191,5.76711944922738,0.270927947152658
2020-04-14,27035,901,8210,23169.1428571429,645.285714285714,6407.28571428571,1309,75.1428571428572,631.285714285715,NA,512185.535917917,547621.323796705,22074.686736318,5891.59307359307,866565.597106704,253959.133828225,926247.139231246,271752.43887656,11.9495844486594,3.50588966621264,37337.1704368008,10954.3558240375,3.33271684852968,13.7822664307073,0.164529750914974,0.827938710769891,5.92986897452273,0.26301850891669,1.46379612294293,2.47586591751676,0.726396415080919,4.44984562874763,5.92986897452273,0.26301850891669
2020-04-15,28209,1008,8966,24464.5714285714,731.142857142857,7094.71428571429,1295.42857142857,85.8571428571428,687.428571428571,NA,526949.661622678,568878.951665968,21257.6278692628,6407.64502164502,891561.755869358,261263.886863241,962202.334623937,282301.336916946,12.2802264887676,3.60289676437667,35955.1953926909,10548.898040386,3.57332766138466,13.1123180979709,0.177190595125388,0.792327177885892,6.09394697938841,0.252130943890965,1.52061793010386,2.57197443873099,0.75459370284499,4.15037645121426,6.09394697938841,0.252130943890965
2020-04-16,30809,1259,9698,25915.2857142857,839.142857142857,7742.71428571429,1450.71428571429,108,648,NA,542191.594342001,592055.672264079,23176.7205981103,7826.78787878788,917373.575307722,268799.342197641,1001403.48739563,293802.566687437,12.6135579817424,3.70069292136143,39201.1527716975,11501.2297704909,4.08646823980006,13.3621474067334,0.212648921204565,0.856668555472395,6.25935959996239,0.274468538359443,1.58256948728362,2.67675942965184,0.785336580843967,4.39827981419334,6.25935959996239,0.274468538359443
2020-04-17,32814,1356,10545,27451.7142857143,953.285714285714,8412.71428571429,1536.42857142857,114.142857142857,670.000000000001,NA,557858.777108271,615964.81606931,23909.1438052313,8127.81818181818,943907.253491371,276543.736867907,1041843.46228258,305667.254590785,12.9495911223678,3.79928171499564,40439.974886946,11864.6879033478,4.13238251965624,12.8857220098096,0.220142443955341,0.80765429847435,6.42611288779153,0.282540325968742,1.64647881747978,2.78485580186944,0.817050985302213,4.40972232965863,6.42611288779153,0.282540325968742
2020-04-18,34356,1401,10964,29028.8571428571,1060,9037.71428571429,1577.14285714286,106.714285714286,625,NA,572294.194623873,639881.89159357,23917.0755242604,9374.94372294372,968345.519562033,283684.795828388,1082296.85289537,317535.878535155,13.2883379280966,3.89866667108091,40453.3906127859,11868.6239443699,4.07789032483409,12.4311012079278,0.218946655375874,0.738781010238724,6.59421280642389,0.281909322712282,1.71040934922354,2.89298803442814,0.848775910829192,4.28729931403741,6.59421280642389,0.281909322712282
2020-04-19,35633,1565,11847,30648,1181.57142857143,9712.57142857143,1619.14285714286,121.571428571429,674.857142857143,NA,586327.976278294,663820.729525047,23938.8379314769,9783.48484848485,992112.481059796,290620.429689121,1122787.05248837,329415.301869572,13.6298102320496,3.9988512613376,40490.1995930017,11879.423334417,4.39199618331322,12.3595337716677,0.235756421936346,0.735931588119278,6.7636652279344,0.282141695111467,1.77439805205364,3.00121865768164,0.880529703211047,4.18296012022455,6.7636652279344,0.282141695111467
2020-04-20,37658,1727,12543,32359.1428571429,1316.71428571429,10396.1428571429,1711.14285714286,135.142857142857,683.571428571428,NA,601364.755242872,688496.608056725,24675.878531678,9503.95670995671,1017586.8364457,298046.019250491,1164523.88406475,341660.474674766,13.9740196758767,4.09983890131042,41736.8315763804,12245.1728051936,4.5860109405704,11.6688610928242,0.25083638463731,0.725262735872144,6.93447592938241,0.291061532550025,1.84035687022831,3.11278153807106,0.913261146816524,4.20854530740758,6.93447592938241,0.291061532550025
2020-04-21,39402,1910,13188,34125.8571428571,1460.85714285714,11107.2857142857,1766.71428571429,144.142857142857,711.142857142857,NA,614770.487214641,713356.621413775,24860.01335705,11310.1385281385,1040298.71477611,304663.728349263,1206572.16166256,353997.02265646,14.3209777024812,4.20163294823386,42048.2775978071,12336.5479816939,4.84746967159027,11.7460572715055,0.267748268210456,0.722315300245673,7.10665058920121,0.293026672833926,1.90680788224527,3.22517691613517,0.946236836990355,4.13393254930776,7.10665058920121,0.293026672833926
2020-04-22,41663,2078,14454,36047.8571428571,1613.71428571429,11891.2857142857,1922,152.857142857143,784,NA,628095.221738765,739757.013946557,26400.3925327823,12922.8008658009,1062870.74085752,311242.250744693,1251225.83975862,367097.969326863,14.6706955486053,4.30423669885667,44653.6780960613,13100.9466704033,4.98763891222428,12.4342293551725,0.280903048004101,0.719842489839165,7.2801947835184,0.311857016652254,1.97737633996297,3.34453655030533,0.981255770895378,4.29434936806992,7.2801947835184,0.311857016652254
2020-04-23,43299,2241,14761,37832.1428571429,1754,12614.5714285714,1784.28571428571,140.285714285714,723.285714285716,NA,635633.014403455,763690.728689169,23933.714742612,16255.6363636364,1075627.68167177,314966.545278621,1291707.37397946,378974.850326956,15.0231842372735,4.40765338722505,40481.5342208443,11876.8810000931,5.17563916025774,11.1322670728611,0.293443394794978,0.703223067248938,7.45511398240638,0.283394110052109,2.04135134846878,3.45274401095062,1.01300276759751,3.81052329555317,7.45511398240638,0.283394110052109
2020-04-24,44919,2402,15149,39561.4285714286,1903.42857142857,13272.2857142857,1729.28571428572,149.428571428571,657.714285714284,NA,640963.45342463,786350.825719002,22660.0970298325,17180.2294372295,1084652.33129843,317593.950034564,1330034.70858781,390219.710507174,15.3784545700971,4.51188618242474,38327.3346083474,11244.8601802177,5.34740310336383,11.4920519919614,0.305461623672071,0.692729132274709,7.63141354606325,0.271417678560802,2.10192196677088,3.55519327902051,1.0430603676572,3.56496539927196,7.63141354606325,0.271417678560802
2020-04-25,46371,2571,16013,41277.8571428571,2070.57142857143,13993.5714285714,1716.42857142857,167.142857142857,721.285714285716,NA,646714.048630112,808330.680664744,21979.8549457421,16062.1168831169,1094406.03711602,320417.187397542,1367211.48033946,401127.006946414,15.7365171194349,4.61693818628096,37176.7717516532,10907.2964392404,5.54441353432102,11.5855608134032,0.31806289944181,0.686603156682317,7.80909872092256,0.267172940723583,2.1606742926105,3.65456708348873,1.07221565717159,3.4291900463755,7.80909872092256,0.267172940723583
2020-04-26,48033,2687,16883,43049.2857142857,2230.85714285714,14713,1771.42857142857,160.285714285714,719.428571428571,NA,650431.05743991,830506.31718017,22175.6365154263,18298.341991342,1100703.07875845,322242.215399826,1404719.39743977,412131.458149558,16.09738222041,4.72281243101651,37507.917100305,11004.4512031439,5.59407074303083,11.6548620388545,0.323537575141296,0.668450224674476,7.98817463569218,0.273296647018898,2.21994994413192,3.75482604208888,1.10163064213711,3.42897089716845,7.98817463569218,0.273296647018898
2020-04-27,49616,2841,18268,44757.5714285714,2390,15530.8571428571,1708.28571428571,159.142857142857,817.857142857143,NA,650843.58189968,851419.032116131,20912.7149359602,20341.0476190476,1101398.87305607,322434.836560314,1440091.20638941,422509.196388456,16.4610599627841,4.82951187686746,35371.8089496396,10377.7382388976,5.72597549177685,11.5716084051515,0.333678235138688,0.663674560061901,8.16864629732146,0.26206120439011,2.27584979629844,3.84937516673396,1.12937041840019,3.21520854466459,8.16864629732146,0.26206120439011
2020-04-28,51150,2983,19231,46435.8571428571,2543.28571428571,16394.1428571429,1678.28571428572,153.285714285714,863.285714285716,NA,649092.59410433,871517.01401775,20097.981901619,21695.683982684,1098423.79106298,321561.319523308,1474084.97421316,432482.631016327,16.8275601826848,4.93703940965613,33993.7678237536,9973.43462787103,5.83186705767351,11.5294696690046,0.342276737231804,0.656945113123551,8.35051858689619,0.257304995435161,2.32957186063041,3.94024077656749,1.15602948791832,3.08798956624218,8.35051858689619,0.257304995435161
2020-04-29,52865,3155,20327,48036.1428571429,2697.14285714286,17233.1428571429,1600.28571428571,153.857142857143,839,NA,644683.751869113,890269.344942706,18752.3309249564,23007.316017316,1090946.38286977,319372.969241171,1505802.70521409,441788.298994124,17.196892454188,5.0453978383216,31717.7310009326,9305.66797779792,5.96803177905987,11.567776879151,0.354387132155274,0.655663836404435,8.53379625546172,0.246015380780971,2.37969698927548,4.0250225220003,1.1809036119076,2.88900706852654,8.53379625546172,0.246015380780971
