"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","prevalence","prevalence_U","prevalence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-20,461,0,6,461,0,6,NA,NA,NA,NA,4264.06926406926,4264.06926406926,NA,NA,4264.06926406926,4264.06926406926,4264.06926406926,4264.06926406926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0224992686224422,0.0224992686224422,0.0224992686224422,NA,NA,NA
2020-03-21,592,0,6,526.5,0,6,65.5,0,0,NA,4956.70995670996,4956.70995670996,692.640692640693,0,4956.70995670996,4956.70995670996,4956.70995670996,4956.70995670996,47.6491443630809,13.972305489926,692.640692640693,692.640692640693,NA,NA,NA,NA,23.6454400598747,1.53609137055838,0.0261539721550217,0.0261539721550217,0.0261539721550217,16.243654822335,23.6454400598747,1.53609137055838
2020-03-22,687,1,8,580,0.333333333333333,6.66666666666667,53.5,0.333333333333333,0.666666666666667,NA,5182.61041514276,5182.9437484761,226.233791766139,0,5339.2338094424,5068.64301628313,5339.56714277573,5068.97634961646,47.6545105039177,13.9738790199458,382.857186065774,112.266392906505,NA,NA,NA,NA,23.6481029568313,1.07934497816594,0.0273476898310714,0.0281741097606443,0.0267463433326103,4.56419265484525,23.6481029568313,1.07934497816594
2020-03-23,801,2,8,635.25,0.75,7,55.25,0.416666666666667,0.333333333333333,NA,5415.3819005177,5416.1319005177,233.188152041602,0,5733.44324623075,5183.94377844914,5734.19324623075,5184.69377844914,47.7456166779256,14.0005943642037,394.626103455018,115.717428832675,NA,NA,NA,NA,23.6933135394217,1.06606506405101,0.0285781020376846,0.0302563458026051,0.0273569238261176,4.49943432676829,23.6933135394217,1.06606506405101
2020-03-24,977,2,17,703.6,1,9,68.35,0.25,2,NA,5702.25156645334,5703.25156645334,287.119665935643,0,6219.08806550645,5326.1742141766,6220.08806550645,5327.1742141766,47.9714984383826,14.0668303691498,485.894819275703,142.480435727462,NA,NA,NA,NA,23.8054052400996,1.26214471032326,0.0300930827030097,0.0328201592362322,0.028108718742745,5.30192830736822,23.8054052400996,1.26214471032326
2020-03-25,1197,3,22,785.833333333333,1.33333333333333,11.1666666666667,82.2333333333333,0.333333333333333,2.16666666666667,NA,6044.4586758768,6045.79200921013,342.540442756794,0,6798.43855837692,5495.82335619626,6799.77189171026,5497.1566895296,48.3775360739764,14.1858940367299,579.683826203805,169.982475352997,NA,NA,NA,NA,24.0068976006199,1.44211554880427,0.0319004898904531,0.0358788483226749,0.0290056275726042,6.0071085739531,24.0068976006199,1.44211554880427
2020-03-26,1361,4,22,868,1.71428571428571,12.7142857142857,82.1666666666666,0.380952380952381,1.54761904761905,NA,6382.20955442625,6383.92384014054,338.131830930401,0,7370.28070449357,5663.23714698378,7371.99499020786,5664.95143269806,48.9685583201911,14.3592013119357,572.223098497601,167.794743168469,NA,NA,NA,NA,24.3001868355835,1.35935652788724,0.0336846351335914,0.038898171041832,0.0298909928812292,5.59407962006377,24.3001868355835,1.35935652788724
2020-03-27,1665,5,43,1040,2.42857142857143,18,172,0.714285714285714,5.28571428571429,NA,7078.89813716189,7081.32670859046,697.402868449929,0,8549.78665769455,6008.60248019953,8552.21522912312,6011.0310516281,49.6995461714172,14.573551132972,1180.22023891526,346.07961893004,NA,NA,NA,NA,24.6629326865679,2.69492834834267,0.0373644661831327,0.0451255774333633,0.0317170744546858,10.9272950457457,24.6629326865679,2.69492834834267
2020-03-28,2015,6,61,1243.28571428571,3.28571428571429,25.8571428571429,203.285714285714,0.857142857142857,7.85714285714286,NA,7890.83771363366,7894.12342791937,812.796719328908,0,9924.43165524018,6411.08807024245,9927.71736952589,6414.37378452816,50.4002422019798,14.7790183900542,1375.50214040277,403.34273290006,NA,NA,NA,NA,25.0106465062456,2.87163030208018,0.0416531703741544,0.0523833845258617,0.0338453036021101,11.4819665939533,25.0106465062456,2.87163030208018
2020-03-29,2245,7,75,1465.85714285714,4.14285714285714,35.4285714285714,222.571428571429,0.857142857142858,9.57142857142857,NA,8721.57297189699,8775.88754621156,881.764118292189,50.1717171717172,11330.6539604331,6823.06876052278,11419.9335697127,6851.94094097391,50.8656614859585,14.9154947214465,1492.21620018678,437.567156445748,NA,NA,NA,NA,25.2416064516787,2.82080261267287,0.0463057795440519,0.0602570308133806,0.0361541171751419,11.1745311498257,25.2416064516787,2.82080261267287
