"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-01-24,920,26,36,920,26,36,NA,NA,NA,NA,124389.584415584,124415.584415584,NA,NA,210523.450549451,61714.0644468314,210549.450549451,61740.0644468314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00867743057127647,0.0146848825052371,0.00430609336619734,NA,NA,NA
2020-01-25,1406,42,39,1163,34,37.5,243,8,1.5,NA,136372.926406926,136406.926406926,11991.341991342,0,230808.490842491,67656.6552094522,230842.490842491,67690.6552094522,58.8242605649455,27.7314371234743,20293.0402930403,5950.59076262085,2.98719772403983,NA,0.0307902253252936,NA,29.1909864457625,0.195353976895798,0.00951377304456929,0.0161002313061942,0.00472112045820732,9.640149573359,29.1909864457625,0.195353976895798
2020-01-26,2075,56,49,1467,41.3333333333333,41.3333333333333,304,7.33333333333334,3.83333333333334,NA,137407.543293827,137448.87662716,1041.95022023405,0,231897.947214667,68166.3798801448,231939.280548,68207.7132134781,58.7941773713954,27.717255046515,1096.78970550955,517.058004025923,2.69879518072289,NA,0.040742421018037,NA,29.1760579437,0.222918146592299,0.00958644441236681,0.0161767274828231,0.00475718294147526,0.764044776105304,29.1760579437,0.222918146592299
2020-01-27,2877,82,58,1819.5,51.5,45.5,352.5,10.1666666666667,4.16666666666666,NA,138606.168920253,138657.668920253,1208.79229309288,0,233160.193488098,68756.0650280956,233211.693488098,68807.5650280956,58.7645134031607,27.7032706043472,1272.41294009771,599.851814617505,2.85019117135905,NA,0.0591384527365457,NA,29.1613374782602,0.256535822732421,0.00967075226855442,0.0162654725945996,0.00479901992274129,0.879713197774041,29.1613374782602,0.256535822732421
2020-01-28,5509,131,101,2557.4,67.4,56.6,737.9,15.9,11.1,NA,141121.934289705,141189.334289705,2531.66536945174,0,235809.204403311,69996.4801738386,235876.604403311,70063.8801738386,58.7352626051174,27.6894809424125,2664.91091521239,1256.31514574298,2.37792702849882,NA,0.092783212456546,NA,29.1468220446447,0.532370367921062,0.00984732460534257,0.0164513382122713,0.00488664228535797,1.82651709456621,29.1468220446447,0.532370367921062
2020-01-29,6087,133,120,3145.66666666667,78.3333333333333,67.1666666666667,588.266666666666,10.9333333333333,10.5666666666667,NA,143130.28008225,143208.613415583,2019.27912587818,0,237923.828044586,70987.5951285351,238002.161377919,71065.9284618684,58.7064190113345,27.6758832482005,2125.5569746086,1002.04828802978,2.18498439296862,NA,0.0928715087925902,NA,29.1325086823164,0.416847912792225,0.00998816029326014,0.0165995863048161,0.00495653067184338,1.43087545960989,29.1325086823164,0.416847912792225
2020-01-30,8141,171,135,3859.28571428571,91.5714285714286,76.8571428571429,713.619047619048,13.2380952380952,9.69047619047619,NA,145567.791969975,145659.363398546,2450.7499829632,0,240490.326773519,72190.5186789779,240581.898202091,72282.0901075494,58.6779767437467,27.6624747506234,2579.73682417179,1216.16164568097,2.10047905662695,NA,0.11739719027339,NA,29.1183944743405,0.498576864142595,0.0101590891437302,0.0167795114105741,0.005041352507415,1.71225123122436,29.1183944743405,0.498576864142595
2020-01-31,9802,213,214,5128.14285714286,118.285714285714,102.285714285714,1268.85714285714,26.7142857142857,25.4285714285714,NA,145987.346908091,150019.02656177,4359.6631632238,3913.39393939394,238412.064940321,72398.3590456905,245171.017321274,74445.5319780214,58.6499300108459,27.6492527193988,4589.11911918296,2163.44187047199,2.17302591307896,NA,0.141981990472587,NA,29.1044765467356,0.871653561081355,0.0104631561510166,0.0170995819445597,0.00519224290200822,2.99493665750115,29.1044765467356,0.871653561081355
2020-02-01,11891,259,275,6626,149.285714285714,136,1497.85714285714,31,33.7142857142857,NA,149901.137416658,155167.938282459,5148.91172068834,1204.12121212121,241757.689963448,74328.9543356562,250590.924395683,77000.6310273855,58.6222731063949,27.6362144644433,5419.90707440878,2555.09904936413,2.17811790429737,NA,0.166915925330226,NA,29.0907520678351,1.02600725480097,0.0108222697153162,0.0174775962227699,0.00537044963316444,3.52695752730539,29.0907520678351,1.02600725480097
2020-02-02,16630,361,463,8705.28571428571,192.857142857143,195.142857142857,2079.28571428571,43.5714285714286,59.1428571428571,NA,155904.698234011,162318.848306162,7150.91002370292,1103.77777777778,247368.383697029,77289.9096857644,258118.198104844,80549.2029188471,58.5950004081583,27.6233573352746,7527.27370916097,3548.5718914616,2.17077570655442,NA,0.222401775127859,NA,29.0772182476575,1.38708594643483,0.0113210137074262,0.0180025898986752,0.00561794665180549,4.77041745442305,29.0772182476575,1.38708594643483
