"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-24,378,3,6,378,3,6,NA,NA,NA,NA,9390.93939393939,9393.93939393939,NA,NA,15894.4358974359,4658.65413533835,15897.4358974359,4661.65413533835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018661190577614,0.0315804763621161,0.00926044043701148,NA,NA,NA
2020-03-25,470,4,8,424,3.5,7,46,0.5,1,NA,10992.170995671,10995.670995671,1601.7316017316,0,18604.5586080586,5452.99838882922,18608.0586080586,5456.49838882922,13.1406700461161,3.85671330542668,2710.62271062271,794.84425349087,NA,NA,NA,NA,6.52093400784709,0.489833850165053,0.0218430525655022,0.0369651658800806,0.010839409543783,17.056138204505,6.52093400784709,0.489833850165053
2020-03-26,491,6,8,446.333333333333,4.33333333333333,7.33333333333333,22.3333333333333,0.833333333333333,0.333333333333333,NA,11327.5707077751,11331.9040411084,336.233045437391,0,19172.2283826617,5619.01754420917,19176.561715995,5623.35087754251,13.3850765460918,3.92844524885735,568.503107936387,166.852488713292,NA,NA,NA,NA,6.64221843640647,0.203174908233585,0.0225109841622769,0.0380945051696241,0.0111708643211299,3.05884111127646,6.64221843640647,0.203174908233585
2020-03-27,539,6,10,469.5,4.75,8,23.1666666666667,0.416666666666667,0.666666666666667,NA,11669.7690619909,11674.5190619909,342.615020882529,0,19751.1054732283,5788.62036158948,19755.8554732283,5793.37036158948,13.6258892894103,3.99912244476999,579.293757233259,170.019484046969,NA,NA,NA,NA,6.76171949700061,0.204516054526547,0.0231915936415723,0.0392452802332919,0.0115086103785246,3.02461162875253,6.76171949700061,0.204516054526547
2020-03-28,608,6,10,497.2,5,8.4,27.7,0.25,0.4,NA,12072.1691483779,12077.1691483779,402.650086386999,0,20431.6565682666,5988.1816826537,20436.6565682666,5993.1816826537,13.8630783543523,4.06873611130702,680.801095038376,199.811321064226,NA,NA,NA,NA,6.87942234125753,0.2373662051196,0.0239914636091184,0.0405977010279328,0.0119055383323445,3.4503689340216,6.87942234125753,0.2373662051196
2020-03-29,702,10,10,531.333333333333,5.83333333333333,8.66666666666667,34.1333333333334,0.833333333333333,0.266666666666666,NA,12559.2821264333,12565.1154597666,487.946311388701,0,21255.8432568937,6229.48712038544,21261.676590227,6235.32045371877,14.0965997238669,4.13727332970972,825.020021960412,242.13877106507,NA,NA,NA,NA,6.99530512612945,0.282745514726453,0.0249607757077618,0.0422366147162714,0.0123865503512202,4.04191082307909,6.99530512612945,0.282745514726453
2020-03-30,798,12,15,569.428571428571,6.71428571428571,9.57142857142857,38.0952380952381,0.880952380952381,0.904761904761905,NA,13094.248590294,13100.9628760082,535.84741624163,0,22160.9735536949,6494.51541215447,22167.6878394092,6501.22969786875,14.3264060702422,4.20472020955882,906.011249182149,265.909244149982,1.50375939849624,NA,0.0915963209236747,NA,7.1093443656841,0.303325858376168,0.02602524401394,0.0440364185980548,0.0129147827437597,4.26654494140108,7.1093443656841,0.303325858376168
2020-03-31,906,16,31,644.857142857143,8.57142857142857,13.1428571428571,75.4285714285714,1.85714285714286,3.57142857142857,NA,13685.3442050179,14145.4610881348,1044.49821212654,451.545454545455,23158.9240720518,6788.41678057816,23933.726269854,7019.55211892403,14.5524423340598,4.27106059122239,1766.03843044483,518.322421055273,1.76600441501104,NA,0.113110487528899,NA,7.22151273720262,0.57605008842881,0.028100154163674,0.0475446783744787,0.0139444374045299,7.97677090765456,7.22151273720262,0.57605008842881
2020-04-01,1065,17,39,729.857142857143,10.4285714285714,17.5714285714286,85,1.85714285714286,4.42857142857143,NA,14767.5653105082,15304.7969122398,1159.33582410505,75.2575757575758,24989.5677595929,7324.77515945736,25893.9322284573,7594.86162562277,14.7746559043929,4.33627903368708,1960.2059586033,575.309506698744,1.5962441314554,NA,0.111076286065609,NA,7.33178413300703,0.621113613410382,0.0304031908184599,0.0514386546320294,0.0150872976993861,8.4713676670256,7.33178413300703,0.621113613410382
2020-04-02,1161,19,55,825.571428571429,12.2857142857143,24.2857142857143,95.7142857142857,1.85714285714286,6.71428571428571,NA,15926.7377317857,16591.2557693037,1286.45885706391,125.429292929293,26950.0144229867,7899.48782536877,28069.0779150502,8233.254742662,14.9930008892003,4.40036206789498,2175.14568659286,638.393117039232,1.6365202411714,NA,0.114518155010019,NA,7.44013577960318,0.648154563121953,0.0329587591370523,0.0557596116330691,0.0163554744589884,8.71138085401589,7.44013577960318,0.648154563121953
2020-04-03,1267,25,55,929.571428571429,15,30.7142857142857,104,2.71428571428571,6.42857142857143,NA,17239.4220465294,17969.3690162264,1378.11324692265,62.7146464646465,29170.9942009514,8549.73763211234,30399.1929189001,8917.1304892552,15.207440901083,4.46329901434756,2330.11500384996,683.875746593196,1.97316495659037,NA,0.139125641960076,NA,7.54654962008628,0.653010602584874,0.0356964001692001,0.0603884173269461,0.0177140030914828,8.652828156844,7.54654962008628,0.653010602584874
2020-04-04,1406,32,85,1043.57142857143,18.7142857142857,41.4285714285714,114,3.71428571428572,10.7142857142857,NA,18688.078027592,19459.3680708821,1489.99905465569,37.6287878787879,31622.7189701131,9266.87438103922,32918.4845378786,9656.52851637757,15.4179475489908,4.52508154043017,2519.2916189785,739.39802712237,2.27596017069701,NA,0.164445216737963,NA,7.65101156566462,0.661300397952956,0.038656303906426,0.0653930249841633,0.0191828275024369,8.6429756788491,7.65101156566462,0.661300397952956
2020-04-05,1485,35,88,1155.42857142857,22.2857142857143,52.5714285714286,111.857142857143,3.57142857142857,11.1428571428571,NA,20001.7413169739,20902.0320817647,1442.66401088262,125.429292929293,33845.5631494928,9917.38810072533,35357.7420261717,10372.4369729058,15.6245036410929,4.58570460043633,2439.25748829306,715.908456528216,2.35690235690236,NA,0.16744783408181,NA,7.7535130850536,0.598574999715175,0.0415221759242841,0.0702386437334472,0.0206049895564116,7.71970241537195,7.7535130850536,0.598574999715175
2020-04-06,1579,46,88,1267,27.1428571428571,63,111.571428571429,4.85714285714286,10.4285714285714,NA,21284.8467813521,22322.5913700967,1420.559288332,132.596681096681,36017.5845384758,10552.1140848385,37759.6248315161,11077.3761686194,15.8270995923958,4.64516538122402,2401.88280534437,704.939195713623,2.91323622545915,NA,0.206069265155396,NA,7.85404942179038,0.557836996632837,0.0443441366049614,0.0750100171579492,0.0220053610220109,7.10217808449745,7.85404942179038,0.557836996632837
2020-04-07,1780,50,100,1391.85714285714,32,72.8571428571429,124.857142857143,4.85714285714286,9.85714285714286,NA,22570.4741326171,23892.604002747,1570.01263265031,279.528138528138,38192.9727043102,11188.5832967445,40414.203473541,11856.4801818143,16.0257347854157,4.70346370156517,2654.57864202491,779.104013194888,2.80898876404494,NA,0.209269780699715,NA,7.95262026945439,0.586634258200971,0.047462988421916,0.0802833743582363,0.0235530619236576,7.37619889294115,7.95262026945439,0.586634258200971
2020-04-08,2054,54,123,1533.14285714286,37.2857142857143,84.8571428571429,141.285714285714,5.28571428571428,12,NA,24040.9306010779,25647.8743240216,1755.27032127462,279.528138528139,40681.1661500022,11916.556324058,43382.0159668521,12727.5165818453,16.2204144718503,4.76060110280375,2967.81249331107,871.036400031015,2.62901655306719,NA,0.210543764047627,NA,8.04922823415127,0.626015066621243,0.0509498572004891,0.0861789749379072,0.0252833877837014,7.7768429274511,8.04922823415127,0.626015066621243
2020-04-09,2223,69,174,1684.85714285714,44.4285714285714,101.857142857143,151.714285714286,7.14285714285715,17,NA,25617.1837593055,27510.7984779202,1862.92415389861,279.528138528139,43349.5236409936,12696.0944111699,46531.8496483197,13651.9751845318,16.4111497554781,4.81658084383673,3149.8336814676,924.458602686527,3.10391363022942,NA,0.250810604626319,NA,8.1438788260267,0.631110117744158,0.0546505818070339,0.0924361631262381,0.0271198375884529,7.74896856037295,8.1438788260267,0.631110117744158
