"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-24,1394,3,10,1394,3,10,NA,NA,NA,NA,14975.354978355,14978.354978355,NA,NA,25344.9853479853,7429.8678839957,25347.9853479853,7432.8678839957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.140125891198491,0.237136123566677,0.0695361565345896,NA,NA,NA
2020-03-25,1654,6,10,1524,4.5,10,130,1.5,0,NA,16510.6515151515,16515.1515151515,1536.79653679654,0,27944.2179487179,8190.98872180451,27948.7179487179,8195.48872180451,21.9988670339845,7.43676810793068,2600.7326007326,762.620837808807,NA,NA,NA,NA,10.9167310093457,0.868092944627349,0.154502969630706,0.261466563990426,0.0766706465836588,10.2621710070832,10.9167310093457,0.868092944627349
2020-03-26,1925,9,10,1657.66666666667,6,10,133.666666666667,1.5,0,NA,17680.5792759883,17686.5792759883,1171.42776083679,0,29662.3038731867,8770.79873846036,29668.3038731867,8776.79873846036,22.9940415332291,7.77318915935911,1719.58592446871,581.310016655849,NA,NA,NA,NA,11.410577001452,0.809578389708022,0.165461940705909,0.277553678396966,0.0821089329818796,7.09498204696399,11.410577001452,0.809578389708022
2020-03-27,2279,9,11,1813,6.75,10.25,155.333333333333,0.75,0.25,NA,18984.3179016036,18991.0679016036,1304.48862561534,0,31576.4651927163,9417.38895869053,31583.2151927163,9424.13895869053,23.9956252491315,8.11177686136845,1914.91131952967,647.340220230168,NA,NA,NA,NA,11.9076035070878,0.878545585569741,0.177665726200831,0.295468105956129,0.0881649468365026,7.37808759120772,11.9076035070878,0.878545585569741
2020-03-28,2631,11,11,1976.6,7.6,10.4,163.6,0.85,0.15,NA,20301.9926663362,20309.5926663362,1318.52476473259,0,33511.1307253839,10070.844481039,33518.7307253839,10078.444481039,25.0036098446471,8.45252839560137,1935.51553266755,654.305522348503,0.418091980235652,NA,0.0541615983181821,NA,12.407806389073,0.861749234118946,0.190000822944928,0.31357529057924,0.0942861226644004,6.94533652231566,12.407806389073,0.861749234118946
2020-03-29,2817,16,11,2116.66666666667,9,10.5,140.066666666667,1.4,0.0999999999999996,NA,21385.4399675757,21394.4399675757,1084.84730123944,0,35102.2217109796,10607.7897583458,35111.2217109796,10616.7897583458,26.0179985914217,8.79544486804531,1592.49098559577,538.345277306793,0.567980120695776,NA,0.0747857855790981,NA,12.9111872709311,0.689899497150367,0.200149814280768,0.328473403149321,0.0993224642295539,5.34355084778591,12.9111872709311,0.689899497150367
2020-03-30,3001,23,25,2243,11,12.5714285714286,126.333333333333,2,2.07142857142857,NA,22324.978868279,22335.978868279,941.538900703315,0,36482.3445316243,11073.01958877,36493.3445316243,11084.01958877,27.0387987039772,9.14052871758615,1382.12282064462,467.229830424199,0.766411196267911,NA,0.102972876790567,NA,13.4177497328007,0.590727914099465,0.20895812318717,0.341403474059543,0.103693504739498,4.40270998460104,13.4177497328007,0.590727914099465
2020-03-31,3308,31,45,2516.42857142857,15,17.5714285714286,273.428571428572,4,5,NA,23832.6612429486,24299.206697494,1963.22782921502,451.545454545455,38594.0148531034,11820.6890378542,39375.2456223342,12058.2529476286,28.066024319771,9.48778472342424,2881.90109070991,974.233358858583,0.937122128174123,NA,0.127576181337628,NA,13.9275007902623,1.22472651789709,0.227324562598706,0.368364309162276,0.112807677680561,8.79386198212497,13.9275007902623,1.22472651789709
2020-04-01,3508,39,61,2781.28571428571,19.7142857142857,24.8571428571429,264.857142857143,4.71428571428572,7.28571428571428,NA,25436.3078473675,26133.3403149,1834.13361740598,225.772727272727,40898.5836878538,12614.8643667925,42067.6441274142,12968.4245171684,29.0996941369041,9.83721920649604,2692.39850508,910.171569539807,1.11174458380844,NA,0.149234654009247,NA,14.4404497220727,1.11127792379004,0.244483296524262,0.393552304808728,0.121322538124822,7.69588254836059,14.4404497220727,1.11127792379004
2020-04-02,3858,44,67,3057.42857142857,24.7142857142857,33,276.142857142857,5,8.14285714285714,NA,27051.8278772722,27979.6330720774,1846.29275717746,225.772727272727,43220.7156986245,13414.787840279,44777.8915228003,13884.6299455422,30.1398407596207,10.1888431887421,2710.24739538611,916.205428373776,1.14048729911871,NA,0.157257244534455,NA,14.9566127077817,1.08557873885602,0.261755781946505,0.418907280852204,0.12989384668022,7.2584935213722,14.9566127077817,1.08557873885602
2020-04-03,4091,53,72,3316.28571428571,31,41.7142857142857,258.857142857143,6.28571428571428,8.71428571428572,NA,28605.2907740457,29652.268046773,1672.63497469555,112.886363636364,45478.2004440683,14182.8905344889,47233.2196748376,14714.6593314813,31.1865034229187,10.5426699336445,2455.32815203726,830.029385939148,1.29552676607187,NA,0.178738435509886,NA,15.4760092173882,0.9568493283978,0.277403659621835,0.441877429842941,0.137658958910084,6.18307562166927,15.4760092173882,0.9568493283978
2020-04-04,4472,59,78,3579.28571428571,37.8571428571429,51.2857142857143,263,6.85714285714285,9.57142857142857,NA,30114.3828263132,31296.1551206854,1643.88707391245,127.937878787879,47667.3725355116,14928.7371275582,49646.3476270867,15530.4228418439,32.2397357394803,10.8987175650952,2413.12795224916,815.763510362567,1.31932021466905,NA,0.188521560467993,NA,15.998665855682,0.919365768107709,0.292782594197397,0.464452786440748,0.145290610654348,5.7467937903431,15.998665855682,0.919365768107709
2020-04-05,4587,67,96,3832.14285714286,45.1428571428571,63.4285714285714,252.857142857143,7.28571428571429,12.1428571428571,NA,31426.5608745273,32826.3400953065,1530.18497462106,210.721212121212,49548.7325298998,15576.9281675957,51892.567694735,16289.7627540619,33.2995986103996,11.2570066708503,2246.22006764827,759.339912217967,1.46064966208851,NA,0.204104386311344,NA,16.5246128442584,0.83961340626541,0.307097819973337,0.485466682109665,0.152394406904062,5.08124301748606,16.5246128442584,0.83961340626541
2020-04-06,4822,78,121,4092.28571428571,53,77.1428571428571,260.142857142857,7.85714285714285,13.7142857142857,NA,32643.0901119538,34351.7567786205,1525.41668331397,301.030303030303,51269.2753752821,16177.6687773605,54131.7881957949,17046.7364465335,34.3661688285975,11.6175632109353,2239.22050105991,756.973692471594,1.61758606387391,NA,0.227062623034595,NA,17.053888290883,0.827737201638228,0.321368437307971,0.506415095253457,0.159476066634031,4.85390905293233,17.053888290883,0.827737201638228
2020-04-07,5017,88,172,4336.42857142857,61.1428571428571,95.2857142857143,244.142857142857,8.14285714285715,18.1428571428572,NA,33421.1242756855,35739.9944055556,1388.23762693517,602.060606060606,52277.3413394152,16561.6739155389,56169.6380427119,17735.6363215539,35.4395269901315,11.9804144310345,2037.84984691698,688.899875020459,1.75403627665936,NA,0.246222758183534,NA,17.5865321905916,0.747875984377708,0.334355713611055,0.525479640481595,0.165920880438569,4.25277638291604,17.5865321905916,0.747875984377708
2020-04-08,5312,99,233,4594.14285714286,69.7142857142857,119.857142857143,257.714285714285,8.57142857142856,24.5714285714286,NA,34125.0427402423,37162.0557272553,1422.06132169966,709.571428571429,53152.1939966035,16909.0437658345,58257.1390515486,18441.3208872094,36.5197565961937,12.3455885589201,2087.5010088367,705.684565655469,1.86370481927711,NA,0.266400762989523,NA,18.1225859800661,0.771069642107598,0.347659418212129,0.545008683534967,0.172522718812034,4.25497751053885,18.1225859800661,0.771069642107598
2020-04-09,5569,112,301,4838.57142857143,79.4285714285714,153.285714285714,244.428571428572,9.71428571428572,33.4285714285714,NA,34672.5120757094,38471.8151060124,1309.75937875709,752.575757575758,53788.0768988919,17178.3454124358,60179.7875216025,19091.276669149,37.6069539221799,12.7131181407132,1922.64847005394,649.955781939607,2.01113305799964,NA,0.291122214253147,NA,18.6620974350667,0.716232945026739,0.359912512792218,0.562995493883437,0.17860320183674,3.83811791453829,18.6620974350667,0.716232945026739
