"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-10,59,1,1,59,1,1,NA,NA,NA,NA,3548.78354978355,3549.78354978355,NA,NA,6006.32600732601,1760.54672395274,6007.32600732601,1761.54672395274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00353606094590711,0.00598410313922742,0.0017547370107509,NA,NA,NA
2020-03-11,60,1,27,59.5,1,14,0.5,0,13,NA,4111.55411255411,4112.55411255411,562.770562770563,0,6958.70695970696,2039.81632653061,6959.70695970696,2040.81632653061,2.43582397672879,0.714600243102849,952.380952380952,279.269602577873,NA,NA,NA,NA,1.20875475536917,0.0140893349223989,0.00409665597391678,0.00693280241739762,0.00203292702465043,15.8581258866827,1.20875475536917,0.0140893349223989
2020-03-12,67,1,27,62,1,18.3333333333333,2.5,0,4.33333333333333,NA,4294.20036474363,4295.20036474363,182.64625218952,0,7267.65525354719,2130.45281257955,7268.65525354719,2131.45281257955,2.75827109917991,0.809196894705249,308.948293840232,90.6364860489348,NA,NA,NA,NA,1.36876610936747,0.0608042587197519,0.0042785961599101,0.00724055639192367,0.00212321313198546,4.44226798892985,1.36876610936747,0.0608042587197519
2020-03-13,80,2,27,66.5,1.25,20.5,4.5,0.25,2.16666666666667,NA,4588.57688797694,4589.82688797694,294.62652323331,0,7765.76949908649,2276.40845568781,7767.01949908649,2277.65845568781,3.07785657539083,0.902954022139047,498.364245539297,146.205643108259,NA,NA,NA,NA,1.52735739831424,0.104046408602602,0.0045720837283274,0.00773699408193309,0.00226885357947074,6.86103344530127,1.52735739831424,0.104046408602602
2020-03-14,109,2,27,75,1.4,21.8,8.5,0.15,1.3,NA,5093.01533052286,5094.41533052286,504.588442545917,0,8619.13681218362,2526.65572792864,8620.53681218362,2528.05572792864,3.39460566959562,0.995879037199178,853.51731309713,250.39727224083,NA,NA,NA,NA,1.6845411593482,0.182390782189615,0.00507472155410455,0.00858721190371615,0.00251828287647294,10.9966217165947,1.6845411593482,0.182390782189615
2020-03-15,110,2,27,80.8333333333333,1.5,22.6666666666667,5.83333333333333,0.1,0.866666666666667,NA,5409.88695677299,5411.38695677299,316.971626250132,0,9155.1980635195,2683.84991839863,9156.6980635195,2685.34991839863,3.70854976646212,1.08798114723867,536.161251335881,157.294190469991,NA,NA,NA,NA,1.84033296681579,0.111675765672892,0.00539046784477969,0.00912130048544759,0.00267496900568014,6.22365348775794,1.84033296681579,0.111675765672892
2020-03-16,150,2,27,90.7142857142857,1.57142857142857,23.2857142857143,9.88095238095238,0.0714285714285714,0.619047619047617,NA,5905.1635405434,5906.73496911483,495.348012341836,0,9993.01365116433,2929.5902854254,9994.58507973576,2931.16171399683,4.01972263247427,1.17927025836644,837.88701621626,245.811795598204,NA,NA,NA,NA,1.9947495770173,0.17734764349578,0.00588390096161902,0.00995594843329377,0.00291983055238237,9.15634682018036,1.9947495770173,0.17734764349578
2020-03-17,196,4,32,110.285714285714,2,27.7142857142857,19.5714285714286,0.428571428571429,4.42857142857143,NA,6665.44692731273,6817.96207882788,911.227109713052,150.515151515152,11278.5262470311,3307.16163310256,11535.9365034414,3383.34960302737,4.32816292656323,1.26975771199381,1541.35142370563,452.187889030537,NA,NA,NA,NA,2.14781017408401,0.32040442430169,0.0067916054879146,0.0114913413655237,0.00337027039249897,15.4310224171912,2.14781017408401,0.32040442430169
2020-03-18,196,6,32,129.714285714286,2.71428571428571,28.4285714285714,19.4285714285714,0.714285714285714,0.714285714285712,NA,7509.62416223261,7662.85359946205,844.89152063417,0,12706.955952233,3725.7168237932,12965.0804943575,3802.6190794323,4.63391029443973,1.35945513902466,1429.14399091613,419.269476404927,NA,NA,NA,NA,2.29953443182723,0.280185232483178,0.00763323086246025,0.0129149606317363,0.00378791907460433,12.6756919655619,2.29953443182723,0.280185232483178
2020-03-19,256,6,32,156.714285714286,3.42857142857143,29.1428571428571,27,0.714285714285714,0.714285714285715,NA,8610.9765103154,8764.92023325913,1102.06663379708,0,14570.4004002909,4271.8927473316,14829.2392281297,4349.50928868498,4.9370055530698,1.44837451397524,1864.1587337722,546.890209252683,NA,NA,NA,NA,2.44994260528276,0.344797602778877,0.00873103717343793,0.0147719129791169,0.00433269513869852,14.6753900060617,2.44994260528276,0.344797602778877
