"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-02-17,12,1,4,12,1,4,NA,NA,NA,NA,648.350649350649,649.350649350649,NA,NA,648.350649350649,648.350649350649,649.350649350649,649.350649350649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000997011102887327,0.000997011102887327,0.000997011102887327,NA,NA,NA
2020-02-18,12,1,4,12,1,4,0,0,0,NA,843.155844155844,844.155844155844,194.805194805195,0,843.155844155844,843.155844155844,844.155844155844,844.155844155844,NA,NA,194.805194805195,194.805194805195,NA,NA,NA,NA,NA,NA,0.00129611443375353,0.00129611443375353,0.00129611443375353,NA,NA,NA
2020-02-19,12,1,4,12,1,4,0,0,0,NA,1211.12121212121,1212.12121212121,367.965367965368,0,1211.12121212121,1211.12121212121,1212.12121212121,1212.12121212121,NA,NA,367.965367965368,367.965367965368,NA,NA,NA,NA,NA,NA,0.00186108739205634,0.00186108739205634,0.00186108739205634,NA,NA,NA
2020-02-20,12,1,4,12,1,4,0,0,0,NA,1557.44155844156,1558.44155844156,346.320346320347,0,1557.44155844156,1557.44155844156,1558.44155844156,1558.44155844156,NA,NA,346.320346320347,346.320346320347,NA,NA,NA,NA,NA,NA,0.00239282664692959,0.00239282664692959,0.00239282664692959,NA,NA,NA
2020-02-21,12,1,4,12,1,4,0,0,0,NA,2185.14718614719,2186.14718614719,627.705627705628,0,2185.14718614719,2185.14718614719,2186.14718614719,2186.14718614719,NA,NA,627.705627705628,627.705627705628,NA,NA,NA,NA,NA,NA,0.00335660404638733,0.00335660404638733,0.00335660404638733,NA,NA,NA
2020-02-22,12,1,4,12,1,4,0,0,0,NA,3137.52813852814,3138.52813852814,952.380952380953,0,3137.52813852814,3137.52813852814,3138.52813852814,3138.52813852814,NA,NA,952.380952380953,952.380952380953,NA,NA,NA,NA,NA,NA,0.00481888699728875,0.00481888699728875,0.00481888699728875,NA,NA,NA
2020-02-23,12,1,4,12,1,4,0,0,0,NA,4046.61904761905,4047.61904761905,909.090909090909,0,4046.61904761905,4046.61904761905,4047.61904761905,4047.61904761905,NA,NA,909.090909090909,909.090909090909,NA,NA,NA,NA,NA,NA,0.00621470254133101,0.00621470254133101,0.00621470254133101,NA,NA,NA
2020-02-24,12,1,4,12,1,4,0,0,0,NA,5561.77056277056,5562.77056277056,1515.15151515152,0,5561.77056277056,5561.77056277056,5562.77056277056,5562.77056277056,NA,NA,1515.15151515152,1515.15151515152,NA,NA,NA,NA,NA,NA,0.00854106178140144,0.00854106178140144,0.00854106178140144,NA,NA,NA
2020-02-25,14,1,11,12.2857142857143,1,5,0.285714285714286,0,1,NA,7142.85714285714,7294.3722943723,1731.60173160173,150.515151515152,7142.85714285714,7142.85714285714,7294.3722943723,7294.3722943723,2.01515151515152,0.590909090909093,1731.60173160173,1731.60173160173,NA,NA,NA,NA,1,0.00513711025094785,0.0111997580557676,0.0111997580557676,0.0111997580557676,31.134001520896,1,0.00513711025094785
2020-02-26,18,2,11,13.1428571428571,1.14285714285714,6,0.857142857142856,0.142857142857143,1,NA,7223.71821652005,7375.37622517806,81.0039308057649,0,7223.71821652005,7223.71821652005,7431.45586958205,7334.56973371952,2.13233198696796,0.625270281892862,137.083575209756,40.1974393472219,NA,NA,NA,NA,1.05814970781869,0.012,0.0113241312560896,0.0114102357793894,0.0112614770875063,1.13405503128071,1.05814970781869,0.012
2020-02-27,38,2,11,16.8571428571429,1.28571428571429,7,3.71428571428572,0.142857142857143,1,NA,7556.19226142428,7707.99312722515,332.616902047088,0,7737.65004081192,7424.15406105115,7994.34601150789,7499.62774526168,2.25029108225802,0.659859791038065,562.89014192584,165.058011542164,NA,NA,NA,NA,1.11668580021826,0.0514142652035446,0.0118348302823869,0.0122744956700464,0.0115149066795035,4.6045110298796,1.11668580021826,0.0514142652035446
2020-02-28,57,2,11,23.2857142857143,1.42857142857143,8,6.42857142857143,0.142857142857143,1,NA,8102.87754557367,8254.82126851739,546.828141292241,0,8662.90865354825,7695.36952966234,8919.74748138707,7770.98607101573,2.36903415832473,0.694679189283193,925.40146987918,271.358325754046,NA,NA,NA,NA,1.17561093571002,0.0850263960559641,0.0126744286238759,0.013695354401797,0.0119315494655056,7.23682143563097,1.17561093571002,0.0850263960559641
2020-02-29,100,2,12,35.8571428571429,1.57142857142857,9.14285714285714,12.5714285714286,0.142857142857143,1.14285714285714,NA,9120.72380192101,9272.81038200759,1017.9891134902,0,10385.5166038503,8200.39420252214,10642.498288832,8276.15360101838,2.48856623294107,0.729729948005276,1722.75080744496,505.167530002657,NA,NA,NA,NA,1.23492760431662,0.154885461007582,0.0142374461549789,0.0163404609928944,0.012707182225301,12.5633036876671,1.23492760431662,0.154885461007582
2020-03-01,130,2,12,52.7142857142857,1.71428571428571,10.2857142857143,16.8571428571429,0.142857142857143,1.14285714285714,NA,10422.654526983,10574.8839642125,1302.07358220489,0,12588.8828858235,8846.3931230148,12846.007427948,8922.2953786539,2.60889226491898,0.765013521292032,2203.50913911597,646.141777635512,NA,NA,NA,NA,1.2946382668019,0.184108670742779,0.0162366461550601,0.0197237225314933,0.0136992664358677,14.2759896087485,1.2946382668019,0.184108670742779
2020-03-02,191,3,12,78.2857142857143,2,11.4285714285714,25.5714285714286,0.285714285714286,1.14285714285714,NA,12309.9137558503,12462.4289073654,1887.54494315296,0,15971.5341343712,9782.78384668469,16228.9443907814,9858.9718166095,2.73001727546825,0.800531381528284,3382.93696283341,936.676437955603,NA,NA,NA,NA,1.35474541489402,0.243752946601991,0.0191347771839645,0.0249178741284551,0.0151374367208879,18.1100211876573,1.35474541489402,0.243752946601991
2020-03-03,204,4,12,105.428571428571,2.42857142857143,11.5714285714286,27.1428571428571,0.428571428571428,0.142857142857142,NA,14227.3672566541,14380.3109795978,1917.88207223233,0,19216.7521467204,10734.086228394,19474.5909745592,10810.7027697473,2.85194645118638,0.836285049596005,3245.64658377779,951.730953137851,NA,NA,NA,NA,1.41525162239324,0.218334113281985,0.0220794877528325,0.0299012304757703,0.0165987216648374,15.579979764853,1.41525162239324,0.218334113281985
2020-03-04,285,4,12,143.571428571429,2.71428571428571,11.7142857142857,38.1428571428572,0.285714285714286,0.142857142857142,NA,16789.5041479414,16964.235749673,2583.9247700752,21.5021645021645,23552.7750176901,12005.450614833,23847.3867393019,12092.9511518899,2.97468553472629,0.872276209431016,4372.79576474264,1282.24838214258,NA,NA,NA,NA,1.4761597390371,0.264703119100421,0.02604683834741,0.0366152084050552,0.0185674821102669,18.1616508765296,1.4761597390371,0.264703119100421
2020-03-05,377,6,12,192,3.28571428571429,11.8571428571429,48.4285714285714,0.571428571428571,0.142857142857144,NA,19917.3121055001,20114.1173003053,3149.8815506323,21.5021645021645,28846.2851876246,13557.3800201951,29177.955517295,13656.0502672413,3.09824060118448,0.908506642452591,5330.56877799312,1563.09911535137,NA,NA,NA,NA,1.53747277953515,0.283872268735779,0.0308831573407009,0.0447997482398553,0.0209674599565616,18.7610159470881,1.53747277953515,0.283872268735779
2020-03-06,653,9,12,277.142857142857,4.28571428571429,12,85.1428571428572,1,0.142857142857142,NA,26620.5513337548,26839.8586930622,6725.74139275693,21.5021645021645,45238.7939315443,16187.8214200221,45607.9514407018,16298.0899484861,3.22261840907479,0.944978330480577,16429.9959234068,2642.03968124484,NA,NA,NA,1.386,1.59919409773636,0.419371597007273,0.0412098411600413,0.0700263163081417,0.0250240400171254,33.768318521753,1.59919409773636,0.419371597007273
2020-03-07,949,11,12,398.428571428571,5.57142857142857,12,121.285714285714,1.28571428571429,0,NA,36502.6548617366,36744.7500998318,9904.89140676961,21.5021645021645,61962.3537481288,19798.757305333,62369.2841510592,19920.9098295006,3.34782623119955,0.981693406141221,16761.3327103574,3622.81988101446,1.15911485774499,46.4285714285714,0.0299362493148384,1.30307692307692,1.66132730270053,0.438762902567105,0.0564177826864229,0.0957616179177205,0.0305865071506293,37.2076869580466,1.66132730270053,0.438762902567105
2020-03-08,1126,19,12,540.714285714286,8,12,142.285714285714,2.42857142857143,0,NA,44732.546520479,44998.572494505,8253.82239467317,21.5021645021645,75891.4451266599,23881.6122423244,76337.2912805061,24016.7916193384,3.47387257705375,1.01865436469997,13968.0071294469,4095.88178983781,1.68738898756661,66.6666666666667,0.042223561652584,1.5675,1.72387661718457,0.37476560953185,0.0690906776422967,0.117208055535353,0.036875312166326,22.6115673666387,1.72387661718457,0.37476560953185
2020-03-09,1209,19,12,686.142857142857,10.2857142857143,12,145.428571428571,2.28571428571429,0,NA,52826.0956755172,53137.4116928332,8138.83919832825,43.004329004329,89589.6052351861,27896.9524245239,90110.7114622924,28055.6140786592,3.60076663169364,1.05586389951919,13773.4201817863,4038.82245932079,1.57154673283706,85.7142857142857,0.0357563520591323,1.21916666666667,1.78684659918632,0.312483876430349,0.0815870277321324,0.138355724918152,0.0430765084515077,18.19444639621,1.78684659918632,0.312483876430349
2020-03-10,1784,33,12,911.857142857143,14.4285714285714,12,225.714285714286,4.14285714285714,0,NA,65001.8599851431,65381.8253531084,12244.4136602752,64.5064935064935,115238.958622305,33914.7400103924,115873.669245016,34109.3393659241,3.72851880459649,1.09332506300198,25762.9577827234,6053.72528726493,1.84977578475336,120.238095238095,0.0504727419612048,1.50950495049505,1.85024241431104,0.410528447512476,0.100387064938297,0.177912095545145,0.0523713806923663,23.1787216217647,1.85024241431104,0.410528447512476
2020-03-11,2281,48,12,1197,20.7142857142857,12,285.142857142857,6.28571428571429,0,NA,79849.7743269297,80279.0297381851,14897.2043850767,43.0043290043291,140370.35212379,41279.855398046,141084.322819761,41501.937030699,3.85714021069399,1.13104111441403,25210.6535747452,7392.5976647749,2.10434020166594,172.619047619048,0.0597914550743113,1.52937931034483,1.91406957823912,0.417754187704643,0.123260189326108,0.216620459893748,0.063721953696844,22.918120171456,1.91406957823912,0.417754187704643
