"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-11,1908,3,25,1908,3,25,NA,NA,NA,NA,44607.3896103896,44610.3896103896,NA,NA,75491.5054945055,22134.4865735768,75494.5054945055,22137.4865735768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0534147120222495,0.0903941280376529,0.0265065488230712,NA,NA,NA
2020-03-12,2078,3,25,1993,3,25,85,0,0,NA,55906.0909090909,55909.0909090909,11298.7012987013,0,94612.3846153846,27741.3609022556,94615.3846153846,27744.3609022556,35.6633586025628,13.3967791521668,19120.8791208791,5606.87432867884,NA,NA,NA,NA,17.6976065245801,0.190551387880815,0.0669433290409851,0.113288710684744,0.0332199978699625,25.3292142790388,17.6976065245801,0.190551387880815
2020-03-13,3675,7,46,2553.66666666667,4.33333333333333,32,560.666666666667,1.33333333333333,7,NA,59050.8167527862,59055.1500861195,3146.0591770286,0,98767.1037768848,29301.2298672974,98771.4371102181,29305.5632006307,35.9124930350288,13.4903653734798,4156.05249483352,1561.2022983751,NA,NA,NA,NA,17.8212371452023,1.00287224084111,0.0707102955798024,0.118265003182965,0.0350893196110297,5.62739967304175,17.8212371452023,1.00287224084111
2020-03-14,4585,9,46,3061.5,5.5,35.5,507.833333333333,1.16666666666667,3.5,NA,61879.4474001962,61884.9474001962,2829.79731407665,0,102504.196794878,30704.3235219019,102509.696794878,30709.8235219019,36.1637600693332,13.5847526970157,3738.25968466025,1404.26032127111,NA,NA,NA,NA,17.9459260494435,0.859990854846572,0.0740985827015435,0.122741047132915,0.03677072525039,4.79213916028203,17.9459260494435,0.859990854846572
2020-03-15,5795,11,46,3608.2,6.6,37.6,546.7,1.1,2.1,NA,64903.5223510436,64910.1223510436,3025.17495084747,0,106499.457064761,32204.4381591645,106506.057064761,32211.0381591645,36.4171775594236,13.679947829529,3996.36026988288,1501.21463726266,0.189818809318378,NA,0.0169465094219209,NA,18.0716820971576,0.883486631873253,0.0777208072601654,0.127526130491686,0.0385682201441422,4.88882024314568,18.0716820971576,0.883486631873253
2020-03-16,7272,17,67,4218.83333333333,8.33333333333333,42.5,610.633333333333,1.73333333333333,4.9,NA,68257.1911596691,68265.5244930024,3355.40214195875,0,110930.325490823,33867.7916030438,110938.658824156,33876.1249363771,36.6727633472381,13.7759574732628,4432.60175939486,1665.0867772126,0.233773377337734,NA,0.0249027603995668,NA,18.1985141422385,0.940824009958684,0.0817384327661713,0.132833552116003,0.0405619290418595,5.16983057377131,18.1985141422385,0.940824009958684
2020-03-17,9257,24,67,4938.57142857143,10.5714285714286,46,719.738095238095,2.23809523809524,3.5,NA,72182.2758069071,72192.8472354785,3927.32274247613,0,116116.215960064,35814.4505078315,116126.787388635,35825.0219364029,36.9305353350425,13.8727883531223,5188.12856447932,1948.89700002576,0.259263260235497,NA,0.0332442907005965,NA,18.3264310685174,1.0544379369667,0.0864408533264916,0.139045611585251,0.0428954610492364,5.75371279677951,18.3264310685174,1.0544379369667
2020-03-18,12327,28,105,6427,14.1428571428571,57.4285714285714,1488.42857142857,3.57142857142857,11.4285714285714,NA,79792.1437213916,80257.8320330799,8064.98479760137,451.545454545455,126000.536365424,39590.488076566,126780.909991797,39827.1948434833,37.190511404326,13.9704471862078,10654.122603162,4002.17290708037,0.227143668370244,NA,0.0348875608656601,NA,18.4554417495152,2.06201152146583,0.0960975464015812,0.15180243562709,0.0476875042293561,11.173081906112,18.4554417495152,2.06201152146583
2020-03-19,15320,44,113,8318.71428571429,20,70,1891.71428571429,5.85714285714286,12.5714285714286,NA,89964.6981220993,90436.2435766447,10178.4115435648,0,139440.711324553,44635.5720004402,140226.942093784,44878.1359102147,37.4527095193067,14.0689407206967,13446.0321019862,5050.94106673142,0.287206266318538,NA,0.0486530601668677,NA,18.5855550998063,2.37075539890072,0.108284772879353,0.167902181422681,0.0537353008273481,12.7561575223553,18.5855550998063,2.37075539890072
2020-03-20,19848,67,180,10629.1428571429,28.5714285714286,89.1428571428571,2310.42857142857,8.57142857142857,19.1428571428571,NA,102099.596039693,102780.399791497,12344.1562148518,200.686868686869,155398.648268956,50653.7547837502,156533.997475305,51003.8074153291,37.7171477363674,14.1682757393873,16307.0553815216,6125.67150511443,0.337565497783152,NA,0.0651875261586044,NA,18.7167800797011,2.56808520503408,0.123065176169541,0.187427603073156,0.0610699370465391,13.721111138614,18.7167800797011,2.56808520503408
2020-03-21,22213,84,233,13147.4285714286,39.2857142857143,115.857142857143,2518.28571428571,10.7142857142857,26.7142857142857,NA,115273.506320048,116140.625367667,13360.2255761707,175.60101010101,172739.273342876,57186.3742426018,174183.315467418,57633.6937914739,37.9838442382183,14.2684590725324,17649.3179921128,6629.88637614484,0.378156935128078,NA,0.0723261130496591,NA,18.8491257121986,2.4664239319191,0.139062180632762,0.20856019676201,0.0690083001636264,13.085483287296,18.8491257121986,2.4664239319191
2020-03-22,24873,94,266,15872.8571428571,51.1428571428571,147.285714285714,2725.42857142857,11.8571428571429,31.4285714285714,NA,129453.591039318,130498.133896461,14357.5085287938,165.566666666667,191413.22802795,64217.6890012513,193150.0785774,64758.472459898,38.2528173612926,14.36949760813,18966.7631099822,7124.77866842401,0.377919832750372,NA,0.0720316813683948,NA,18.9826010965813,2.36423211469367,0.156253292167998,0.2312702470073,0.0775392276923898,12.4551677025693,18.9826010965813,2.36423211469367
2020-03-23,29056,123,266,18984.8571428571,66.2857142857143,175.714285714286,3112,15.1428571428571,28.4285714285714,NA,145456.076652372,146776.655295951,16278.5213994896,260.892929292929,212459.86131427,72152.0169137801,214654.565831975,72836.5357107725,38.5240855803287,14.4713982861319,21504.4872545748,8078.06325087458,0.423320484581498,NA,0.0838007922663117,NA,19.1172154007646,2.40385700838118,0.175744548359566,0.257018867539897,0.0872115803889574,12.5747932280576,19.1172154007646,2.40385700838118
2020-03-24,32986,157,3243,22374.7142857143,85.2857142857143,629.428571428571,3389.85714285714,19,453.714285714286,NA,162707.13321806,164383.579105506,17606.923809555,336.867243867244,235128.581412139,80704.2476334518,237913.918408476,81573.8061726569,38.7976675054883,14.5741680973612,23259.3525765009,8737.27046188439,0.475959497968835,NA,0.0955083231879465,NA,19.2529778598664,2.33040357065682,0.196826380934864,0.284868694240546,0.097673241666925,12.1046326937815,19.2529778598664,2.33040357065682
2020-03-25,37323,206,3547,25945.5714285714,110.714285714286,1121.14285714286,3570.85714285714,25.4285714285714,491.714285714286,NA,180560.220507591,182799.649079019,18416.0699735136,537.554112554112,258519.235872337,89552.6636675691,262242.180927282,90712.6078136486,39.0735818889012,14.6778140859705,24328.2625188057,9138.8016409917,0.551938482972966,NA,0.112691682417263,NA,19.3898977794547,2.1945533336843,0.218877053049768,0.313998391331132,0.108615680460787,11.3185387814758,19.3898977794547,2.1945533336843
2020-03-26,43938,267,5673,30033.8571428571,142.571428571429,1915.42857142857,4088.28571428571,31.8571428571429,794.285714285714,NA,200582.297728397,203735.172187271,20935.5231082521,881.588744588745,284647.951227603,99475.3335666158,289898.72778438,101101.664393684,39.3518476176398,14.7823433468029,27656.5468570984,10389.0565800349,0.607674450361874,NA,0.131052482069506,NA,19.5279845320619,2.26411371404397,0.243944418469101,0.34711324414465,0.121055124954591,11.5947593824366,19.5279845320619,2.26411371404397
2020-03-27,50871,342,6658,34465.7142857143,181.857142857143,2840.85714285714,4431.85714285714,39.2857142857143,925.428571428571,NA,221787.083388398,226269.373431688,22534.201244417,1290.12987012987,312187.890463154,109982.536547197,319667.183503447,112284.04997362,39.6324837055244,14.887763022314,29768.4557190668,11182.3855799363,0.672288730317863,NA,0.151147278490719,NA,19.6672475531174,2.20938335990817,0.270925977712009,0.382756812906729,0.134444470142801,11.2343918180307,19.6672475531174,2.20938335990817
2020-03-28,57695,433,8481,39534.5714285714,231.714285714286,4019.14285714286,5068.85714285714,49.8571428571429,1178.28571428571,NA,245714.905434799,251859.714958609,25590.3415269206,1612.66233766234,343207.217116993,121836.774770008,353472.905761682,124983.016445626,39.9155092977937,14.994080304326,33805.722258235,12698.9664720057,0.750498310078863,NA,0.171921103012111,NA,19.807696343266,2.28533920581869,0.3015668381741,0.423234444572766,0.149649709169102,11.5382470141898,19.807696343266,2.28533920581869
2020-03-29,62095,533,9211,44852,294.428571428571,5297,5317.42857142857,62.7142857142857,1277.85714285714,NA,270522.169981793,278514.373444996,26654.6584863875,1784.67965367965,375327.788541036,134121.526886776,388684.627368875,138210.140205788,40.2009436658009,15.1013024320354,35211.7216071931,13227.1237601622,0.858362186971576,15.4312668463612,0.191372528967616,1.19478893740902,19.9493404657358,2.16394397417783,0.33348206957056,0.465395564120976,0.165487342794413,10.8477987687484,19.9493404657358,2.16394397417783
2020-03-30,66885,645,13500,50256.1428571429,369,7187.57142857143,5404.14285714286,74.5714285714286,1890.57142857143,NA,295065.10351069,305411.107839694,26896.7343946979,2279.22943722944,406917.088303811,146270.789282426,424216.139585863,151557.391860299,40.4888062128963,15.2094366942229,35531.5122169878,13347.2516545118,0.964341780668311,17.7574590952839,0.211190746977857,1.15365853658537,20.0921895492568,1.99755574739311,0.365687153062974,0.50793958826784,0.181468812798168,9.94252500507007,20.0921895492568,1.99755574739311
2020-03-31,71808,775,16100,55802.1428571429,457.285714285714,9024.28571428571,5546,88.2857142857143,1836.71428571429,NA,319523.288979979,332817.366902057,27406.2590623625,2859.78787878788,438180.61956415,158373.030621644,460420.751432282,165157.490342374,40.7791164697066,15.31849042748,36204.6118464191,13600.0984820746,1.07926693404635,12.4431486880466,0.23286044451763,1.31233262275995,20.236253285719,1.87947325297159,0.398502321193277,0.551289555227183,0.197753031569596,9.28820749600082,20.236253285719,1.87947325297159
2020-04-01,77872,920,18700,61594.8571428571,559.285714285714,11189,5792.71428571429,102,2164.71428571429,NA,344015.27853364,361238.741737103,28421.3748350462,3827.38528138528,469129.516349023,170488.376672977,497966.366165872,179261.330486081,41.0718940848097,15.428471012706,37545.6147335906,14103.8401437072,1.18142592973084,12.1981617074311,0.25467921728881,1.48662968726557,20.3815414255446,1.81281280518687,0.432532948707385,0.59624518588202,0.214640410636747,8.89493060921362,20.3815414255446,1.81281280518687
2020-04-02,84794,1107,22440,67431.4285714286,679.285714285714,13584.2857142857,5836.57142857142,120,2395.28571428571,NA,367532.453402138,389670.899289584,28432.1575524809,4794.98268398269,498432.734397963,182114.150882694,535526.225240454,193370.521451974,41.3671587738845,15.5393858560064,37559.8590745813,14109.1909658927,1.30551689978065,11.7219277702453,0.284085879140113,1.7054350845515,20.528063752454,1.69649538071021,0.466576487019888,0.641217872146069,0.23153419656626,8.26479500377791,20.528063752454,1.69649538071021
2020-04-03,91159,1275,24575,73186.8571428571,812.571428571429,16143.8571428571,5755.42857142858,133.285714285714,2559.57142857143,NA,389322.577881844,417507.404721671,27836.5054320869,5913.09523809524,525038.456439342,192879.941977886,572299.207355093,207184.125651355,41.6649303712229,15.6512424080431,36772.9821146397,13813.6041993814,1.39865509713797,11.1739745403112,0.305383805312381,1.86770702996751,20.6758301090279,1.56586325467809,0.499906815096969,0.68524838313258,0.248074058619549,7.57389046175723,20.6758301090279,1.56586325467809
2020-04-04,96092,1444,26400,78672.1428571429,957,18703.7142857143,5485.28571428571,144.428571428571,2559.85714285714,NA,408013.990519326,443847.501341837,26340.0966201662,7504.25541125541,546956.176778122,202107.738582093,607095.381906327,220255.151041814,41.9652288204555,15.7640481605506,34796.1745512338,13071.0253904584,1.50272655371935,10.3381225018905,0.325336967231878,2.00019815715255,20.8248503921057,1.40883707494958,0.531445402585045,0.726911943109587,0.26372478624521,6.76562267810735,20.8248503921057,1.40883707494958
2020-04-05,100123,1584,28700,84104.7142857143,1107.14285714286,21487.8571428571,5432.57142857143,150.142857142857,2784.14285714286,NA,424324.452701965,469747.556598069,25900.0552562323,9439.45021645022,565003.026884518,210157.609181856,641310.246664738,233107.810041147,42.2680740915419,15.8778106151538,34214.8647584106,12852.6589993333,1.58205407348961,8.98144607076221,0.337202392593884,1.97363915754306,20.9751345115922,1.33137596762531,0.56245710198858,0.767879465785629,0.279114050610874,6.34783508851407,20.9751345115922,1.33137596762531
2020-04-06,103374,1810,28700,89317.4285714286,1273.57142857143,23659.2857142857,5212.71428571428,166.428571428572,2171.42857142857,NA,437607.488135473,494421.150473135,24673.5938750658,11224.1298701299,578384.957666373,216702.916776142,673904.91371033,245351.849106969,42.5734862302507,15.992537301955,32594.6670455917,12244.0390658221,1.75092382997659,8.31312942931742,0.366084662492275,2.00140997504615,21.1266924150116,1.22838731299234,0.592000285155123,0.806907027950114,0.293774577595775,5.81479424953053,21.1266924150116,1.22838731299234
2020-04-07,107663,2016,36081,94439.5714285714,1450.85714285714,26513.7142857143,5122.14285714287,177.285714285714,2854.42857142857,NA,448212.612002044,518491.89771633,24070.7472431945,13288.3376623377,587456.880917286,221920.775236245,705703.199598604,257296.731197577,42.8814852946131,16.1082357556626,31798.2858882747,11944.8820906078,1.87250959010988,7.30984050210169,0.38881996206293,1.96146347366786,21.2795340559734,1.1704031206652,0.620821643663414,0.844981034887901,0.308076905878085,5.50053367362461,21.2795340559734,1.1704031206652
