"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-28,95,1,3,95,1,3,NA,NA,NA,NA,3830.16883116883,3831.16883116883,NA,NA,3830.16883116883,3830.16883116883,3831.16883116883,3831.16883116883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0393097026986531,0.0393097026986531,0.0393097026986531,NA,NA,NA
2020-03-29,110,3,3,102.5,2,3,7.5,1,0,NA,4088.90909090909,4090.90909090909,259.74025974026,0,4088.90909090909,4088.90909090909,4090.90909090909,4090.90909090909,4.42183712746268,1.29662893211312,259.74025974026,259.74025974026,NA,NA,NA,NA,2.19429511588374,0.195813822590981,0.0419747672883923,0.0419747672883923,0.0419747672883923,6.78143108540196,2.19429511588374,0.195813822590981
2020-03-30,139,7,3,114.666666666667,3.66666666666667,3,12.1666666666667,1.66666666666667,0,NA,4632.05730238641,4635.72396905307,544.814878143981,0,5009.23683340916,4357.60168708079,5012.90350007583,4361.26835374746,4.50018487953212,1.31960308497558,921.994409166737,270.359262838366,NA,NA,NA,NA,2.23317445149714,0.297552877703173,0.047564839621255,0.0514348896978522,0.0447487881453016,13.3242110800476,2.23317445149714,0.297552877703173
2020-03-31,141,7,3,121.25,4.5,3,6.58333333333333,0.833333333333333,0,NA,4920.85227514811,4925.35227514811,289.62830609504,0,5498.54371039051,4500.49367857658,5503.04371039051,4504.99367857658,4.5804964025377,1.34315308044339,490.140210314681,143.725324829118,NA,NA,NA,NA,2.27302828998111,0.117425675796421,0.0505365704708811,0.0564639726741426,0.0462234816496273,6.25269264147111,2.27302828998111,0.117425675796421
2020-04-01,172,10,3,131.4,5.6,3,10.15,1.1,0,NA,5358.40901918202,5364.00901918202,438.656744033908,0,6239.78589260174,4717.07296508964,6245.38589260174,4722.67296508964,4.66282307452837,1.3672939842602,742.342182211229,217.679286513066,NA,NA,NA,NA,2.31388212720957,0.164572823592112,0.0550374074098451,0.0640807736477739,0.0484569796794891,8.914243295806,2.31388212720957,0.164572823592112
2020-04-02,219,14,3,146,7,3,14.6,1.4,0,NA,5976.76596387646,5983.76596387646,619.756944694438,0,7287.20533746925,5023.22152411094,7294.20533746925,5030.22152411094,4.74721782032112,1.39204131573326,1048.81944486751,307.548559021301,6.39269406392694,NA,0.233966369749702,NA,2.35576222662552,0.209400596865587,0.0613964227169129,0.0748421841674272,0.0516125812604401,11.5660626591929,2.35576222662552,0.209400596865587
2020-04-03,222,15,3,156.857142857143,8.14285714285714,3,10.8571428571429,1.14285714285714,0,NA,6428.25005629705,6436.39291343991,452.626949563453,0,8052.04654881839,5246.69053667627,8060.18940596125,5254.83339381912,4.83373513218543,1.41741105379874,765.984068491998,224.611869708179,6.75675675675676,NA,0.233049787384457,NA,2.39869562950555,0.134816015402692,0.0660406009311394,0.0827015626838104,0.0539172110509585,7.57310813739618,2.39869562950555,0.134816015402692
2020-04-04,264,15,3,181,10.1428571428571,3,24.1428571428571,2,0,NA,7414.6136050826,7424.75646222546,988.363548785544,0,9722.6617852247,5735.15665863,9732.80464236756,5745.29951577285,4.92243114502714,1.44341965906811,1672.61523640631,490.466121953729,5.68181818181818,NA,0.202026828439622,NA,2.44271019226911,0.274154377039554,0.07618170380942,0.0998634290932085,0.058949638043188,15.3753127232092,2.44271019226911,0.274154377039554
2020-04-05,268,22,6,203.571428571429,12.8571428571429,3.42857142857143,22.5714285714286,2.71428571428572,0.428571428571428,NA,8018.14103482033,8332.02848070778,907.272018482319,301.030303030303,10744.5104025831,6034.29164524528,11268.1880582607,6195.52472795205,5.01336397004014,1.47008417166591,1535.38341589315,450.225212179196,8.2089552238806,NA,0.264041344204949,NA,2.48783475205,0.217447384854692,0.085490767148836,0.115617228590682,0.0635691732341764,12.2362683587503,2.48783475205,0.217447384854692
2020-04-06,298,22,6,226.285714285714,15,3.85714285714286,22.7142857142857,2.14285714285714,0.428571428571429,NA,8661.48518257399,9228.37407146288,896.345590755105,250.858585858586,11833.5763229574,6353.30524667263,12785.0805964617,6640.3278030636,5.10659367824492,1.49742220640265,1516.89253820095,444.803075111557,7.38255033557047,NA,0.238395191066551,NA,2.53409911852755,0.198124213306421,0.0946877198910836,0.131181302462178,0.068133074594991,11.1789701236552,2.53409911852755,0.198124213306421
