"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","prevalence","prevalence_U","prevalence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-09,19,0,0,19,0,0,NA,NA,NA,NA,8939.39393939394,8939.39393939394,NA,NA,8939.39393939394,8939.39393939394,8939.39393939394,8939.39393939394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00330323333397171,0.00330323333397171,0.00330323333397171,NA,NA,NA
2020-03-10,27,0,2,23,0,1,4,0,1,NA,10324.6753246753,10324.6753246753,1385.28138528139,0,10324.6753246753,10324.6753246753,10324.6753246753,10324.6753246753,2.38165476118458,0.698379967565404,1385.28138528139,1385.28138528139,NA,NA,NA,NA,1.18187379126453,0.0447457627118644,0.00381511452858234,0.00381511452858234,0.00381511452858234,15.4963680387409,1.18187379126453,0.0447457627118644
2020-03-11,34,1,2,26.6666666666667,0.333333333333333,1.33333333333333,3.66666666666667,0.333333333333333,0.333333333333333,NA,10634.6767879384,10635.0101212718,310.334796596446,0,10849.5239548129,10478.3427174726,10849.8572881462,10478.6760508059,2.38094115449686,0.698170714476522,525.181963470908,154.000726130567,NA,NA,NA,NA,1.18151967065258,0.0355136268343816,0.0039297876542728,0.00400917674128928,0.00387201998945129,3.00575840728633,1.18151967065258,0.0355136268343816
2020-03-12,34,1,2,28.5,0.5,1.5,1.83333333333333,0.166666666666667,0.166666666666667,NA,10789.259496039,10789.759496039,154.749374767234,0,11111.2408454446,10554.9689736227,11111.7408454446,10555.4689736227,2.38737277614298,0.700056678718618,261.883557298401,76.7929228168232,NA,NA,NA,NA,1.18471130244689,0.0172391895486245,0.00398696975147178,0.0041059464442414,0.00390039606776056,1.45513942598375,1.18471130244689,0.0172391895486245
2020-03-13,69,4,2,36.6,1.2,1.6,8.1,0.7,0.1,NA,11477.1660638804,11478.3660638804,688.606567841423,0,12275.8750371763,10895.9835110478,12277.0750371763,10897.1835110478,2.37039959172829,0.695079579529348,1165.33419173164,341.714537425069,NA,NA,NA,NA,1.17628851920351,0.0750745894184536,0.00424141968222848,0.00453655401936812,0.00402666445445185,6.3823339135946,1.17628851920351,0.0750745894184536
2020-03-14,96,5,8,46.5,1.83333333333333,2.66666666666667,9.9,0.633333333333333,1.06666666666667,NA,12320.6040687663,12322.4374020996,844.071338219168,0,13703.6701223677,11314.2126463044,13705.503455701,11316.0459796377,2.36354429971415,0.693069381119186,1428.42841852474,418.862468589961,NA,NA,NA,NA,1.17288664497093,0.0862579971964969,0.00455331605904759,0.005064378657062,0.00418144010009141,7.35435327432901,1.17288664497093,0.0862579971964969
2020-03-15,117,5,8,56.5714285714286,2.28571428571429,3.42857142857143,10.0714285714286,0.452380952380952,0.761904761904762,NA,13137.9964126977,13140.2821269834,817.844724883786,0,15087.2626604494,11719.608023565,15089.5483747351,11721.8937378508,2.48157797292616,0.727680758978347,1384.0449190341,405.847758213007,NA,NA,NA,NA,1.23145974596336,0.0817442510595926,0.00485552132884155,0.00557580295979024,0.00433140662495157,6.6380245669698,1.23145974596336,0.0817442510595926
2020-03-16,134,5,8,73,3,4.57142857142857,16.4285714285714,0.714285714285714,1.14285714285714,NA,14292.3131040745,14295.3131040745,1155.03097709116,0,17041.2161821201,12292.0670046779,17044.2161821201,12295.0670046779,2.86624872082958,0.840478948213184,1954.66780738503,573.173266827191,NA,NA,NA,NA,1.42234898928385,0.125045821238212,0.00528232171946804,0.00629808054392738,0.0045432023075181,8.79153061706453,1.42234898928385,0.125045821238212
2020-03-17,172,5,8,93.7142857142857,3.71428571428571,5.42857142857143,20.7142857142857,0.714285714285714,0.857142857142858,NA,15450.3088846402,15454.0231703545,1158.71006627996,0,19001.3958547258,12866.3516992229,19005.1101404401,12870.0659849372,3.60249086093109,1.05636950057378,1960.89395831994,574.99898025923,NA,NA,NA,NA,1.78770223174024,0.14493345629486,0.00571048158593031,0.00702265877947891,0.00475567261719111,8.10722559632164,1.78770223174024,0.14493345629486
2020-03-18,227,19,11,121.285714285714,6.28571428571429,6.71428571428571,27.5714285714286,2.57142857142857,1.28571428571429,NA,16569.5504571,16626.0078885575,1171.98471820295,50.1717171717172,20897.0464278995,13420.6373488574,20988.468894322,13451.6523864514,4.74072786083759,1.39013824490726,1983.35875388191,581.586401514247,8.37004405286344,NA,0.114278786148516,NA,2.35254164522768,0.178454082465741,0.00614354662527412,0.00775553807682997,0.00497057707280533,7.58550995293091,2.35254164522768,0.178454082465741
