"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-21,251,2,4,251,2,4,NA,NA,NA,NA,15647.3506493507,15649.3506493507,NA,NA,15647.3506493507,15647.3506493507,15649.3506493507,15649.3506493507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0122667338885584,0.0122667338885584,0.0122667338885584,NA,NA,NA
2020-03-22,316,3,4,283.5,2.5,4,32.5,0.5,0,NA,18763.7337662338,18766.2337662338,3116.88311688312,0,18763.7337662338,18763.7337662338,18766.2337662338,18766.2337662338,2.01515151515151,0.590909090909091,3116.88311688312,3116.88311688312,NA,NA,NA,NA,1,0.20770289314983,0.0147099008041219,0.0147099008041219,0.0147099008041219,19.9195581841995,1,0.20770289314983
2020-03-23,367,4,4,311.333333333333,3,4,27.8333333333333,0.5,0,NA,21461.3456232405,21464.3456232405,2698.11185700676,0,23329.2692165529,20102.1464170792,23332.2692165529,20105.1464170792,2.07880128070774,0.609573307876704,4566.03545031913,1338.91265084546,NA,NA,NA,NA,1.03158559794519,0.148335793291955,0.016824814125004,0.0182889848856146,0.0157594066626047,14.3793974622585,1.03158559794519,0.148335793291955
2020-03-24,405,5,4,334.75,3.5,4,23.4166666666667,0.5,0,NA,23663.0306069759,23666.5306069759,2202.18498373535,0,27055.5438044127,21194.4600180306,27059.0438044127,21197.9600180306,2.14278689854159,0.628336007843023,3726.77458785982,1092.81360095138,NA,NA,NA,NA,1.06333785942665,0.109110863218499,0.018550995471064,0.02121021485587,0.0166160079320781,10.2611691847999,1.06333785942665,0.109110863218499
2020-03-25,475,6,4,362.8,4,4,28.05,0.5,0,NA,26223.5717672748,26227.5717672748,2561.04116029896,0,31389.1134603033,22464.8526238932,31393.1134603033,22468.8526238932,2.20711017363742,0.647197720089169,4334.06965589054,1270.89260586264,NA,NA,NA,NA,1.0952576801509,0.118539253597546,0.0205584660105739,0.0246074726919637,0.0176121963201056,10.8229634776534,1.0952576801509,0.118539253597546
2020-03-26,585,8,4,399.833333333333,4.66666666666667,4,37.0333333333333,0.666666666666667,0,NA,29507.9067796556,29512.5734463222,3285.0016790474,0,36947.6804043322,24094.3371663779,36952.3470709989,24099.0038330446,2.27177289600103,0.666158969504062,5559.2336106956,1630.15120915134,NA,NA,NA,NA,1.12734594839149,0.14122135972973,0.0231334125577659,0.0289650745410578,0.0188899893435242,12.5269040701269,1.12734594839149,0.14122135972973
2020-03-27,717,12,4,445.142857142857,5.71428571428571,4,45.3095238095239,1.04761904761905,0,NA,33414.1880770158,33419.90236273,3907.32891640781,0,43559.0355668978,26032.2647990815,43564.7498526121,26037.9790847958,2.33677679839396,0.685220264190709,6612.40278161321,1938.97525175124,1.67364016736402,NA,0.0359067476312631,NA,1.15960352401505,0.153550120541208,0.0261961699274867,0.0341482023975084,0.0204098539029345,13.2416336597001,1.15960352401505,0.153550120541208
2020-03-28,848,16,4,530.428571428571,7.71428571428571,4,85.2857142857143,2,0,NA,40566.8422103789,40574.5564960932,7154.65413336317,0,60539.3811284576,29580.694669773,60547.0954141718,29588.4089554873,2.402123612967,0.704382112073031,16982.3455615598,3550.4298706915,1.88679245283019,NA,0.0394335795180918,NA,1.19203126658513,0.255237224695774,0.0318043411727442,0.0474598035287566,0.0231928561750172,21.4120244875397,1.19203126658513,0.255237224695774
2020-03-29,993,20,4,627.142857142857,10.1428571428571,4,96.7142857142857,2.42857142857143,0,NA,48085.5544795482,48471.985215479,7897.42871938575,376.287878787879,73263.3062872715,33311.8209515735,73911.97478544,33507.4337335284,2.46781511196847,0.723645032832859,13364.8793712682,3919.02477804105,2.01409869083585,NA,0.0412609467326154,NA,1.2246300555633,0.238406095893834,0.0379947358207536,0.0579358560100033,0.026264781338691,19.4676940305825,1.2246300555633,0.238406095893834
2020-03-30,1094,28,35,731,13.5714285714286,8.42857142857143,103.857142857143,3.42857142857143,4.42857142857143,NA,56266.5372820553,56731.6541651722,8259.66894969321,75.2575757575758,87110.0738871186,37370.0814830002,87889.8760849208,37606.2168213461,2.53385311278914,0.743009559389295,13977.9012994808,4098.78308781768,2.55941499085923,NA,0.0493551623199264,NA,1.25740079281265,0.215982717708026,0.0444690722506604,0.0688924253529224,0.0294776099430057,17.1770275690722,1.25740079281265,0.215982717708026
