"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-08,265,3,NA,265,3,NA,NA,NA,NA,NA,36793.5367965368,36796.5367965368,NA,NA,62268.0622710623,18256.9355531686,62271.0622710623,18259.9355531686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215220635638738,0.364219537234787,0.106801217685389,NA,NA,NA
2020-03-09,321,3,NA,293,3,NA,28,0,NA,NA,46317.3463203463,46320.3463203463,9523.80952380953,0,78385.2783882784,22983.0365198711,78388.2783882784,22986.0365198711,13.4434775404935,6.33763941194694,16117.2161172161,4726.10096670247,NA,NA,NA,NA,6.67119938099678,0.0761003220615516,0.270924800156999,0.458488123342614,0.134443885792195,25.884463286242,6.67119938099678,0.0761003220615516
2020-03-10,382,4,NA,322.666666666667,3.33333333333333,NA,29.6666666666667,0.333333333333333,NA,NA,46759.5845175742,46762.9178509076,442.571530561239,0,78850.8098239569,23202.3251490719,78854.1431572902,23205.6584824053,13.5080600885049,6.36808547029515,465.864769011838,219.621962534151,NA,NA,NA,NA,6.70324786346858,0.0640508773138298,0.273513373278695,0.461212937154925,0.135728440875142,0.955520049659724,6.70324786346858,0.0640508773138298
2020-03-11,503,5,NA,367.75,3.75,NA,45.0833333333333,0.416666666666667,NA,NA,47428.4209434417,47432.1709434417,669.25309253412,0,79554.8700967998,23534.0190396026,79558.6200967998,23537.7690396026,13.5747968127793,6.39954706888168,704.476939509594,332.110557197379,NA,NA,NA,NA,6.73636533566492,0.0964154187885885,0.277427792637637,0.46533337858539,0.137670934692361,1.43126398456895,6.73636533566492,0.0964154187885885
2020-03-12,503,5,NA,394.8,4,NA,27.05,0.25,NA,NA,47827.6931761683,47831.6931761683,399.522232726587,0,79975.1698154594,23732.028192685,79979.1698154594,23736.028192685,13.6437584744258,6.43205756651502,420.549718659575,198.259153082367,NA,NA,NA,NA,6.77058691212108,0.0570336777729017,0.27976457311659,0.467793147510604,0.138830540042819,0.842368826073752,6.77058691212108,0.0570336777729017
2020-03-13,804,10,NA,463,5,NA,68.2,1,NA,NA,48828.7577790689,48833.7577790689,1002.06460290065,0,81028.974660618,24228.2933339741,81033.974660618,24233.2933339741,13.7150172688975,6.46565099819451,1054.80484515858,497.265141289048,NA,NA,NA,NA,6.80594841915212,0.142596441081477,0.28562558612387,0.473962634886688,0.141739012662973,2.09515562293513,6.80594841915212,0.142596441081477
2020-03-14,959,12,NA,533.857142857143,6,NA,70.8571428571429,1,NA,NA,49863.3044623865,49869.3044623865,1035.54668331753,0,82118.0238009522,24741.1736429888,82124.0238009522,24747.1736429888,13.7886472032759,6.50036225297291,1090.04914033425,513.880309014716,1.25130344108446,NA,0.0240628982685149,NA,6.84248658207675,0.145115595723692,0.291682433719325,0.480338263934536,0.144744666356958,2.12077212367961,6.84248658207675,0.145115595723692
2020-03-15,1135,20,NA,658.142857142857,8.42857142857143,NA,124.285714285714,2.42857142857143,NA,NA,51215.7461313307,51675.7201573047,1806.41569491828,451.545454545455,83250.85466547,25412.5979727978,84025.5140061294,25643.5904540008,13.8647237266102,6.53622689968767,1901.49020517715,896.416811012077,1.76211453744493,NA,0.038702895555434,NA,6.8802388417765,0.249257743546905,0.302248045810425,0.491459960872536,0.149987752056301,3.62273562571634,6.8802388417765,0.249257743546905
2020-03-16,1413,24,NA,814.142857142857,11.4285714285714,NA,156,3,NA,NA,53467.3278473945,53930.3018733686,2254.58171606383,0,85621.0985771162,26528.4129597167,86398.7579177755,26762.4054409197,13.9433241263248,6.57328137383885,2373.24391164613,1118.81498691889,1.69851380042463,NA,0.0445018832943924,NA,6.91924355140932,0.304602625945239,0.315434952847731,0.505340915648647,0.156531630736468,4.40212607716869,6.91924355140932,0.304602625945239
2020-03-17,1705,43,NA,1003.14285714286,17,NA,189,5.57142857142857,NA,NA,56127.2814788782,56645.9986505954,2715.69677722684,50.1717171717171,88389.0185829626,27845.7512100699,89257.3861043301,28110.0444431526,14.0245273168,6.61156287792001,2858.62818655458,1347.63900223287,2.52199413489736,NA,0.0759100395867909,NA,6.95953987149475,0.353500862476759,0.331318892954068,0.522060852602687,0.164413886729087,5.07917056370936,6.95953987149475,0.353500862476759
2020-03-18,2051,58,NA,1224.28571428571,24.5714285714286,NA,221.142857142857,7.57142857142857,NA,NA,59215.6520715423,59804.6553182956,3158.65666770019,62.7146464646465,91599.927969694,29374.7218120865,92582.2878598039,29677.498127876,14.1084141303914,6.65110951861311,3324.90175547387,1567.4536847234,2.82788883471477,NA,0.0969824166552073,NA,7.00116791432959,0.39402263455792,0.349793677674867,0.541507994414054,0.173581825011588,5.62766730273379,7.00116791432959,0.39402263455792
2020-03-19,2460,76,NA,1503.85714285714,34.7142857142857,NA,279.571428571429,10.1428571428571,NA,NA,63136.7153784195,63773.4902701944,3968.83495189883,37.6287878787879,95703.6535504474,31315.5290062619,96760.0088618027,31646.9951716754,14.1950671848737,6.6919602442976,4177.72100199878,1969.49704379942,3.08943089430894,NA,0.119171774475577,NA,7.044168678208,0.472154283168303,0.373007144361039,0.565943222504761,0.185101289682922,6.7023410416959,7.044168678208,0.472154283168303
2020-03-20,2994,106,NA,1816.71428571429,48.4285714285714,NA,312.857142857143,13.7142857142857,NA,NA,67386.0209495199,68187.0252785242,4413.53500832978,150.515151515152,100080.355332881,33417.8020179143,101405.83518636,33837.1704389669,14.2845710811101,6.73415493823761,4645.82632455768,2190.17526729147,3.54041416165665,NA,0.15545479446716,NA,7.08858414551327,0.495561789931954,0.398821633783206,0.593116369264937,0.19791148744129,6.99044126999098,7.08858414551327,0.495561789931954
2020-03-21,3631,136,NA,2198.42857142857,66.1428571428571,NA,381.714285714286,17.7142857142857,NA,NA,72568.0833910804,73537.3171573141,5350.29187878994,150.515151515152,105439.116978956,35980.9318224266,107037.72137456,36492.2024991183,14.3770122946281,6.77773436746756,5631.88618819995,2655.03206015141,3.74552464885706,NA,0.184940116470476,NA,7.13445722891322,0.566510995515707,0.430115155382073,0.626056918316376,0.213440603422683,7.93976525605799,7.13445722891322,0.566510995515707
2020-03-22,4204,179,NA,2636.85714285714,88.8571428571429,NA,438.428571428571,22.7142857142857,NA,NA,78284.52231864,79642.0071671248,6104.69000981069,365.536796536797,111222.110125971,38807.4417950716,113463.710858572,39521.5975415807,14.4724793327778,6.82274025688095,6425.98948401122,3029.39504246244,4.25784966698382,NA,0.22475576189884,NA,7.18183184934837,0.604225875993755,0.465821104329219,0.663642127734424,0.231159345005477,8.41236219084303,7.18183184934837,0.604225875993755
2020-03-23,4749,213,NA,3113.42857142857,115.857142857143,NA,476.571428571429,27,NA,NA,84396.8732061484,86232.9035091788,6590.89634205392,451.545454545455,117366.664979955,41828.5482505269,120401.496481786,42792.2679068105,14.5710626676972,6.86921525762866,6937.78562321467,3270.67036522976,4.48515476942514,NA,0.247005483211322,NA,7.23075290276701,0.60884207536695,0.504370843616079,0.704220800667962,0.250289290817002,8.41915636302553,7.23075290276701,0.60884207536695
2020-03-24,5560,276,NA,3664.14285714286,149.142857142857,NA,550.714285714286,33.2857142857143,NA,NA,91088.4441326174,93796.3445655178,7563.44105633904,838.584415584416,123871.896167079,45135.2161001818,128363.013383196,46545.5544460464,14.6728548422098,6.91720299704177,7961.51690140952,3753.28653923592,4.96402877697842,NA,0.294254537613895,NA,7.28126631267554,0.652617346745481,0.54860893593336,0.750787213633521,0.272242028357908,8.96175506154656,7.28126631267554,0.652617346745481
2020-03-25,6412,356,NA,4287.14285714286,191.714285714286,NA,623,42.5714285714286,NA,NA,98401.6132935908,102291.699873677,8495.35530815955,1139.61471861472,130837.983497434,48746.6759845746,137305.492654943,50761.2946741557,14.7779504023049,6.96674804680087,8942.47927174691,4215.74022810925,5.55208983156581,NA,0.348024326939169,NA,7.3334189966325,0.68405282069612,0.598297736254675,0.803091213971746,0.296899628517357,9.32649074101101,7.3334189966325,0.68405282069612
2020-03-26,7431,434,NA,4997.28571428571,242.857142857143,NA,710.142857142858,51.1428571428571,NA,NA,106436.893350892,111904.776467775,9613.07659409754,1526.65367965368,138315.278890488,52713.4540581224,147424.52064873,55531.6935855123,14.8864459836316,7.01789596371202,10119.0279937869,4770.39891135666,5.84039833131476,91.644204851752,0.387829736762826,1.17945882352941,7.38725890917055,0.721796201065479,0.654524018267722,0.86227677398548,0.324801392523832,9.76922661360845,7.38725890917055,0.721796201065479
2020-03-27,8603,546,NA,5798.57142857143,305.714285714286,NA,801.285714285714,62.8571428571429,NA,NA,115075.695361251,122670.643413199,10765.8669454243,2064.20779220779,146082.144038361,56975.6221878604,158757.012170229,60874.1538742192,14.9984402500757,7.07069326074997,11332.4915214993,5342.46028870682,6.34662327095199,95.2380952380952,0.445094266083593,1.1787476635514,7.44283501131575,0.752961093872462,0.717492898736233,0.928559806057597,0.356049107643544,10.114788779049,7.44283501131575,0.752961093872462
2020-03-28,9762,639,NA,6674.42857142857,377.571428571429,NA,875.857142857143,71.8571428571428,NA,NA,124015.357837229,134348.431430302,11677.788017103,2666.2683982684,153778.285078149,61384.5706990329,171049.420609285,66669.1464240597,15.1140339754404,7.12518744556476,12292.4084390558,5794.99254984056,6.54578979717271,98.8406881077038,0.475628924876211,1.3664673407192,7.5001973111208,0.76126046576101,0.785795548352212,1.00045733196915,0.389943655573278,10.1479187072852,7.5001973111208,0.76126046576101
2020-03-29,10866,771,NA,7626.14285714286,462.142857142857,NA,951.714285714285,84.5714285714286,NA,NA,133101.759986535,146938.249164024,12589.8177337222,3418.84415584416,161144.691830824,65862.4512500314,184301.860328992,72916.7251490647,15.2333300244012,7.18142701150341,13252.4397197075,6247.57872500501,7.09552733296521,91.877307583073,0.524710212886331,1.62547904653014,7.55939685421412,0.76757519169123,0.859432602573102,1.07797002062272,0.426485351652817,10.151821478632,7.55939685421412,0.76757519169123
2020-03-30,11750,864,NA,8626.28571428571,555.142857142857,NA,1000.14285714286,92.9999999999999,NA,NA,142069.248646656,160062.646915055,13124.3977510303,4063.90909090909,167970.770435147,70279.2350964073,198117.015856392,79429.5841834106,15.3564333554367,7.2394614389916,13815.1555274003,6512.85903434583,7.3531914893617,110.366373189435,0.539788649414579,1.80633371438016,7.62048572525431,0.751578369254997,0.936196381783383,1.15877399873881,0.464578655621829,9.86042389849536,7.62048572525431,0.751578369254997
2020-03-31,12595,1039,NA,9631.28571428571,664.142857142857,NA,1005,109,NA,NA,150030.191986068,173142.59458347,13079.9476684156,5010.00432900433,173128.623581387,74191.6366246651,211885.381823146,85920.3852820228,15.4834508827404,7.29934113043477,13768.3659667532,6490.80109861222,8.24930527987297,82.6048329779673,0.600083418236585,2.12762655845694,7.68351697940502,0.707567827087392,1.01270017524861,1.23930430764957,0.502542944108332,9.20674093304103,7.68351697940502,0.707567827087392
2020-04-01,13614,1173,NA,10660.1428571429,780.857142857143,NA,1028.85714285714,116.714285714286,NA,NA,156783.902078044,186420.663982806,13278.0693993361,6407.64502164502,176115.64496569,77505.7516219726,225862.296980342,92509.502427558,15.6144915947397,7.36111746609157,13976.9151571959,6589.11714553519,8.61613045394447,81.4241024877104,0.629222091016791,2.35214830574733,7.74854470114902,0.685937584901493,1.09036277029069,1.32105440769386,0.541082276986356,8.85026488572988,7.74854470114902,0.685937584901493
2020-04-02,14697,1339,NA,11698.1428571429,910.142857142857,NA,1038,129.285714285714,NA,NA,162237.9307621,199701.753272923,13281.0892901164,7697.77489177489,176904.04298459,80172.8968980561,239842.390969938,99100.1181655105,15.7496665148084,7.42484278555252,13980.0939895963,6590.61573795252,9.11070286453018,80.1887979861548,0.670499871961592,2.59115885743631,7.81562398479212,0.662232740597251,1.16804302848452,1.40282310052947,0.579630375037429,8.47095212843047,7.81562398479212,0.662232740597251
2020-04-03,15723,1487,NA,12715.2857142857,1044.57142857143,NA,1017.14285714286,134.428571428572,NA,NA,165542.578513671,212601.781976874,12900.0287039515,9460.95238095238,174294.233021909,81776.7425062469,253421.368553045,105501.636168975,15.8890884410909,7.49057026508573,13578.9775831069,6401.51800346466,9.4574826687019,73.9257911232434,0.69942969723638,2.75726251911506,7.8848108053534,0.627121049987714,1.24349448721211,1.48224568866379,0.617072452300748,7.95130253656133,7.8848108053534,0.627121049987714
2020-04-04,16627,1651,NA,13696,1189.14285714286,NA,980.714285714286,144.571428571428,NA,NA,166908.892818439,224928.256454803,12326.4744779289,10815.5887445887,168771.846603843,82418.132633855,266396.604845601,111618.533278323,16.0328720294397,7.55835395673585,12975.2362925567,6116.89710934817,9.92963252541048,69.7444490992878,0.734011824935722,2.9145924501812,7.95616205972194,0.59260133307674,1.31559126324823,1.5581370318597,0.652849799807391,7.44610515832394,7.95616205972194,0.59260133307674
2020-04-05,17851,1766,NA,14693.8571428571,1331.28571428571,NA,997.857142857143,142.142857142857,NA,NA,166464.492485267,237355.280364055,12427.0239092523,12729.2813852814,166464.492485267,82168.6009969856,279477.682644814,117785.327097952,16.1811335362139,7.62824866707227,13081.0777992129,6166.79381962893,9.89300319309843,64.9091035731699,0.744032320364355,2.95294737608786,8.02973543902344,0.598036402574587,1.38827614660113,1.63464743538907,0.688918990042666,7.44539353141007,8.02973543902344,0.598036402574587
