"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-18,145,0,1,145,0,1,NA,NA,NA,NA,7878.78787878788,7878.78787878788,NA,NA,7878.78787878788,7878.78787878788,7878.78787878788,7878.78787878788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0242346229308826,0.0242346229308826,0.0242346229308826,NA,NA,NA
2020-03-19,234,0,1,189.5,0,1,44.5,0,0,NA,9350.64935064935,9350.64935064935,1471.86147186147,0,9350.64935064935,9350.64935064935,9350.64935064935,9350.64935064935,16.7656376905102,4.91623962353305,1471.86147186147,1471.86147186147,NA,NA,NA,NA,8.31979013213286,0.564807692307692,0.0287619700718167,0.0287619700718167,0.0287619700718167,18.6813186813187,8.31979013213286,0.564807692307692
2020-03-20,234,3,1,204.333333333333,1,1,14.8333333333333,1,0,NA,9706.11961530037,9707.11961530037,356.470264651016,0,9952.90672159722,9526.54436919798,9953.90672159722,9527.54436919798,8.38538781647828,2.45887311911769,603.257370947873,176.895018548625,NA,NA,NA,NA,4.16116989389148,0.158634259259259,0.0298584486904565,0.0306175492725918,0.0293060872810666,3.8122514414067,4.16116989389148,0.158634259259259
2020-03-21,318,5,1,232.75,2,1,28.4166666666667,1,0,NA,10226.9306764935,10228.9306764935,521.811061193124,0,10834.9715943856,9784.48820407577,10836.9715943856,9786.48820407577,10.9740657390349,3.21795912648391,883.064872788364,258.943834877791,NA,NA,NA,NA,5.44577698328046,0.292762223721837,0.0314635045066216,0.0333337975768711,0.0301025811447274,5.376103755929,5.44577698328046,0.292762223721837
2020-03-22,363,5,1,258.8,2.6,1,26.05,0.6,0,NA,10730.9745178266,10733.5745178266,504.643841333062,0,11688.3842489492,10034.3129674441,11690.9842489492,10036.9129674441,10.4023258920643,3.05030608865043,854.012654563645,250.424763368286,NA,NA,NA,NA,5.16205645771611,0.254707421554213,0.033015755106238,0.0359606832069911,0.0308728709159656,4.9344603703336,5.16205645771611,0.254707421554213
2020-03-23,395,5,1,281.5,3,1,22.7,0.4,0,NA,11223.1499222131,11226.1499222131,492.575404386565,0,12521.5733948342,10278.3488824028,12524.5733948342,10281.3488824028,9.28668768001262,2.72316405654505,833.589145884955,244.435914958747,NA,NA,NA,NA,4.60843148030701,0.211522732871276,0.0345308840034728,0.0385247474946194,0.0316247393912852,4.59022061387144,4.60843148030701,0.211522732871276
2020-03-24,416,7,1,300.714285714286,3.57142857142857,1,19.2142857142857,0.571428571428572,0,NA,11637.4812993016,11641.052727873,414.902805659889,0,13223.145175841,10483.6690716776,13226.7166044125,10487.2405002491,9.3322331017055,2.73651948095124,702.143209578273,205.89161784626,NA,NA,NA,NA,4.63103296776363,0.171186240299051,0.0358070971980435,0.0406844929008159,0.032258048194606,3.69684810891374,4.63103296776363,0.171186240299051
2020-03-25,480,9,1,348.571428571429,4.85714285714286,1,47.8571428571428,1.28571428571429,0,NA,12466.9818163957,12471.8389592529,830.786231379876,0,14627.8053915828,10894.6532165729,14632.6625344399,10899.5103594301,11.6082080199157,3.40391062238128,1405.94593002748,412.269859180991,NA,NA,NA,NA,5.76046413018371,0.411186259194566,0.0383625399087004,0.0450090882573122,0.0335261626224507,7.13888349216712,5.76046413018371,0.411186259194566
2020-03-26,580,9,14,398,6.14285714285714,2.85714285714286,49.4285714285714,1.28571428571429,1.85714285714286,NA,13144.6631506302,13150.8060077731,678.967048520197,0,15775.5408363313,11230.2985188461,15781.6836934741,11236.4413759889,14.6702348550127,4.30179819056762,1149.02115903418,336.931016558896,NA,NA,NA,NA,7.2799661686529,0.396424016268346,0.0404509969983603,0.0485434002551982,0.0345625398248384,5.44612207284417,7.2799661686529,0.396424016268346
2020-03-27,635,11,16,455.285714285714,7.28571428571429,5,57.2857142857143,1.14285714285714,2.14285714285714,NA,13797.070980975,13954.8718467758,804.065839002762,150.515151515152,16879.7145272444,11553.9778073738,17142.4104979403,11635.4514915843,14.3569578932202,4.2099350213202,1360.72680446621,399.010115595354,1.73228346456693,NA,0.0788255178605704,NA,7.12450542069573,0.435752109710002,0.0429242495747241,0.0527289046151984,0.0357898681710039,6.11705168697465,7.12450542069573,0.435752109710002
