"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","prevalence","prevalence_U","prevalence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-17,114,0,8,114,0,8,NA,NA,NA,NA,3571.42857142857,3571.42857142857,NA,NA,3571.42857142857,3571.42857142857,3571.42857142857,3571.42857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00244832607065152,0.00244832607065152,0.00244832607065152,NA,NA,NA
2020-03-18,147,0,8,130.5,0,8,16.5,0,0,NA,4372.29437229437,4372.29437229437,800.865800865801,0,4372.29437229437,4372.29437229437,4372.29437229437,4372.29437229437,57.1608200724863,16.761443479902,800.865800865801,800.865800865801,NA,NA,NA,NA,28.3655197352188,0.462,0.00299734464407035,0.00299734464407035,0.00299734464407035,22.4242424242424,28.3655197352188,0.462
2020-03-19,199,1,9,153.333333333333,0.333333333333333,8.33333333333333,22.8333333333333,0.333333333333333,0.333333333333334,NA,4451.33000656336,4451.6633398967,79.3689676023223,0,4506.27775336497,4411.34714318475,4506.6110866983,4411.68047651808,57.9730688865355,16.9996217035706,134.31671440393,39.3861042237086,NA,NA,NA,NA,28.7685905752733,0.522227722772277,0.00305175455559316,0.00308942295587818,0.00302434505129219,1.81527044714222,28.7685905752733,0.522227722772277
2020-03-20,253,1,9,178.25,0.5,8.5,24.9166666666667,0.166666666666667,0.166666666666666,NA,4537.21640472302,4537.71640472302,86.0530648263284,0,4651.73935025055,4453.88350116874,4652.23935025055,4454.38350116874,58.3487162103914,17.1097739263554,145.628263552248,42.7030246506592,NA,NA,NA,NA,28.9550020292168,0.559752967232986,0.00311074662497381,0.00318925568867621,0.0030536193112856,1.93319894726847,28.9550020292168,0.559752967232986
2020-03-21,306,1,12,203.8,0.6,9.2,25.55,0.1,0.699999999999999,NA,4625.0565635277,4625.6565635277,87.9401588046758,0,4800.46115745846,4497.42297847031,4801.06115745846,4498.02297847031,58.5479056576188,17.1681828620085,148.821807207912,43.6394773015681,NA,NA,NA,NA,29.0538479203221,0.563111233126842,0.00317103235634225,0.00329127769560742,0.00308353553888197,1.93819626309061,29.0538479203221,0.563111233126842
2020-03-22,367,1,16,231,0.666666666666667,10.3333333333333,27.2,0.0666666666666667,1.13333333333333,NA,4717.75543515915,4718.42210182581,92.7655382981147,0,4957.38232483476,4543.39033832752,4958.04899150143,4544.05700499419,59.0867279139533,17.3261833732645,156.987834042963,46.0340265238765,NA,NA,NA,NA,29.3212334009092,0.588086813667997,0.00323462603638678,0.00339889776952892,0.0031150933049191,2.00571683878735,29.3212334009092,0.588086813667997
2020-03-23,438,1,16,260.571428571429,0.714285714285714,11.1428571428571,29.5714285714286,0.0476190476190477,0.809523809523808,NA,4816.07390255748,4816.78818827177,98.3660864459553,0,5123.80039054184,4592.15596518541,5124.51467625612,4592.8702508997,60.5807461127871,17.7642789353285,166.465684754695,48.8132459055132,NA,NA,NA,NA,30.062625890556,0.626792592342419,0.00330205906748258,0.00351301520676798,0.00314855631283131,2.08501877212372,30.062625890556,0.626792592342419
2020-03-24,495,1,22,315,0.857142857142857,13.1428571428571,54.4285714285714,0.142857142857143,2,NA,4990.07207498965,4990.9292178468,174.141029575027,0,5418.35773729518,4678.42895730535,5419.21488015232,4679.28610016249,62.984477839304,18.4691325994952,294.700203896198,86.4158492627948,NA,NA,NA,NA,31.2554551683764,1.13010765875518,0.0034214381938326,0.00371504142059108,0.00320779708229823,3.61582967990903,31.2554551683764,1.13010765875518
2020-03-25,658,3,29,388,1.28571428571429,16.1428571428571,73,0.428571428571429,3,NA,5218.52100456696,5219.80671885268,228.877501005883,0,5805.26032141502,4791.57869464662,5806.54603570074,4792.86440893233,64.2728358879975,18.8469218017436,387.331155548417,113.578308769836,NA,NA,NA,NA,31.8947907414123,1.46286554370764,0.00357834088458812,0.00398056905110042,0.00328565856793631,4.58665721789915,31.8947907414123,1.46286554370764
2020-03-26,840,3,38,479.571428571429,1.57142857142857,20.2857142857143,91.5714285714286,0.285714285714286,4.14285714285714,NA,5455.94615039104,5507.68929613418,287.882577281505,50.1717171717172,6207.02375500741,4909.42268036526,6293.73193571559,4935.72343224496,64.0991562507308,18.7959931863045,487.185900014856,142.859023312627,NA,NA,NA,NA,31.8086038537461,1.7547081138963,0.00377569340197662,0.00431455023437327,0.00338359289987346,5.51655492101241,31.8086038537461,1.7547081138963
2020-03-27,1036,4,45,591.428571428571,2,25.4285714285714,111.857142857143,0.428571428571429,5.14285714285714,NA,5784.83881510016,5862.09639085773,354.40709472355,25.0858585858586,6763.79266011955,5072.50063714536,6893.49778832468,5111.59462210777,63.6017433807069,18.6501352770494,599.765852609085,175.871189862814,NA,NA,NA,NA,31.5617673919297,2.05016225857904,0.00401865055827457,0.00472570849887749,0.0035041581052544,6.49579532045325,31.5617673919297,2.05016225857904
2020-03-28,1264,4,49,728.285714285714,2.42857142857143,30.7142857142857,136.857142857143,0.428571428571428,5.28571428571429,NA,6207.43361891117,6300.17128124883,438.074890391101,15.0515151515151,7479.18056986566,5282.04381583569,7634.85529514038,5328.98516921914,62.9545050029377,18.46034357229,741.357506815708,217.390547111373,NA,NA,NA,NA,31.2405814300292,2.36575971264361,0.00431896460728643,0.00523393227412833,0.00365318612957607,7.57281065891749,31.2405814300292,2.36575971264361
2020-03-29,1534,8,64,895,3.42857142857143,37.5714285714286,166.714285714286,1,6.85714285714285,NA,6735.67829008597,6839.45029585797,539.279014609138,10.0343434343434,8373.77924416147,5543.71009376203,8547.48131986354,5596.59731180714,62.2969810345838,18.267535792096,912.626024723158,267.612142587994,NA,NA,NA,NA,30.9142913404702,2.68566534316413,0.00468865725111682,0.00585956597907206,0.00383664262952198,8.68763240522146,30.9142913404702,2.68566534316413
2020-03-30,1836,9,66,1094.71428571429,4.57142857142857,44.7142857142857,199.714285714286,1.14285714285714,7.14285714285715,NA,7377.65031684961,7489.73256793186,650.28227207389,7.16738816738817,9460.95168505818,5861.73094198774,9647.95901106551,5919.29377764832,61.8892076161068,18.1479631355501,1100.47769120197,322.696465841178,NA,NA,NA,NA,30.7119376140079,2.96492025540749,0.0051344461023171,0.00661397788110331,0.00405786115718528,9.65429529244322,30.7119376140079,2.96492025540749
