"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-05,259,3,2,259,3,2,NA,NA,NA,NA,183698.298701299,183701.298701299,NA,NA,310876.120879121,91157.0429645542,310879.120879121,91160.0429645542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.393055086037585,0.665170145602067,0.195049892319403,NA,NA,NA
2020-03-06,400,5,2,329.5,4,2,70.5,1,0,NA,232939.722943723,232943.722943723,49242.4242424242,0,394208.454212454,115592.133190118,394212.454212454,115596.133190118,29.4770345853879,13.89631630454,83333.3333333334,24436.0902255639,NA,NA,NA,NA,14.6277013732,0.0383781453058724,0.4984162643969,0.843473678210139,0.247334386843575,26.8061406069386,14.6277013732,0.0383781453058724
2020-03-07,500,10,30,386.333333333333,6,11.3333333333333,56.8333333333333,2,9.33333333333333,NA,233280.864194288,233286.864194288,343.14125056527,0,394567.655528839,115760.413810699,394573.655528839,115766.413810699,33.3762780164485,15.7345310648971,361.201316384482,170.280620581252,NA,NA,NA,NA,16.5626642788391,0.0243983003908114,0.499150463962812,0.844246519858468,0.247698726477787,0.147309031808272,16.5626642788391,0.0243983003908114
2020-03-08,673,17,30,458,8.75,16,71.6666666666667,2.75,4.66666666666667,NA,233665.295278625,233674.045278625,387.181084336567,0,394972.464564982,115949.798784881,394981.214564982,115958.548784881,37.3001672245063,17.5843645486958,407.559036143764,192.13497418206,2.5260029717682,NA,0.00727509124076223,NA,18.5098574196798,0.030721207133526,0.499978893023967,0.845118550449157,0.248109826613397,0.16597207219453,18.5098574196798,0.030721207133526
2020-03-09,1073,28,32,581,12.6,19.2,123,3.85,3.2,NA,234262.456746906,234275.056746906,601.011468281649,0,395601.258215805,116244.195077412,395613.858215805,116256.795077412,41.2410826489388,19.4422246773569,632.643650822807,298.246292530748,2.60950605778192,NA,0.011951763191866,NA,20.4654996603757,0.0526394391965067,0.501264842639158,0.846472181623042,0.248747967023943,0.257210411826453,20.4654996603757,0.0526394391965067
2020-03-10,1695,35,32,766.666666666667,16.3333333333333,21.3333333333333,185.666666666667,3.73333333333333,2.13333333333333,NA,235086.656402345,235102.989735678,827.932988771965,0,396469.033291706,116651.315708432,396485.366625039,116667.649041765,45.1904284187802,21.3040591117107,871.508409233647,410.853964353024,2.06489675516224,NA,0.0148870926904629,NA,22.4253253807481,0.0792559389924877,0.503036323159088,0.84833689795981,0.249627047582705,0.353421115900979,22.4253253807481,0.0792559389924877
2020-03-11,2277,54,183,982.428571428571,21.7142857142857,44.4285714285714,215.761904761905,5.38095238095238,23.0952380952381,NA,235966.103403057,235987.817688772,884.827953093336,0,397395.050184686,117085.022311721,397416.7644704,117106.736597436,49.1386972770133,23.1653858591634,931.39784536144,439.087555670369,2.37154150197628,NA,0.0228825371279194,NA,24.3846166938562,0.0917799020158861,0.504929538556531,0.850329756272908,0.250566537930309,0.376383741482534,24.3846166938562,0.0917799020158861
2020-03-12,2277,55,183,1270.71428571429,29.1428571428571,70.2857142857143,288.285714285714,7.42857142857143,25.8571428571429,NA,236601.688602169,237082.376913857,1094.55922508563,451.545454545455,397773.55844938,117398.194558756,398568.932075754,117649.901325674,53.0751905082115,25.0211612395854,1152.16760535329,543.164728237985,2.41545893719807,NA,0.0231986876105869,NA,26.3380644627215,0.122172791692173,0.507271503874309,0.852794982923201,0.251728716208304,0.463862906281922,26.3380644627215,0.122172791692173
2020-03-13,5232,133,193,1961,47.4285714285714,97.5714285714286,690.285714285714,18.2857142857143,27.2857142857143,NA,238873.79041538,239523.279592869,2440.90267901187,150.515151515152,400069.233719749,118516.995888191,401138.303316819,118861.176339319,56.9883557829283,26.865939154809,2569.37124106509,1211.27501364498,2.54204892966361,NA,0.0555269618160153,NA,28.2799359524306,0.291750917812536,0.512494162719353,0.858292518549563,0.254320411575017,1.03165057419184,28.2799359524306,0.291750917812536
2020-03-14,6391,195,517,2802.57142857143,73.8571428571429,167.142857142857,841.571428571428,26.4285714285714,69.5714285714286,NA,241332.613676256,242309.561728204,2786.28213533465,301.030303030303,402464.91319901,119724.85769971,404071.231880329,120243.842662116,60.8658368758573,28.6938945271899,2932.92856351018,1382.66632279765,3.05116570176811,NA,0.0804755696016361,NA,30.2040995023051,0.352309193601753,0.518455810090228,0.864567936834695,0.257278823052294,1.16642438272092,30.2040995023051,0.352309193601753
2020-03-15,7798,289,517,3820.42857142857,112.714285714286,236.714285714286,1017.85714285714,38.8571428571428,69.5714285714286,NA,244050.346609843,245480.068471315,3170.50674311139,413.916666666667,405061.05337009,121055.317812833,407408.607399394,121817.17683539,64.6942753896644,30.4987298265561,3337.37551906466,1573.33417327332,3.70607848166196,NA,0.117728499018147,NA,32.1039261332169,0.421766960377608,0.525239560719682,0.871708726970962,0.260645195545105,1.31374980563737,32.1039261332169,0.421766960377608
2020-03-16,9942,342,530,5087.42857142857,157.571428571429,307.857142857143,1267,44.8571428571429,71.1428571428571,NA,247155.502867951,249209.565205613,3729.49673429798,579.483333333333,407958.652776156,122575.5646885,411334.393435497,123667.904538124,68.4595577257581,32.273791499286,3925.78603610309,1850.72770273432,3.43995171997586,NA,0.137233897791134,NA,33.9724121045116,0.519157476103376,0.533219350030589,0.880108505192969,0.264605090992623,1.5281669483798,33.9724121045116,0.519157476103376
2020-03-17,11748,533,1028,6523.57142857143,228.714285714286,450.142857142857,1436.14285714286,71.1428571428571,142.285714285714,NA,250533.762998661,253220.891425789,4011.3262201758,561.923232323232,411156.426947898,124218.036346632,415556.842088313,125658.487474452,72.1468485906045,34.0120857641421,4222.44865281665,1990.58293632783,4.53694245829077,NA,0.210488161935961,NA,35.8021955412022,0.581071266350149,0.541802153656598,0.88914303532561,0.268864226626582,1.62299692850414,35.8021955412022,0.581071266350149
2020-03-18,13910,623,1081,8185.42857142857,310,578.428571428571,1661.85714285714,81.2857142857143,128.285714285714,NA,254064.081925555,257642.410929884,4421.51950409514,809.914862914864,414355.021863204,125931.686197214,420211.073145256,127852.624972724,75.7407930982154,35.7063738891587,4654.23105694226,2194.13749827279,4.47879223580158,NA,0.241808015128979,NA,37.5856567254302,0.663329792448138,0.551262624221505,0.899101425393934,0.273558896230221,1.76483977695205,37.5856567254302,0.663329792448138
2020-03-19,17963,830,1107,10426.2857142857,420.714285714286,710.428571428571,2240.85714285714,110.714285714286,132,NA,258535.010329733,263342.166173889,5699.75524400501,1118.11255411255,418346.716606267,128098.311248482,426210.815507366,130681.074943434,79.2256241426555,37.349222810109,5999.74236211053,2828.44997070922,4.6206090296721,NA,0.315179301537277,NA,39.3149713790621,0.882008833462988,0.563458062161595,0.911938728488765,0.279610767689213,2.24343212972353,39.3149713790621,0.882008833462988
2020-03-20,20410,1043,1588,12594.5714285714,550.714285714286,909.714285714286,2168.28571428572,130,199.285714285714,NA,260943.541479065,268632.974379498,5290.80820560839,2752.27705627706,419115.629427286,129237.245073392,431780.087302743,133306.588789826,82.5851944092879,38.9330202215214,5569.27179537725,2625.51384639218,5.11024007839294,NA,0.388262089718947,NA,40.9821265489699,0.838685325277972,0.574778499682536,0.923854978510808,0.28522842841389,2.04645715056562,40.9821265489699,0.838685325277972
2020-03-21,25374,1375,2125,15306.4285714286,719.285714285714,1139.42857142857,2711.85714285714,168.571428571429,229.714285714286,NA,263166.066197785,275001.97095969,6368.99658019235,3977.90043290043,418901.136720104,130268.546276452,438484.294229262,136467.143483756,85.8032024589025,40.4500811591969,6704.20692651829,3160.55469393003,5.41893276582328,NA,0.499996416462611,NA,42.5790327991546,1.03925465094089,0.58840587475554,0.938199583850813,0.291990885217035,2.44075654990041,42.5790327991546,1.03925465094089
2020-03-22,28768,1772,2575,18302.1428571429,931.142857142857,1433.42857142857,2995.71428571429,211.857142857143,294,NA,263898.993353042,281795.344002393,6793.37304270302,5848.58874458874,415915.685749053,130545.104112895,445635.213221581,139838.291008706,88.8633399619148,41.892717410617,7150.91899231891,3371.14752495033,6.15962180200223,NA,0.628825151910584,NA,44.0975972743337,1.13833988755263,0.602941263697601,0.953499993263508,0.299203935368734,2.58140159970222,44.0975972743337,1.13833988755263
2020-03-23,35136,2311,2575,21901.2857142857,1212.42857142857,1725.57142857143,3599.14285714286,281.285714285714,292.142857142857,NA,264771.047910059,289700.363927375,7905.01992498239,6751.67965367966,412498.499281038,130858.749875883,453956.286826825,143761.082851179,91.7495243610577,43.2533471987843,8321.07360524457,3922.79184247251,6.57729963570128,468.119139547711,0.797720779038904,1.25802050194415,45.5298391566151,1.36383701968702,0.61985517943314,0.971304115090391,0.307597307087122,2.99547179947258,45.5298391566151,1.36383701968702
2020-03-24,39885,2808,3794,25920.8571428571,1537.42857142857,2120.71428571429,4019.57142857143,325,395.142857142857,NA,262314.33844065,298276.732380044,8576.36845266819,10708.0779220779,403030.640162389,129511.747969474,462984.043092792,148017.025090849,94.4460991764577,44.5245896117586,9027.75626596663,4255.94223966994,7.04024069198947,384.357142857143,0.941407657779435,1.20544136777551,46.8679890650091,1.51813346038215,0.63820554093785,0.990620285095349,0.316703501518031,3.23916399484188,46.8679890650091,1.51813346038215
