"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-08,482,2,18,482,2,18,NA,NA,NA,NA,69197.1341991342,69199.1341991342,NA,NA,117104.227106227,34337.4199785177,117106.227106227,34339.4199785177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.102471448571157,0.17341322065888,0.0508504932759123,NA,NA,NA
2020-03-09,629,3,18,555.5,2.5,18,73.5,0.5,0,NA,90365.4653679654,90367.9653679654,21168.8311688312,0,152927.902930403,44841.75349087,152930.402930403,44844.25349087,10.5987347503676,3.78499129498301,35824.1758241758,10504.8335123523,NA,NA,NA,NA,5.25952250770124,0.106218271682297,0.133818673063678,0.22646236980007,0.0664062588135545,30.5920634052733,5.25952250770124,0.106218271682297
2020-03-10,887,7,18,666,4,18,110.5,1.5,0,NA,92460.1330313229,92464.1330313229,2096.16766335751,0,155839.181361349,45880.4569929873,155843.181361349,45884.4569929873,10.6229213586654,3.79362875068111,2912.77843094585,1040.20350211726,NA,NA,NA,NA,5.27152488475126,0.122281227181255,0.136922719659032,0.230775669794936,0.0679466127631286,2.31965569459747,5.27152488475126,0.122281227181255
2020-03-11,1298,7,18,824,4.75,18,158,0.75,0,NA,95449.5441480548,95454.2941480548,2990.16111673186,0,159993.47914599,47363.5463441475,159998.22914599,47368.2963441475,10.6480529631772,3.80260368085405,4155.04778464092,1483.83935116018,NA,NA,NA,NA,5.28399620729094,0.170884280555878,0.141350609467753,0.236928546854775,0.0701439114652007,3.23400044830011,5.28399620729094,0.170884280555878
2020-03-12,1787,9,18,1016.6,5.6,18,192.6,0.85,0,NA,99084.7457613515,99090.3457613515,3636.05161329678,0,165045.189061952,49167.0527838286,165050.789061952,49172.6527838286,10.6741659111456,3.81192906573012,5052.5599159624,1804.35643968111,NA,NA,NA,NA,5.29695451229779,0.201781508353418,0.146734946717144,0.24441047765598,0.0728158382205376,3.80939652017278,5.29695451229779,0.201781508353418
2020-03-13,2266,10,18,1224.83333333333,6.33333333333333,18,208.233333333333,0.733333333333333,0,NA,103005.235192857,103011.56852619,3921.22276483887,0,170493.281837339,51112.1893939491,170499.615170672,51118.5227272824,10.7012975884567,3.82161825645522,5448.82610871978,1945.86994345386,NA,NA,NA,NA,5.3104183521665,0.210155969532514,0.152541571056214,0.252479207284389,0.0756973209752639,3.95744343360707,5.3104183521665,0.210155969532514
2020-03-14,2630,29,18,1425.57142857143,9.57142857142857,18,200.738095238095,3.23809523809524,0,NA,106772.146523457,106781.717952028,3770.14942583787,0,175728.942386035,52979.8525175479,175738.513814607,52989.4239461193,10.729486582028,3.83168503308417,5238.89864393472,1870.90121883684,1.10266159695817,NA,0.0271582070004046,NA,5.32440687529207,0.194880390576137,0.158124483002533,0.260237072164846,0.078467788557648,3.66015321335756,5.32440687529207,0.194880390576137
2020-03-15,3072,43,18,1795.57142857143,15.4285714285714,18,370,5.85714285714286,0,NA,113395.473989506,113711.932863965,6930.21491193658,301.030303030303,184842.305719052,56264.6734512908,185368.554803301,56428.477962569,10.7587725644963,3.84214356340108,9630.04098869421,3439.05401644972,1.39973958333333,NA,0.0378148527748987,NA,5.33893976884778,0.34653000266654,0.168386882513082,0.274497427606164,0.0835604078636345,6.49065803918635,5.33893976884778,0.34653000266654
2020-03-16,3684,65,20,2232,24.2857142857143,18.2857142857143,436.428571428571,8.85714285714286,0.285714285714285,NA,121462.751266713,121863.324859786,8151.39199582128,75.2575757575758,196032.699398442,60263.7739905705,196695.510753753,60473.5296296683,10.7891964638745,3.85300846350643,11326.9559504522,4045.05166709928,1.76438653637351,NA,0.0533384429440013,NA,5.3540373429753,0.384869643189575,0.180457625237686,0.291270608334183,0.0895504004938894,7.18846326845077,5.3540373429753,0.384869643189575
2020-03-17,4452,82,52,2741.28571428571,35,23.1428571428571,509.285714285714,10.7142857142857,4.85714285714286,NA,130710.663170845,131347.723776906,9484.39891711956,225.772727272727,208818.136386592,64848.3215735021,209874.777412233,65180.0734532013,10.8208004298027,3.86429478576498,13179.2666584803,4706.54382353301,1.8418688230009,NA,0.0624297076813277,NA,5.36972051403745,0.419289235889122,0.194502311014638,0.310786727447952,0.0965199438117752,7.80848352125118,5.36972051403745,0.419289235889122
