"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w"
"CT",0.653975405287704,8.6677554829678,7.40789092924531,12.7234918821672,19.4735144779602,9.66375240731408,32.9549466829523,1.44257671261809,0.585582519495648,0.290642302930864,0.990962187937249,4.37742086642287,14.9277077041653,0.742814696303018,12.7217688131168,11.2583168711459,0.125039022103971,0.00134631517743172
"NJ",0.66113640411991,8.45077893352146,7.58207245528957,8.7543161008855,27.9940392674536,13.8926498753194,47.3733310038309,2.12252834042055,0.924626825008168,0.45942883527309,1.56394025062569,4.48042874639511,15.2780668876661,1.06491403009091,8.75431610088643,8.11006176976474,0.179370177850282,0.00318615116317034
"MA",0.661220466808302,7.12590597139375,8.80393221549228,8.8158979980877,20.5546603416624,10.3161752082477,34.6252306111199,1.80961836360463,1.32916994775903,0.775005690092965,2.09074815261127,5.22629981567103,17.5415629055802,1.87409562633223,8.81565551161471,8.81626896552301,0.12895170303154,0.00586144104688819
"PA",0.62557783009924,5.93823853789192,9.65596813825545,12.662844092574,10.2689306338714,5.09651296387561,17.3772933789748,0.991564670146178,1.57951292931554,0.783898270591492,2.67291217902011,5.7060938577805,19.4557470406619,4.72372251683542,12.6627944235608,12.6629605844307,0.0588814753707412,0.00358538036550414
"MI",0.630944287102635,6.35789837738133,9.74658752626076,71.4840323845468,10.6937927312796,5.64048234258185,17.7913196530318,1.04227986843108,0.782930738175908,0.721982351168812,1.01954225691584,5.85836176718609,18.4785591927585,2.45078181965482,76.4538753165996,61.8740652036981,0.0662670948427518,0.00223293474613685
"NH",0.67351005546091,6.0709219858156,10.4142148672653,12.1830975838695,4.97870016331347,2.47096660479595,8.42503434189611,0.518492532604355,0.302990188389175,0.150514814786648,0.512534415946255,6.15418895120687,20.9833889133913,1.59930572774607,11.8777545385004,10.99186838465,0.0314772771566899,0.00191217104222883
"NY",0.660919302435503,5.90809321112755,11.1117278010789,46.6721904903717,19.790789543298,9.82134703779113,33.4918262716383,2.19909866373565,0.158035523502978,0.0786504859558412,0.267340002534634,6.56607569231871,22.3910086393836,0.812467644681778,48.6960097234496,42.5912998892813,0.129924798858163,0.000997246725162555
"RI",0.650869171299513,4.92549470557233,12.3441063994053,15.6051144391827,15.960247475669,7.92085648446148,27.008641294814,1.97014993000497,1.42816152175422,0.709071777787726,2.41639392534534,7.29451699735545,24.8729406203718,2.2241020760635,15.6060158856747,15.0349114962662,0.0970396304942319,0.00254870624838936
"DC",0.650682743006209,4.48206428518159,13.8017098525078,25.2897186217033,13.7661730982651,6.83225175382496,23.2953394005554,1.89996726881653,1.06501158810775,0.528971055716648,1.80168267567624,8.15599736989122,27.8088006308149,1.58201840894149,25.7597337055494,24.3375686438194,0.085157754385766,0.0028338686983616
"IN",0.587780297309497,3.8317902902362,14.5950418917942,58.7639065243806,8.47542510607611,4.278441196794,14.328349756173,1.23699184473945,1.59238082723411,0.862109951753911,2.6810626513139,8.63317734274686,28.9122086255709,8.46209685782433,62.9177680259336,51.4649064222859,0.04739893339774,0.00461957639821283
