"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","rcntAsct_L","rcntAsct_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w"
"CT",0.652856366135678,8.41116216012653,7.63414029746338,17.5821589036099,19.5121584468613,9.67948675385412,33.0883235262766,1.48958555089674,0.555787950264164,0.272497426998771,1.00840623268649,4.5018465493237,15.3890964343087,10.3889380273645,35.4351112380462,0.838178660424346,17.9657771687117,17.2818261219084,0.125291456199739,0.000841446985894824
"NJ",0.653643719085331,8.28733871595836,7.70349667466178,9.44062986218567,28.1473199464416,13.9685867665032,47.632903891776,2.16832785608054,1.02803465883299,0.510658927418502,1.73905503828549,4.55216390125421,15.522886404516,5.57855400947297,19.0242995707695,1.26685963815079,9.42639933834601,9.76053051722008,0.179696673905872,0.00217288754237412
"MA",0.659670641995369,7.0324622928434,8.93084495954506,8.97867466158177,20.9383748641618,10.5065899336985,35.3822949833399,1.86997379616665,1.3012760717983,0.761052940163066,2.15139656618037,5.28505513010714,17.7981039325514,5.30558048184342,18.0933898483373,1.55010578817642,8.97867466158392,8.9786746615802,0.131505202101472,0.00587594956433098
"PA",0.616402542370643,5.68685431122844,10.1460908774552,14.2649401678064,10.4404380522016,5.18160616827477,17.6675583335568,1.05929633278079,1.46890479046623,0.729200588094248,2.48546728213014,5.99571436404326,20.4433972474887,8.42928282643023,28.7460157926987,5.09957997548186,14.2649401649718,14.2649401733259,0.0602406391694291,0.00365568194129834
"NH",0.652845782956042,5.92024119501165,10.5714637120706,12.4684101001688,5.07647920971213,2.51937739057981,8.59065932165401,0.536658157505529,0.297422853004349,0.14770444249131,0.503178234616409,6.24699615491448,21.3012214649597,7.36710727222435,25.130726421966,1.46093584586064,11.7890969689264,12.9187304590088,0.0317714573170328,0.00102963056120014
"MI",0.660025460429713,5.9239263374917,10.7989074952552,40.531523738752,10.6139110213906,5.28482298448186,17.9987874430624,1.14618643282867,0.509137677091579,0.2700206441591,0.898956358511215,6.36813138915345,21.6882653627999,23.9521101219292,93.9950330767539,2.53888753155799,42.7556343274446,39.8241189405129,0.067899239971094,0.00303398756986307
"NY",0.660912584535774,5.80810512175105,11.3177053008485,55.4324138057534,19.8128106886051,9.8383204101758,33.5291334969038,2.24235552555134,0.116487208136448,0.0641154744241494,0.197016792524345,6.68778250937622,22.7920562866814,32.7539389540145,98.8261448137254,0.803832292701755,56.6583554336305,52.3540539504572,0.130238366127415,0.000807050184796501
"RI",0.622332531049099,4.76039496331189,12.1247655487977,12.9564852308975,17.1886749527079,8.53045207457104,29.0875185636492,2.08408653896075,2.38845586613131,1.18537105517196,4.04183418842562,7.16488254025643,24.4311382414695,7.6561049091666,26.1092808440815,1.22082444779213,12.8660483521417,13.1408548560789,0.0992107506317488,0.00368146458100685
"LA",0.497263297856404,3.33960677531734,14.5044591461167,51.1764370112513,22.2218456402549,11.3152162528823,37.2235803748435,3.22315852240388,6.77394342055759,3.64720055911591,11.0839167641712,8.65891590746106,28.4851694423679,30.2406218702913,98.582618257373,5.09632663295564,53.3490823319102,45.6724859142808,0.107640820393418,0.0195319474255043
"DC",0.650850339761195,4.31910208140939,14.5834801880591,31.9900561159378,13.6772461553793,6.78779628837092,23.1452960874219,1.99461848334181,0.722033223545793,0.3586998863841,1.22135584648786,8.61781364043889,29.3853615901682,18.9008246404358,64.4850471608114,1.68654092831015,32.8804900315081,31.1875371708092,0.0861496084301926,0.00297556213327968
"IL",0.615253431297834,3.45336911523019,15.8972915073323,21.2127846641104,11.9308922709821,5.92102761475737,20.1901436986527,1.89668872374381,2.25020266836972,1.11652152691406,3.80820074681109,9.39413186975175,32.0331004539916,12.5348273015197,42.7469751564641,4.60647073898849,21.2525497099742,21.1322019321446,0.0654996625978224,0.0041825085755236
"VT",0.597115476915625,3.54306658521686,16.3066980618538,43.2943957412996,1.60881355167655,0.798208673555947,2.72281359657938,0.262344368250081,0.200474816878538,0.0993338126787373,0.339471122305819,9.63504694480958,32.8666396321354,25.5830520289509,87.2447671756483,0.369117194709313,43.2942214268149,32.6055377518931,0.0092950356496669,0.000160259235339084
"NM",0.564203293836042,3.09112333071485,16.616013488211,18.1855665533767,7.30749536891516,3.62707901277666,12.3654269169035,1.21421441614934,1.95170001651066,0.968615753663565,3.30273545006745,9.81942980463952,33.4763707069015,10.746016599722,36.6466719939233,2.51550092461654,18.1855665533775,18.1855665533757,0.0375328651024952,0.00615214688465297
"DE",0.608470012458634,3.45318821585276,16.7510686646432,25.4237754476645,10.7586094015657,5.33684859595185,18.276649974095,1.80218204821702,1.40683859373364,0.695935463675096,2.45083021374896,9.8605710060181,33.7686560863658,15.0167491385263,51.2869227363648,4.19054707852624,20.9641024499758,24.9176824238985,0.062232738117244,0.00195119145912151
"IN",0.625722074959809,3.47258485639687,17.1908096213613,65.7461522683145,8.27340370888028,4.21494457207188,13.9984949823892,1.42226508080025,1.01836672397265,0.614176857797731,1.72145992980273,10.1601285180266,33.7433875222025,38.8499990676419,98.9999999999948,9.12231119485021,68.5239365941508,59.8054130919813,0.0493893618136903,0.00472355400203113
"OH",0.612794133616926,3.32042586688082,17.4215457319575,45.7474672193592,6.1758813272906,3.09392048282416,10.4113659780671,1.07593398978536,1.015130020925,0.532299087048804,1.67867609193511,10.3342250387889,34.775747979251,27.0325942659865,92.1880778814312,3.34215534916399,47.2721179878982,42.357106221459,0.0357255905073958,0.00496188757047164
"MD",0.649095268908831,3.4449638214766,18.25138468575,56.1322543986483,9.90728543291514,4.96699782173148,16.7195770692858,1.80821677627661,0.65605629149995,0.375684971782971,1.0643068246725,10.8149672015229,36.4046218898134,33.1690594173883,98.9999999999992,4.6474689299788,58.9463739513539,50.2200595129645,0.0622924137565998,0.00380436940096069
"ME",0.605578892670492,2.91219619005912,19.3480571458176,25.32123654233,1.75600554140609,0.871138912804528,2.97206220551178,0.339752955634974,0.287329701351326,0.142252731889311,0.486706432058596,11.4315560086492,39.0010078348102,14.9552414755659,51.0880722102232,0.573527516432532,24.3552035781563,23.3692750787202,0.00989427262961497,0.000669537245613043
"MS",0.673649325784993,2.99413263794227,19.4526335511029,22.2421917656764,14.5723379663794,7.2676569399191,24.6281143876747,2.83470350442804,3.06240083662285,1.55268231858919,5.15426207699201,11.5100306089478,39.0043658893397,13.1431133160815,44.8213864368942,14.280440327561,21.6482349824983,23.0212903447685,0.0848747828149733,0.0242595380809227
"CO",0.666384596192081,3.20726958026828,19.8261632721624,40.4831113671376,5.06027485068284,2.49897738349245,8.60924636809574,1.00325835391655,0.282568235507035,0.127846690565684,0.524224736924407,11.6532656985453,40.146756050847,20.9930093301344,94.0672870910288,3.34740089151032,36.4292044404901,41.5667288387881,0.0321771999966659,0.00248318380978048
"SC",0.514851485374935,2.31861447432844,21.1997690114986,59.8205634410436,11.0399717414065,5.53098010661095,18.6860354008084,2.3404485081129,3.69150515074858,1.8822885953868,6.25303290879307,12.5251208076575,42.315258109778,35.3485147606175,99,13.6673773987205,63.2767918824739,51.8853575822299,0.0542659778733097,0.0174800930873224
