"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","rcntAsct_L","rcntAsct_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w","cvDR"
"NJ",0.64828788924271,7.0932237334773,9.01201037638813,48.8170225620107,28.6938617046627,14.2414985604911,47.3741109737922,2.58589379421066,1.05840774411326,0.506880799245213,1.05840774411326,5.45845344863823,18.1574557145586,34.9228814983376,96.8949851384713,3.56966938773798,50.4697438126986,45.7988542686145,0.183423232333467,0.00210533663432104,49.095151833523
"CT",0.652752931006238,6.73871863022952,9.55607654668083,73.7776801513825,19.987874735179,9.99560995225773,33.2469986686718,1.91005660974839,0.683166435082702,0.369132960069663,0.683166435082702,5.74504973752174,19.1089550199681,49.133834615896,98.9999999999983,2.4224783176904,77.0633808076932,68.5396425880703,0.128713340609045,0.00241214802623183,56.9281163329003
"MA",0.669459525300116,6.5102090567082,9.88457472970728,22.5844181563711,22.2777338644283,11.0551160530246,37.6573513882314,2.20205925191473,0.964053846704183,0.47746504588278,1.58933529052219,5.84762117019974,19.9189157431981,13.3608898428474,45.5110244666294,1.505301287426,23.9888828179194,20.3765978907977,0.143358660852233,0.00676096912834133,29.4542349387627
"NY",0.660671398454177,5.18307477021272,12.5598008074804,44.1592094744181,20.3269841795671,10.1417604564725,34.1726026034971,2.55302872312169,0.361067328391082,0.139092034955666,0.39418869094217,7.47098122067071,25.1734275728465,32.6750864837938,88.9874978802737,1.33510941066704,42.8137217621156,46.6861373455616,0.132325387624405,0.00140848248811619,96.1566539595607
"NH",0.651198048880307,4.56862556506685,13.8646154103938,70.8903528760353,5.5151027211187,2.77585011428113,9.00568238334867,0.764647781771273,0.3374105975241,0.189521786965926,0.3374105975241,8.49072562435793,27.5464362372208,20.3984021938385,98.9999999999974,1.56310026892044,74.1068902303307,65.6997479591433,0.0349338940407189,0.00264762144308607,44.5754251002629
"PA",0.663397349007028,4.43189657374997,13.9623298263519,27.5591279132877,10.9482419610071,5.43299759121838,18.513567234146,1.52862965278286,0.947483383671834,0.469415820710842,1.59010503439905,8.25680774239709,28.1360266982938,16.2974112877572,55.535818370718,11.2705291140165,27.4335090521611,28.1036493114123,0.0677472852070096,0.00442118798883517,28.9360780253569
"MI",0.632348766930975,4.20328492950926,14.1053522155728,37.1820727209569,12.7544103105743,6.32925624434515,20.455210667648,1.79905449732584,1.6690703721027,0.796387380834359,1.69659893487032,8.79509151265415,28.4244218889572,22.7126521579751,74.9275101801026,4.90775466909112,37.5032775073223,36.8908260308261,0.0756193865597555,0.00501659330858547,46.0143372749624
"RI",0.661415903281298,3.8164002062919,15.7162015401426,24.1411464004269,18.6340056052788,9.24188051906865,31.4953172595996,2.92855787592709,2.15930122465755,1.04326001248518,3.6166447501544,9.29839141415374,31.6879002047758,14.275166624288,48.6480677463161,3.00007844807294,23.8648697977753,25.0189385757932,0.111765488818259,0.00698534305114121,29.3501946151422
"DC",0.657363171126131,3.81870092790864,16.8295084881604,46.2625186033101,14.1546024919184,7.03203374290775,23.6314310832746,2.38215002784276,0.405652380465443,0.105713009535532,0.405652380465443,10.0804306749275,33.8756910864557,27.5904588776993,93.2259844581902,1.43053173241849,45.4656175742782,47.3450729002787,0.0909671852174073,0.00255048182852544,38.3753757534435
"VT",0.564770084008859,2.78444551128181,19.7440896276513,75.9084508645065,1.69073375124778,0.896593479760246,2.67227265799896,0.333819987211313,0.169229102123898,0.0849170059378202,0.175764269399515,12.4919882786693,37.2320337752822,72.2164589727504,97.4462376653215,2.12041479647119,75.3245284233685,71.5550097613781,0.0092950356496669,0,117.763197301336
