"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,9,0,0,9,0,0,NA,NA,NA,NA,2229.43722943723,2229.43722943723,NA,NA,3772.89377289377,1106.33727175081,3772.89377289377,1106.33727175081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0306295358019446,0.0518345990494447,0.0151996192701379,NA,NA,NA
2020-03-14,12,0,0,10.5,0,0,1.5,0,0,NA,2727.27272727273,2727.27272727273,497.835497835498,0,4615.38461538462,1353.38345864662,4615.38461538462,1353.38345864662,2.11376148207959,0.619909097410013,842.490842490843,247.046186895811,NA,NA,NA,NA,1.04893426930266,0.0672815533980582,0.0374691408839323,0.0634093153420392,0.0185937090100716,22.3300970873786,1.04893426930266,0.0672815533980582
2020-03-15,12,0,0,11,0,0,0.5,0,0,NA,2764.45327140838,2764.45327140838,37.1805441356487,0,4678.29697956534,1371.83395423273,4678.29697956534,1371.83395423273,2.70995430809117,0.794756335278854,62.9123641807228,18.4504955861114,NA,NA,NA,NA,1.34478935589487,0.0183333333333333,0.0379799526675975,0.0642736484955431,0.0188471945568529,1.36328661830712,1.34478935589487,0.0183333333333333
2020-03-16,18,0,0,12.75,0,0,1.75,0,0,NA,2871.21201367115,2871.21201367115,106.758742262769,0,4858.94105105087,1424.81197670899,4858.94105105087,1424.81197670899,3.30325655470465,0.968755844356692,180.644071485535,52.9780224762612,NA,NA,NA,NA,1.63921001962787,0.0633030059735966,0.0394466773975571,0.0667554604891339,0.0195750429190885,3.8618392782013,1.63921001962787,0.0633030059735966
2020-03-17,20,0,0,14.2,0,0,1.45,0,0,NA,2946.25618592232,2946.25618592232,75.0441722511778,0,4985.92161048223,1462.05194188627,4985.92161048223,1462.05194188627,3.89366636917475,1.14190708128343,126.980559431358,37.2399651772764,NA,NA,NA,NA,1.93219534109424,0.0504998112476983,0.0404776856405095,0.0685000063951137,0.0200866710697265,2.61367575413652,1.93219534109424,0.0504998112476983
2020-03-18,28,0,0,16.5,0,0,2.3,0,0,NA,3049.68556238495,3049.68556238495,103.429376462622,0,5160.93213682799,1513.37779787524,5160.93213682799,1513.37779787524,4.48117221950332,1.31420666403577,175.010526345757,51.32585598897,NA,NA,NA,NA,2.22373959764826,0.0780621333585054,0.0418986692625217,0.0709044208866479,0.0207918208370409,3.51053574216742,2.22373959764826,0.0780621333585054
2020-03-19,44,0,0,20.4285714285714,0,0,3.92857142857143,0,0,NA,3205.96358840289,3205.96358840289,156.278026017946,0,5425.36667685019,1590.9292995082,5425.36667685019,1590.9292995082,5.06575803930205,1.48564988077638,264.434540022203,77.5515016329659,NA,NA,NA,NA,2.51383481649576,0.128812850806893,0.0440457238329625,0.0745374037326934,0.0218572764885378,5.12439800173143,2.51383481649576,0.128812850806893
2020-03-20,65,0,0,28.4285714285714,0,0,8,0,0,32.3699421965318,3491.42640123856,3491.42640123856,285.462812835664,0,5908.39189497634,1732.58753745673,5908.39189497634,1732.58753745673,5.64739482564156,1.65622822573016,483.025218126152,141.658237948525,NA,NA,NA,NA,2.80246660520558,0.249521447388625,0.0479676074950923,0.0811735350471291,0.0238034743960608,8.90411899462253,2.80246660520558,0.249521447388625
2020-03-21,104,1,0,41.5714285714286,0.142857142857143,0,13.1428571428571,0.142857142857143,0,43.6018957345972,3916.67103828937,3916.81389543223,425.387494193674,0,6628.03766854849,1943.53922630472,6628.18052569135,1943.68208344757,6.22605244544171,1.82593286167935,719.788630715007,211.094545990846,NA,NA,NA,NA,3.08962001051995,0.376409510347568,0.0538118722768344,0.091062484304464,0.0267036358666998,12.1837737734575,3.08962001051995,0.376409510347568
2020-03-22,152,2,0,61.5714285714286,0.428571428571429,0,20,0.285714285714286,0,46.5116279069767,4508.92863587741,4509.35720730598,592.543311873749,0,7630.38119210953,2237.29756152026,7630.8097635381,2237.72613294883,6.80170200142559,1.99475531383387,1002.62923784675,294.044049501259,NA,NA,NA,NA,3.37528069243676,0.510605458943535,0.0619526381820584,0.104837291565781,0.0307434144362095,15.1287485234539,3.37528069243676,0.510605458943535
