"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,31,2,NA,31,2,NA,NA,NA,NA,NA,7227.43722943723,7229.43722943723,NA,NA,12232.4322344322,3585.5402792696,12234.4322344322,3587.5402792696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0336601441270895,0.0569633208304592,0.0167035301683301,NA,NA,NA
2020-03-14,51,3,NA,41,2.5,NA,10,0.5,NA,NA,8633.86363636364,8636.36363636364,1406.92640692641,0,14612.8846153846,4283.21428571429,14615.3846153846,4285.71428571429,3.72795971404146,1.10684191496696,2380.95238095238,698.174006444683,NA,NA,NA,NA,1.84996497087772,0.138361630582832,0.0402107709781698,0.0680489970399797,0.0199542171771369,19.4664631772383,1.84996497087772,0.138361630582832
2020-03-15,91,4,NA,57.6666666666667,3,NA,16.6666666666667,0.5,NA,NA,9377.1030895544,9380.1030895544,743.739453190763,0,15855.4636109101,4651.78799932775,15858.4636109101,4654.78799932775,4.51580972903478,1.34075684060777,1243.07899552551,369.073713613461,NA,NA,NA,NA,2.24092813621275,0.193038335658568,0.0436736099783436,0.0738367529638254,0.0216726184854938,8.61421357245349,2.24092813621275,0.193038335658568
2020-03-16,122,4,NA,73.75,3.25,NA,16.0833333333333,0.25,NA,NA,9988.32542891665,9991.57542891665,611.472339362252,0,16877.2226197708,4954.97540081578,16880.4726197708,4958.22540081578,5.30037933836167,1.57369780441202,1022.00900886067,303.437401488036,NA,NA,NA,NA,2.63026343106669,0.171548522267404,0.0465206154117478,0.0785952105651112,0.0230854181742508,6.52090878731407,2.63026343106669,0.171548522267404
2020-03-17,149,6,NA,88.8,3.8,NA,15.05,0.55,NA,NA,10486.461879903,10490.261879903,498.686450986304,0,17710.1723755182,5201.893865215,17713.9723755182,5205.693865215,6.08158297524376,1.80563940135818,833.499755747445,247.468464399218,NA,NA,NA,NA,3.01792839372999,0.150718470851317,0.0488424915525456,0.082475972098542,0.0242376273869775,4.99269326510513,3.01792839372999,0.150718470851317
2020-03-18,211,7,NA,109.166666666667,4.33333333333333,NA,20.3666666666667,0.533333333333333,NA,NA,11084.2651251277,11088.5984584611,598.336578558105,0,18709.6930663048,5498.27943552704,18714.0263996382,5502.61276886038,6.85933647760992,2.03655664348631,1000.05402411993,296.918903645375,NA,NA,NA,NA,3.40388125956582,0.194284155936924,0.0516283370937127,0.0871322076419791,0.0256200770540229,5.70580034916068,3.40388125956582,0.194284155936924
2020-03-19,310,8,NA,137.857142857143,4.85714285714286,NA,28.6904761904762,0.523809523809524,NA,NA,11841.1294638874,11845.9866067446,757.388148283513,0,19975.0605505023,5873.60237627926,19979.9176933594,5878.45951913641,7.63355707330325,2.26642495550598,1265.89129372126,375.846750276029,NA,NA,NA,NA,3.78808095366928,0.258938345552247,0.0551547241999684,0.09302617726141,0.0273700135127663,6.83300281735895,3.78808095366928,0.258938345552247
2020-03-20,386,10,NA,188.571428571429,6,NA,50.7142857142857,1.14285714285714,NA,8.31771321462043,12754.9841847948,13062.0144878251,1216.02788108056,301.030303030303,21495.5545289552,6327.52598643954,22012.3750417757,6481.90192628917,8.40416336557659,2.49522017048988,2032.45734841624,603.44240715276,NA,NA,NA,NA,4.17048708366959,0.428467674003787,0.06081653056756,0.102489266172575,0.0301796317102177,10.2695261021269,4.17048708366959,0.428467674003787
2020-03-21,528,12,NA,256.714285714286,7.28571428571429,NA,68.1428571428571,1.28571428571429,NA,8.69169096209913,14175.7373081856,14559.3109012592,1497.29641343408,75.2575757575758,23869.1305647313,7032.16556002337,24514.9419200426,7224.92119912111,9.17107531856304,2.7229185255599,2502.56687826696,743.019272831945,2.27272727272727,NA,0.0824214832788696,NA,4.55105993252,0.534490297915193,0.0677879187237427,0.114141177536733,0.033639117562158,11.7389123478412,4.55105993252,0.534490297915193
2020-03-22,731,13,NA,348.142857142857,8.57142857142857,NA,91.4285714285714,1.28571428571429,NA,8.71103851912345,15953.8190517441,16413.935934861,1854.62503360181,75.2575757575758,26839.9422323204,7914.12610301374,27614.7444301226,8145.2614413596,9.93421424300591,2.94949665765041,3099.80251007995,920.340242238494,1.77838577291382,NA,0.0792009914720681,NA,4.92976045141647,0.645274000284736,0.0764230232210266,0.128573808451619,0.037924207011938,13.0830939744551,4.92976045141647,0.645274000284736
2020-03-23,1029,14,NA,477.714285714286,10,NA,129.571428571429,1.42857142857143,NA,9.10368362942888,18356.487906283,18855.6621487072,2441.72621384618,37.6287878787879,30855.7388939055,9105.83422417049,31695.8222272389,9356.94512642613,10.6935027819834,3.17493159926979,4081.07779711629,1211.68368506653,1.36054421768707,NA,0.0742482543948205,NA,5.30655025271358,0.812558864761622,0.0877916614246054,0.147575241410391,0.0435657868723606,15.3049636950674,5.30655025271358,0.812558864761622
2020-03-24,1205,18,NA,628.571428571429,11.7142857142857,NA,150.857142857143,1.71428571428571,NA,9.56348487592827,20927.2753547004,21510.9472161723,2655.28506746505,82.7833333333333,35151.5669858921,10380.9768140404,36133.8402459653,10674.6053854689,11.4488648968385,3.39920077432299,4438.01801872643,1317.6602590428,1.49377593360996,NA,0.083678323502497,NA,5.6813916029424,0.822209939344829,0.1001546262354,0.168238582332791,0.0497007919664392,14.4651040058497,5.6813916029424,0.822209939344829
2020-03-25,1488,22,NA,811,13.8571428571429,NA,182.428571428571,2.14285714285714,NA,9.66033739314624,23858.09059136,24524.1800574495,3013.23284127721,80.2747474747474,40049.4938233383,11834.5555172306,41170.1287439733,12169.8938630952,12.2002258532862,3.62228199398681,5036.28849800796,1495.28847762629,1.47849462365591,NA,0.0897073824627922,NA,6.05424741591645,0.87212647407301,0.114184190156763,0.191687461039183,0.0566628312056118,14.3985912652524,6.05424741591645,0.87212647407301
2020-03-26,1985,28,NA,1050.28571428571,16.7142857142857,NA,239.285714285714,2.85714285714286,NA,8.78527221231511,27500.636357519,28248.4242363068,3724.24417885738,78.8412698412699,46137.5163903988,13640.9591806378,47394.7947786772,14018.0150345583,12.9475122075618,3.8441534525972,6224.66603470389,1848.12117146306,1.41057934508816,NA,0.099120573118597,NA,6.42508124585775,1.00339137286307,0.131524211495405,0.220669406551897,0.0652676538247874,15.6099842298615,6.42508124585775,1.00339137286307
2020-03-27,2520,34,NA,1355.14285714286,20.1428571428571,NA,304.857142857143,3.42857142857143,NA,9.04620601949978,31812.4372617804,32735.6710280142,4487.24679170732,172.017316017316,53342.1316737762,15779.4984048792,54894.7360693806,16244.7690815709,13.6906517927353,4.06479372358591,7499.94129070347,2226.75404701266,1.34920634920635,NA,0.103862236307616,NA,6.79385728060547,1.10899601711649,0.152416760797537,0.255589013262341,0.0756353850574246,16.3168834836087,6.79385728060547,1.10899601711649
2020-03-28,3179,54,NA,1733.85714285714,26.1428571428571,NA,378.714285714286,6,NA,9.32957944747493,36901.8243162815,38024.5775630348,5288.90653502061,193.519480519481,61847.5747625371,18302.6840323545,63734.5637735261,18869.3392418067,14.4295737051382,4.28418175545078,8839.82770414551,2624.57016023579,1.69864737338786,NA,0.142013412010908,NA,7.16054033488059,1.19090433888653,0.177041825044393,0.296747109686305,0.0878553417513527,16.6252792626321,7.16054033488059,1.19090433888653
2020-03-29,3884,56,NA,2184.28571428571,32.2857142857143,NA,450.428571428571,6.14285714285714,NA,9.70303123557471,42687.8474873409,44010.2630717565,5985.68550872169,193.51948051948,71517.4646942386,21171.4968197116,73738.9811777551,21839.6794190671,15.1642082909174,4.50229686776335,10004.417404229,2970.34017726039,1.44181256436663,NA,0.127243047624357,NA,7.52509584361316,1.22102657752972,0.20491108104991,0.343327517129738,0.101685198114993,16.2205680061209,7.52509584361316,1.22102657752972
2020-03-30,4760,63,NA,2717.28571428571,39.2857142857143,NA,533,7,NA,10.1289534410208,49223.3622674178,50767.799496855,6757.53642509852,215.021645021645,82440.0745293254,24411.8779458077,85033.4628077137,25193.0433593416,15.8944871327142,4.71911874721384,11294.4816299586,3353.36394027445,1.32352941176471,NA,0.124094407526769,NA,7.88748985533185,1.24897852553775,0.236374062578637,0.395914442977459,0.11729840699391,15.830117522563,7.88748985533185,1.24897852553775
2020-03-31,5612,77,NA,3346.85714285714,47.7142857142857,NA,629.571428571428,8.42857142857143,NA,10.4699230257531,56590.214780666,58401.1065555578,7633.30705870276,258.025974025974,94752.0360793505,28064.2268836388,97791.6990830135,28981.0002456151,16.6203430364483,4.93462744368742,12758.2362752998,3787.95688627355,1.37205987170349,153.917050691244,0.131846816852261,1.06508982035928,8.2476890256059,1.27935543184817,0.2719146181721,0.455316587045523,0.134935073679388,15.5074881257257,8.2476890256059,1.27935543184817
2020-04-01,6516,87,NA,4065.14285714286,57,NA,718.285714285715,9.28571428571428,NA,10.6022267206478,64605.0622040947,66747.7721608046,8346.66560524688,322.532467532468,108145.979587324,32037.921308584,111742.235997581,33122.9546061136,17.3417100182455,5.14880336638288,13950.5369145671,4141.95436049845,1.33517495395948,111.764705882353,0.130341428910024,1.00736842105263,8.6056606105579,1.26957823561469,0.310776559750241,0.520270063822742,0.154219946943729,14.7493089354708,8.6056606105579,1.26957823561469
2020-04-02,7548,128,NA,4859.85714285714,71.2857142857143,NA,794.714285714286,14.2857142857143,NA,11.3609443287179,73028.9538793956,75615.9928404346,8868.22067962996,430.04329004329,122224.209351627,36212.4411302694,126564.495065913,37523.7257704412,18.0585232914673,5.36162727996174,14822.2590683319,4400.77116432766,1.69581346051934,78.3359497645212,0.169276359658606,1.36459054637192,8.96137246042739,1.23036866144362,0.352066853414001,0.589282265007307,0.1747098671077,13.7268201238074,8.96137246042739,1.23036866144362
2020-04-03,8816,163,NA,5759.28571428571,89.7142857142857,NA,899.428571428572,18.4285714285714,NA,11.2382414365529,82150.3891720536,85271.9086525731,9655.91581213854,516.051948051948,137468.89363759,40731.3112754982,142703.300230997,42315.3832411265,18.7707192538522,5.57308030073036,16138.8051650844,4791.65747068528,1.8489110707804,73.536299765808,0.191153221002848,1.6313743629284,9.31479301318981,1.23183045786511,0.397024643017899,0.664424283764146,0.197019747663017,13.2220376976574,9.31479301318981,1.23183045786511
2020-04-04,10097,191,NA,6747.57142857143,109.285714285714,NA,988.285714285714,19.5714285714286,NA,11.4314985871739,91452.1922749222,95496.374093104,10224.4654405309,903.090909090909,153005.934236674,45340.4069076413,159792.373797114,47389.1781213899,19.4782354747933,5.78314389286281,17089.0735661168,5073.79488026342,1.89165098544122,73.346116970278,0.200007593810614,1.82073624268536,9.66589128824327,1.20321050023766,0.444629590599345,0.743990736999497,0.220643255485389,12.4460340889159,9.66589128824327,1.20321050023766
2020-04-05,11245,218,NA,7799.14285714286,132.428571428571,NA,1051.57142857143,23.1428571428571,NA,11.105076563325,101004.801400692,105996.71914961,10500.3450565058,924.593073593073,168964.018774352,50072.2354963692,177342.549909883,52599.8756682274,20.1810106827187,5.99179986465394,17550.1761127691,5210.69754683746,1.93863939528679,62.762356127285,0.205666743035983,1.96598335503489,10.0146368801461,1.15001621723586,0.493519029260903,0.825704076318109,0.244904179933982,11.4817860516015,10.0146368801461,1.15001621723586
2020-04-06,12008,236,NA,8834.57142857143,157.142857142857,NA,1035.42857142857,24.7142857142857,NA,10.9542665417284,109920.000755022,115990.23885026,9993.51970065061,1053.60606060606,183854.505763177,54487.3956485718,194045.622979294,57559.0658956179,20.8789847525854,6.19903036480626,16703.0730694112,4959.19022739054,1.9653564290473,50.6912442396313,0.20346539703627,1.99223591782243,10.3609999524108,1.02524818934607,0.540048697170751,0.90347331741372,0.267994090325335,9.89410360900144,10.3609999524108,1.02524818934607
2020-04-07,13167,296,NA,9913.85714285714,188.428571428571,NA,1079.28571428571,31.2857142857143,NA,10.7464936986145,118702.204394404,126072.355909556,10082.1170592955,1268.62770562771,198521.630304855,58833.9671645702,210896.776825001,62562.2217295541,21.5720986934882,6.40481787875111,16851.1538457073,5003.15583393612,2.24804435330751,48.8156920799408,0.234785808406999,2.26611293591732,10.704951231355,0.981982133537075,0.586990872965601,0.981932020235657,0.291288703877667,9.17223161394028,10.704951231355,0.981982133537075
2020-04-08,14173,309,NA,11007.7142857143,220.142857142857,NA,1093.85714285714,31.7142857142857,NA,10.4036739629615,127175.179617847,135974.686111354,9902.33020179762,1397.64069264069,212668.909167283,63027.3028823258,227447.43663981,67476.160025183,22.2602946363849,6.60914522500414,16550.6598148092,4913.93829562889,2.18020179213998,41.6937229437229,0.227248180405396,2.12235319443089,11.0464620000106,0.921593571932527,0.633095964027093,1.05899162765523,0.314167921998407,8.3421620114954,11.0464620000106,0.921593571932527
2020-04-09,15219,354,NA,12103.5714285714,252.428571428571,NA,1095.85714285714,32.2857142857143,NA,10.7065096025011,134617.698304362,145599.70696237,9625.02085101677,2150.21645021645,225075.073127381,66711.5151628519,243534.604262913,72252.4861617778,22.9435158219413,6.81199555155645,16087.1676231021,4776.32613659483,2.32603981864774,34.53195231581,0.243132357465177,2.15670392162401,11.3855040920911,0.861754713170273,0.67790990718608,1.13389322284239,0.336406420107378,7.56831708823948,11.3855040920911,0.861754713170273
2020-04-10,16252,390,NA,13165.8571428571,284.857142857143,NA,1062.28571428571,32.4285714285714,NA,10.1896513922385,140873.776755743,154661.993205959,9062.28624358907,2773.77922077922,235482.416794497,69808.9826650411,258681.222655303,76749.5605382956,23.6217065884566,7.01335233228974,15146.6183923901,4497.07437651785,2.39970465173517,27.6829098986533,0.252162791850644,2.06834422957,11.722049886001,0.789162642965292,0.720103767012136,1.20441563585262,0.357344726487225,6.73186836332608,11.722049886001,0.789162642965292
2020-04-11,17340,438,NA,14200.5714285714,320.142857142857,NA,1034.71428571429,35.2857142857143,NA,10.1046316964286,146475.210103943,163244.508805241,8582.51559928205,2945.79653679654,244793.121825142,72580.7250999157,273025.956989977,81008.5532416988,24.2948123599156,7.21319936342875,14344.7343346745,4258.99270340314,2.52595155709343,26.5678719620628,0.268309178180416,2.03617253856076,12.0560722989055,0.734536856668862,0.760063822390792,1.27120448951385,0.377174528404453,6.09234436453211,12.0560722989055,0.734536856668862
2020-04-12,18404,465,NA,15223.2857142857,355.428571428571,NA,1022.71428571428,35.2857142857143,NA,10.1132960388766,151212.562346652,171500.497411587,8255.98860634535,3483.35064935065,252645.893281406,74925.4745479625,286824.93723745,85105.5099937198,24.9627796341708,7.41152076003267,13798.9802474732,4096.95675202101,2.52662464681591,23.8863287250384,0.271136239846605,1.89608785659993,12.3875447808667,0.698248371670223,0.798503573312155,1.33545232087277,0.396249893523325,5.63644086974627,12.3875447808667,0.698248371670223
2020-04-13,19213,483,NA,16252.5714285714,390.714285714286,NA,1029.28571428572,35.2857142857143,NA,9.94245656643717,155551.53550273,179594.630740826,8094.13332923874,3719.87445887446,259826.782404059,77073.3237403452,300353.39412567,89122.1475856728,25.6255559711882,7.60830095250523,13528.4568882202,4016.63759195305,2.51392286472701,19.6833393306945,0.268938997790542,1.7098298862958,12.7164413090107,0.680713903871665,0.836189728651699,1.39844059979722,0.414951293917385,5.35281804873004,12.7164413090107,0.680713903871665
2020-04-14,20135,537,NA,17248,425.142857142857,NA,995.428571428571,34.4285714285714,NA,9.94079463585132,158440.186044273,187226.683879771,7632.05313894531,4708.97402597402,264557.80201077,78505.2061787907,313109.534611503,92909.4822260517,26.283089981428,7.80352468314496,12756.1404858323,3787.33464037889,2.66699776508567,16.8707482993197,0.286818090708074,1.64041237932912,13.0427363817613,0.639954914235575,0.871724446014824,1.45783298590304,0.432585063435928,4.90644667330291,13.0427363817613,0.639954914235575
2020-04-15,20727,609,NA,18184.2857142857,468,NA,936.285714285714,42.8571428571428,NA,10.0821462634218,160628.61677977,194231.452277606,7004.76839783503,4773.48051948053,268122.493801964,79585.5810443114,324817.237391708,96385.5327091879,26.9353313143189,7.99717700272299,11707.7027802051,3476.05048313618,2.93819655521783,14.7216105693614,0.313543451824468,1.60159570212302,13.3664050131207,0.590954472451848,0.904338535654878,1.51234386281808,0.448769498896406,4.42108064419823,13.3664050131207,0.590954472451848
2020-04-16,21624,646,NA,19099.2857142857,509.714285714286,NA,915,41.7142857142857,NA,9.40004109307585,162412.382563507,200916.421524546,6684.96924694048,4859.48917748917,271007.870495874,80466.0083183034,335990.430935434,99702.8858693238,27.5822306468728,8.1892432671029,11173.1935437265,3317.35316013587,2.9874213836478,13.1234368103575,0.321526729919922,1.46783944223812,13.6874227270196,0.569648338236272,0.935463645562595,1.56436607327594,0.464215042158882,4.16175484851862,13.6874227270196,0.569648338236272
2020-04-17,22823,699,NA,20038,553.857142857143,NA,938.714285714286,44.1428571428572,NA,9.44272000919698,164189.590212454,207618.763372627,6702.34184808054,4880.99134199134,273883.367837948,81342.0297294883,347192.660878242,103028.860019499,28.2237396723245,8.37970913386782,11202.2299428072,3325.97415017532,3.06269990798756,11.6356542617047,0.336674772860225,1.376856997797,14.0057655516798,0.577990636978011,0.966669642023398,1.61652347674358,0.479700724613115,4.12674313515458,14.0057655516798,0.577990636978011
2020-04-18,23906,754,NA,20976,599,NA,938,45.1428571428571,NA,9.00179597208702,165383.047145304,214168.397794654,6549.63442202739,5311.03463203464,275772.887861622,81929.305887358,358139.657092391,106279.054544716,28.8598110889221,8.56856055899209,10946.9962141498,3250.1945252166,3.15401991131933,10.6735566642908,0.35205941108218,1.2910714273585,14.3214100140516,0.571296580053442,0.997164635150595,1.66749251605228,0.494833578345408,3.98906801189556,14.3214100140516,0.571296580053442
2020-04-19,24647,781,NA,21867.8571428571,644.142857142857,NA,891.857142857141,45.1428571428571,NA,8.81182249322493,166121.149010513,220262.677149042,6094.27935438725,5311.03463203463,276901.33178847,82290.6163725641,368325.577209716,109303.283397269,29.490398588858,8.75578379355506,10185.9201173243,3024.22885255305,3.16874264616383,9.88555643251776,0.354576640086661,1.17007650550263,14.6343331343205,0.539270552024246,1.0255395023649,1.71491799722529,0.508914339519423,3.684948040069,14.6343331343205,0.539270552024246
2020-04-20,25360,806,NA,22746,690.285714285714,NA,878.142857142859,46.1428571428572,NA,8.61298322801214,166639.993651991,226138.699279697,5876.02213065515,5311.03463203464,277663.982682921,82542.6187617829,378146.704294642,112219.204153834,30.1154568472261,8.9413653804623,9821.12708492688,2915.92075656573,3.1782334384858,9.14527973351503,0.356418429294629,1.06591207722529,14.944512420428,0.52861662600849,1.05289816743587,1.76064500787323,0.522490819930584,3.5371908788587,14.944512420428,0.52861662600849
2020-04-21,26106,856,NA,23599,735.857142857143,NA,853,45.5714285714286,NA,8.15075692425298,167005.136916619,231731.435617918,5592.73633822141,5182.02164502165,278172.646923847,82718.2043560453,387494.35022055,114994.546998365,30.7349415111334,9.12529215121285,9347.64592590748,2775.3428445309,3.27893970734697,8.34683691988592,0.369393128609182,1.00384759005177,15.2519258626677,0.511880550853146,1.07893785838759,1.80416749781669,0.535412771831433,3.35617891939027,15.2519258626677,0.511880550853146
