"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,4,0,0,4,0,0,NA,NA,NA,NA,1709.95670995671,1709.95670995671,NA,NA,1709.95670995671,1709.95670995671,1709.95670995671,1709.95670995671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0574553461522494,0.0574553461522494,0.0574553461522494,NA,NA,NA
2020-03-14,6,0,0,5,0,0,1,0,0,NA,2142.85714285714,2142.85714285714,432.900432900433,0,2142.85714285714,2142.85714285714,2142.85714285714,2142.85714285714,2.01515151515152,0.590909090909091,432.900432900433,432.900432900433,NA,NA,NA,NA,1,0.0584810126582278,0.0720010034059835,0.0720010034059835,0.0720010034059835,25.3164556962025,1,0.0584810126582278
2020-03-15,10,0,0,6.66666666666667,0,0,1.66666666666667,0,0,NA,2294.92220283637,2294.92220283637,152.065059979225,0,2400.19801359122,2218.31799968894,2400.19801359122,2218.31799968894,2.20865059931894,0.647649423860441,257.340870734073,75.4608568317958,NA,NA,NA,NA,1.09602210191767,0.0777777777777778,0.0771104606266813,0.0806477771640874,0.0745365235305403,7.09636946569718,1.09602210191767,0.0777777777777778
2020-03-16,12,0,0,8,0,0,1.33333333333333,0,0,NA,2406.68636425272,2406.68636425272,111.764161416349,0,2589.33736368042,2273.77991437675,2589.33736368042,2273.77991437675,2.40405211547146,0.704947612807421,189.139350089207,55.4619146878126,NA,NA,NA,NA,1.19298826782794,0.0580992631759495,0.0808657887845238,0.087002947892744,0.0764000698344321,4.87006318899249,1.19298826782794,0.0580992631759495
2020-03-17,21,0,0,10.6,0,0,2.6,0,0,NA,2608.0950449482,2608.0950449482,201.408680695483,0,2930.18282331893,2373.72707923316,2930.18282331893,2373.72707923316,2.60137443992078,0.762809046292558,340.84545963851,99.9471648564049,NA,NA,NA,NA,1.29090761680279,0.10803227642286,0.0876332147667405,0.0984555149395723,0.0797583413744795,8.36871325184164,1.29090761680279,0.10803227642286
2020-03-18,34,0,0,14.5,0,0,3.9,0,0,NA,2888.71313459026,2888.71313459026,280.618089642063,0,3405.07497502089,2512.98116882997,3405.07497502089,2512.98116882997,2.8006358817122,0.821239093133652,474.892151701953,139.254089596813,NA,NA,NA,NA,1.38978923453387,0.149534178094897,0.0970621139798533,0.114412113607917,0.0844373439915128,10.7595039600114,1.38978923453387,0.149534178094897
2020-03-19,50,0,0,19.5714285714286,0,0,5.07142857142857,0,0,NA,3229.15921148061,3229.15921148061,340.446076890348,0,3981.2144897584,2681.92433480563,3981.2144897584,2681.92433480563,3.00185482031229,0.880243142798339,576.139514737511,168.943165975662,NA,NA,NA,NA,1.48964224165873,0.175559598354367,0.10850126157933,0.133770671083954,0.0901139134769674,11.7853888921593,1.48964224165873,0.175559598354367
2020-03-20,80,1,0,30.4285714285714,0.142857142857143,0,10.8571428571429,0.142857142857143,0,10.4109589041096,3911.65126391815,3911.79412106101,682.634909580398,0,5776.14154260337,3020.53263580042,5776.28439974623,3020.67549294327,3.20504966442989,0.939826593329066,1795.06990998783,338.751158137641,NA,NA,NA,NA,1.59047577332611,0.33622041221969,0.131438114189209,0.194085860612027,0.101496111012697,21.1397105213466,1.59047577332611,0.33622041221969
2020-03-21,140,1,0,49.5714285714286,0.285714285714286,0,19.1428571428571,0.142857142857143,0,17.986577181208,5655.87303834779,5656.1587526335,1744.36463157249,0,9571.47744951164,3581.72454637328,9571.76316379735,3582.01026065899,3.41023899530694,0.999994893360683,3795.47876405112,561.33476771572,NA,NA,NA,NA,1.69229905030269,0.489376833573009,0.190049582619469,0.321615724340325,0.120357222056389,44.5940732923422,1.69229905030269,0.489376833573009
2020-03-22,207,1,0,77.7142857142857,0.428571428571429,0,28.1428571428571,0.142857142857143,0,16.0554197229014,7838.70551694472,7839.13408837329,2182.97533573979,0,13265.5016440603,4359.55847737832,13265.9302154889,4359.98704880689,3.61744175039668,1.06075359598098,3694.16705169151,777.976788147897,NA,NA,NA,NA,1.79512147012166,0.497575252937509,0.263398576091899,0.445741467093511,0.146497606430555,38.5966113620097,1.79512147012166,0.497575252937509
2020-03-23,249,1,0,111.571428571429,0.571428571428571,0,33.8571428571429,0.142857142857143,0,21.4868540344515,9621.500430037,9622.07185860843,1782.93777023514,0,16282.6380903923,5244.18173178072,16283.2095189637,5244.75316035215,3.82667717663946,1.12210834502962,3017.27930347486,884.766111545257,NA,NA,NA,NA,1.89895258389627,0.431912190165867,0.323306120043332,0.547123464549783,0.176226162075627,22.745308729624,1.89895258389627,0.431912190165867
2020-03-24,320,1,0,154.285714285714,0.714285714285714,0,42.7142857142857,0.142857142857143,0,20.161834120027,11753.0193414351,11753.7336271494,2131.66176854097,0,19889.9228415495,6301.8559928612,19890.6371272638,6302.57027857549,4.03796506772613,1.18406494467157,3607.42760830011,1057.81711822334,NA,NA,NA,NA,2.00380221405958,0.443935351775713,0.39493095362999,0.668334721388742,0.211769312577276,22.1551907006751,2.00380221405958,0.443935351775713
2020-03-25,377,2,0,203.285714285714,1,0,49,0.285714285714286,0,23.986013986014,14075.36035687,14076.36035687,2322.6267297206,0,23820.2362083295,7454.15196400075,23821.2362083295,7455.15196400075,4.25132557801496,1.24662930483146,3930.59908106563,1152.58168542526,NA,NA,NA,NA,2.10968036202246,0.416903765472699,0.472972299332796,0.800404691039644,0.250496596911,19.7619578616042,2.10968036202246,0.416903765472699
