"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,421,0,0,421,0,0,NA,NA,NA,NA,122294.372294372,122294.372294372,NA,NA,206959.706959707,60687.432867884,206959.706959707,60687.432867884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.628647743692645,1.06386541240294,0.311960534464019,NA,NA,NA
2020-03-14,524,0,0,472.5,0,0,51.5,0,0,NA,158138.528138528,158138.528138528,35844.1558441559,0,267619.047619048,78474.7583243824,267619.047619048,78474.7583243824,9.21621471894102,3.43605290698149,60659.3406593407,17787.3254564984,NA,NA,NA,NA,4.57345993571509,0.0421115044247788,0.812902728392648,1.37568154035679,0.403395338901615,29.3097345132744,4.57345993571509,0.0421115044247788
2020-03-15,729,3,0,558,1,0,85.5,1,0,NA,159938.329888379,159939.329888379,1800.80174985121,0,270014.953277391,79367.3892679176,270015.953277391,79368.3892679176,9.56770808111947,3.56709909304917,2396.90565834305,893.630943535187,NA,NA,NA,NA,4.7478852131871,0.0540665206679441,0.822159654411752,1.388002706946,0.407989001437411,1.13874953248187,4.7478852131871,0.0540665206679441
2020-03-16,950,7,0,656,2.5,0,98,1.5,0,NA,161927.284038301,161929.784038301,1990.45414992212,0,272662.790337961,80353.6334325406,272665.290337961,80356.1334325406,9.92159746521046,3.69903858057615,2649.33706057037,987.744164623,NA,NA,NA,NA,4.92349949401422,0.0612729457701241,0.832391478548845,1.40162148378881,0.413066448001683,1.244513526752,4.92349949401422,0.0612729457701241
2020-03-17,1700,7,0,864.8,3.4,0,208.8,0.9,0,NA,166020.254716656,166023.654716656,4093.87067835437,0,278110.9198018,82384.2782804458,278114.3198018,82387.6782804458,10.2778927187014,3.83187504097081,5449.02946383925,2031.5448479052,NA,NA,NA,NA,5.10030766491949,0.128943994582731,0.853435803946927,1.42963193115029,0.423509496695468,2.52821549047042,5.10030766491949,0.128943994582731
2020-03-18,2382,12,0,1117.66666666667,4.83333333333333,0,252.866666666667,1.43333333333333,0,NA,170809.492028188,170814.325361521,4790.67064486517,0,284485.971596208,84760.1702295267,284490.804929541,84765.0035628601,10.6366036039405,3.96561211389929,6376.4851277406,2377.3252824143,0.503778337531486,NA,0.00702517190791962,NA,5.27831457037647,0.152304633067158,0.878061992668186,1.46240991523115,0.43573001139925,2.88559408190364,5.27831457037647,0.152304633067158
2020-03-19,4152,12,0,1551.14285714286,5.85714285714286,0,433.47619047619,1.02380952380952,0,NA,178751.192981189,178757.050124046,7942.72476252512,0,295056.884385219,88700.6489337372,295062.741528076,88706.5060765943,10.9977397950587,4.10025340613803,10571.9365985351,3941.50251373426,0.289017341040462,NA,0.00671302194328713,NA,5.45752501108174,0.253762832769033,0.918891148638782,1.5167543953936,0.45599109631699,4.65004881649925,5.45752501108174,0.253762832769033
2020-03-20,7102,35,0,2505.57142857143,10.8571428571429,0,954.428571428571,5,0,22.8590002395046,195674.857314117,195685.714456974,16928.6643329276,0,317584.298811814,97096.3395049644,317595.155954671,97107.1966478216,11.3613108748171,4.23580249039828,22532.414426595,8400.69057122723,0.492818924246691,NA,0.0178858227321932,NA,5.63794374239042,0.533898606726076,1.005912051048,1.63258107836746,0.49917440127194,9.47051823856031,5.63794374239042,0.533898606726076
2020-03-21,10356,44,0,3910.14285714286,17.1428571428571,0,1404.57142857143,6.28571428571428,0,23.3350738121232,219803.861796695,219821.004653838,24135.2901968641,0,349702.600739336,109066.964715438,349719.743596479,109084.107572581,11.7273263314315,4.37226290414227,32124.5876418077,11976.9109247596,0.424874468906914,NA,0.0200162855543713,NA,5.81957547274044,0.717722511660178,1.12997823202568,1.79771581972308,0.56074107754658,12.3343849731904,5.81957547274044,0.717722511660178
2020-03-22,15168,114,0,5972.85714285714,33,0,2062.71428571429,15.8571428571429,0,25.7246699567069,254002.172661578,254185.687813093,34364.6831592552,150.515151515152,395171.461879144,126030.070644091,395459.872135554,126137.258614016,12.0957955553341,4.50963814837585,45740.1285390753,17053.1510414349,0.751582278481013,NA,0.044849102630761,NA,6.00242486204547,0.93828724353614,1.30662806574638,2.03284052794012,0.64840189728768,15.6342490429219,6.00242486204547,0.93828724353614
2020-03-23,20875,114,0,8819.28571428571,48.2857142857143,0,2846.42857142857,15.2857142857143,0,27.3710093961207,299771.462115616,300196.035708689,46010.3478955962,225.772727272727,456013.818249742,148735.705690026,456700.629605053,148969.461329124,12.4667278358785,4.64793168642013,61240.7574694995,22832.2027151079,0.546107784431138,NA,0.0379751850256363,NA,6.18649652006003,1.12042201149516,1.54314182225398,2.34764539821297,0.765769626080921,18.1141552505137,6.18649652006003,1.12042201149516
2020-03-24,25665,210,0,12242.8571428571,77.2857142857143,0,3423.57142857143,29,0,28.5080414921964,353337.092213205,353926.129442642,53730.093733953,135.463636363636,527270.853368165,175302.990550484,528216.533954245,175632.515362514,12.8401323579965,4.78714694266482,71515.9043491918,26663.0540333902,0.818234950321449,NA,0.0593344154416361,NA,6.37179500472007,1.14182376837106,1.81933852338213,2.71526911681746,0.90282964318211,17.9236853817761,6.37179500472007,1.14182376837106
