"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,13,0,0,13,0,0,NA,NA,NA,NA,4155.84415584416,4155.84415584416,NA,NA,7032.96703296703,2062.29860365199,7032.96703296703,2062.29860365199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0355531576925867,0.0601668822489929,0.0176429203587273,NA,NA,NA
2020-03-14,13,0,0,13,0,0,0,0,0,NA,5346.32034632035,5346.32034632035,1190.47619047619,0,9047.61904761905,2653.0612244898,9047.61904761905,2653.0612244898,NA,NA,2014.65201465202,590.762620837809,NA,NA,NA,NA,NA,NA,0.0457376559899423,0.0774021870599024,0.022696881919821,NA,NA,NA
2020-03-15,36,0,0,20.6666666666667,0,0,7.66666666666667,0,0,NA,6774.89177489178,6774.89177489178,1428.57142857143,0,11465.2014652015,3361.97636949517,11465.2014652015,3361.97636949517,6.24729799048795,1.83304873164466,2417.58241758242,708.915145005371,NA,NA,NA,NA,3.10016291257297,0.143400809716599,0.057959053946769,0.0980845528329937,0.0287616357931335,26.7206477732794,3.10016291257297,0.143400809716599
2020-03-16,50,0,0,28,0,0,7.33333333333333,0,0,NA,7002.21082452154,7002.21082452154,227.319049629762,0,11849.6571945105,3474.7813114167,11849.6571945105,3474.7813114167,6.50089721994112,1.90745845991486,384.455729309075,112.804941921536,NA,NA,NA,NA,3.2260091467377,0.108242811501597,0.0599037635448541,0.101373563358261,0.0297266796538374,3.35531632360863,3.2260091467377,0.108242811501597
2020-03-17,67,0,0,35.8,0,0,7.8,0,0,NA,7234.87992609951,7234.87992609951,232.669101577971,0,12243.1612553472,3590.24116633509,12243.1612553472,3590.24116633509,6.75559483901408,1.98219047178711,393.504060836678,115.459854918392,NA,NA,NA,NA,3.35240044642804,0.111394961547307,0.0618942427227033,0.10473998216584,0.030714436238334,3.32279486306197,3.35240044642804,0.111394961547307
2020-03-18,88,0,0,44.5,0,0,8.7,0,0,NA,7484.9293340707,7484.9293340707,250.049407971187,0,12666.0599418473,3714.32583495238,12666.0599418473,3714.32583495238,7.01134160807067,2.05723031963096,422.898686500044,124.08466861728,NA,NA,NA,NA,3.47931237693733,0.120253958101489,0.0640334100492826,0.108357871366036,0.0317759779191929,3.45616527883407,3.47931237693733,0.120253958101489
2020-03-19,119,0,0,55.1428571428571,0,0,10.6428571428571,0,0,NA,7780.01517514647,7780.01517514647,295.085841075779,0,13165.126968673,3860.75941022306,13165.126968673,3860.75941022306,7.26804431509879,2.13255065367683,499.067026825709,146.433575270688,NA,NA,NA,NA,3.60669868268061,0.14219581463236,0.066557863095931,0.112627379085413,0.0330287140175297,3.94239982644293,3.60669868268061,0.14219581463236
2020-03-20,169,1,0,77.4285714285714,0.142857142857143,0,22.2857142857143,0.142857142857143,0,63.4146341463415,8376.62412906964,8376.7669862125,596.751811066024,0,14174.2468772929,4156.74903075207,14174.3897344357,4156.89188789493,7.52558937841619,2.20811814739557,1009.26276576278,296.132477671862,NA,NA,NA,NA,3.73450299981555,0.286462083726763,0.0716630620510775,0.121261600417789,0.0355621210178279,7.67031680056831,3.73450299981555,0.286462083726763
2020-03-21,247,3,0,110.857142857143,0.571428571428571,0,33.4285714285714,0.428571428571429,0,72.2222222222222,9241.62606992079,9242.19749849222,865.430512279718,0,15637.4867459125,4585.78221729689,15638.0581744839,4586.35364586832,7.78382959784803,2.28388961009991,1463.66844004816,429.461757973392,NA,NA,NA,NA,3.86265228163887,0.399096053111319,0.0790668015372631,0.133783252555662,0.0392361571538298,10.3314951100216,3.86265228163887,0.399096053111319
2020-03-22,351,3,0,155.857142857143,1,0,45,0.428571428571429,0,99.6835443037975,10368.7148727213,10369.7148727213,1127.5173742291,0,17543.983771454,5144.87354586171,17544.983771454,5145.87354586171,8.04260938717848,2.35981939051533,1906.92559697007,559.519899993391,NA,NA,NA,NA,3.99106931995323,0.486968508241234,0.0887126885108462,0.150096960171904,0.044022837907638,12.200421935474,3.99106931995323,0.486968508241234
2020-03-23,442,6,0,211.857142857143,1.85714285714286,0,56,0.857142857142857,0,100,11727.1866660523,11729.0438089095,1359.32893618817,0,19842.1059635198,5818.57061194005,19843.963106377,5820.42775479719,8.30177905025214,2.43586356559731,2298.97933492297,674.554208935483,NA,NA,NA,NA,4.11967982944843,0.540140957923182,0.100341718429216,0.169764679114534,0.049793634709235,13.1099075717125,4.11967982944843,0.540140957923182
2020-03-24,564,8,0,282.857142857143,3,0,71,1.14285714285714,0,99.9999999999998,13397.2575367875,13400.2575367875,1671.21372787803,0,22667.4208697239,6646.75186036073,22670.4208697239,6649.75186036073,8.56118850563915,2.51197809925615,2826.45776334693,829.324105563534,NA,NA,NA,NA,4.24840933362544,0.605500014955181,0.114638916056733,0.193944964708351,0.0568884846597319,14.2507642750825,4.24840933362544,0.605500014955181
2020-03-25,704,10,0,370.857142857143,4.42857142857143,0,88,1.42857142857143,0,4.23775454045129,15406.2534809021,15410.6820523307,2010.42451554314,0,26066.143867655,7642.97755980319,26070.5724390835,7647.40613123176,8.82069095170305,2.58811991774158,3400.15156935965,997.654270871031,NA,NA,NA,NA,4.37718498355189,0.656932131978742,0.131838054703362,0.223033188518222,0.0654233955670818,15.0062392248765,4.37718498355189,0.656932131978742
2020-03-26,867,15,0,477.714285714286,6.57142857142857,0,106.857142857143,2.14285714285714,0,4.38529635926599,17775.5812126866,17782.1526412581,2371.47058892739,0,30074.7755421057,8817.65469415813,30081.3469706771,8824.22612272956,9.08016040083921,2.66425205444512,4010.77453159355,1176.8199914978,1.73010380622837,NA,0.0843542415961332,NA,4.50594425906307,0.693685743439608,0.152125934770496,0.257345278684219,0.0754910653748326,15.3929090668742,4.50594425906307,0.693685743439608
2020-03-27,1137,19,0,616,9.14285714285714,0,138.285714285714,2.57142857142857,0,4.87903225806452,20735.2566786077,20765.9017002527,2983.74905899466,21.5021645021645,35082.0138564536,10285.1424119407,35127.6438930837,10304.8835505014,9.33948067202943,2.74034042015438,5046.29692240659,1480.65742777179,1.67106420404573,NA,0.091496147262263,NA,4.63462950642062,0.778055932765618,0.177651844027793,0.300516240712148,0.0881580579386039,16.7856624393532,4.63462950642062,0.778055932765618
2020-03-28,1406,25,0,781.571428571429,12.2857142857143,0,165.571428571429,3.14285714285714,0,5.78603165094104,24143.6661654156,24241.96053771,3476.05883745726,64.5064935064935,40848.3304648411,11975.1662389066,41006.5648970756,12029.8450788636,9.59855775616219,2.81635743121914,5878.9210039919,1724.96152836225,1.77809388335704,NA,0.103126972594114,NA,4.7631940744865,0.79860709797606,0.207389452889529,0.35081028391472,0.102915066847436,16.7640019669661,4.7631940744865,0.79860709797606
2020-03-29,1653,29,0,967.571428571429,16,0,186,3.71428571428571,0,6.45385149201943,27877.8846369544,28044.3997884696,3802.43925075961,64.5064935064935,47166.0699453228,13826.5818499172,47437.4802017331,13916.7698198421,9.85730887727674,2.89227879996012,6430.91530465751,1886.92474097845,1.75438596491228,NA,0.10340745467451,NA,4.89159688646816,0.770487869577572,0.239919239192663,0.405826626530127,0.119057667569291,15.7492206225349,4.89159688646816,0.770487869577572
2020-03-30,1933,39,0,1180.57142857143,20.7142857142857,0,213,4.71428571428572,0,5.58573408758852,31987.3463533899,32287.5887776323,4243.18898916269,129.012987012987,54118.7705098488,15863.9205319722,54613.8181288964,16022.4124761183,10.1156765306363,2.96808765364532,7176.3379271633,2105.64265627622,2.01758923952406,NA,0.120789447203991,NA,5.01980940618041,0.764141863191923,0.276219630062471,0.467220043706499,0.137071395369346,15.2206275491147,5.01980940618041,0.764141863191923
