"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,26,0,0,26,0,0,NA,NA,NA,NA,1320.34632034632,1320.34632034632,NA,NA,2234.43223443223,655.209452201933,2234.43223443223,655.209452201933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0193339094939786,0.0327189237590408,0.0095942708767112,NA,NA,NA
2020-03-14,32,0,0,29,0,0,3,0,0,NA,1774.89177489177,1774.89177489177,454.545454545455,0,3003.663003663,880.77336197637,3003.663003663,880.77336197637,12.0881053958708,3.54661212081317,769.23076923077,225.563909774436,NA,NA,NA,NA,5.99860869268775,0.227213114754098,0.0259898455492828,0.04398281554494,0.0128972165883659,34.4262295081967,5.99860869268775,0.227213114754098
2020-03-15,39,0,0,32.3333333333333,0,0,3.33333333333334,0,0,NA,1823.18781295363,1823.18781295363,48.2960380618538,0,3085.34913788672,904.739816954432,3085.34913788672,904.739816954432,13.9083286885125,4.08065991249397,81.6861342237194,23.9664549780628,NA,NA,NA,NA,6.90187739429943,0.187804878048781,0.0266970472996241,0.0451789504541358,0.0132481588103398,2.72106946153371,6.90187739429943,0.187804878048781
2020-03-16,52,0,0,37.25,0,0,4.91666666666666,0,0,NA,1886.26223799391,1886.26223799391,63.0744250402768,0,3192.03088977961,936.039907575923,3192.03088977961,936.039907575923,15.7081547338744,4.60872321594732,106.681751892884,31.3000906214908,NA,NA,NA,NA,7.79502415365195,0.269677351042641,0.027620649847169,0.0467410976756429,0.0137064878940839,3.45956815815338,7.79502415365195,0.269677351042641
2020-03-17,73,0,0,44.4,0,0,7.15,0,0,NA,1968.65369390342,1968.65369390342,82.3914559095176,0,3331.38475391424,976.925893215233,3331.38475391424,976.925893215233,17.4876547261849,5.13082291933602,139.35386413463,40.8859856393095,NA,NA,NA,NA,8.67808430021207,0.379065702623003,0.0288271128236508,0.0487816645748701,0.0143051838072252,4.36797462462819,8.67808430021207,0.379065702623003
2020-03-18,98,0,0,53.3333333333333,0,0,8.93333333333334,0,0,NA,2062.18574384398,2062.18574384398,93.5320499405607,0,3489.58140714445,1023.34029393762,3489.58140714445,1023.34029393762,19.2469000876816,5.64697997772003,158.196653230214,46.4144007223836,NA,NA,NA,NA,9.55109327659389,0.453795722495052,0.0301967081794077,0.0510981475526096,0.0149848326303828,4.75106669244129,9.55109327659389,0.453795722495052
2020-03-19,154,0,0,67.7142857142857,0,0,14.3809523809524,0,0,NA,2200.27708949307,2200.27708949307,138.091345649083,0,3723.14400665579,1091.86682636498,3723.14400665579,1091.86682636498,20.9859624754771,6.15721541507091,233.562599511337,68.5265324273647,NA,NA,NA,NA,10.4140866419661,0.697398758647893,0.0322187879455563,0.0545182185525773,0.015988270709825,6.69635827234828,10.4140866419661,0.697398758647893
2020-03-20,228,0,0,96.5714285714286,0,0,28.8571428571429,0,0,31.1248073959938,2456.39572400658,2456.39572400658,256.118634513517,0,4156.33360140624,1218.96329161229,4156.33360140624,1218.96329161229,22.7049137841809,6.66155032504109,433.189594750451,127.096465247309,NA,NA,NA,NA,11.2671000733529,1.31160523702628,0.0359691483041226,0.060861439486038,0.0178493517900157,11.6402900224046,11.2671000733529,1.31160523702628
2020-03-21,371,0,0,145,0,0,48.4285714285714,0,0,9.73858086756679,2856.29575822845,2856.29575822845,399.900034221871,0,4832.70974285456,1417.40992513592,4832.70974285456,1417.40992513592,24.4038261414012,7.16000586964406,676.376141448316,198.446633523635,NA,NA,NA,NA,12.1101693634021,1.97168923209873,0.041824908227971,0.0707656554490273,0.0207552176168879,16.279951569432,12.1101693634021,1.97168923209873
2020-03-22,505,0,0,211.571428571429,0,0,66.5714285714286,0,0,13.0131248254677,3370.62573663974,3370.62573663974,514.329978411291,0,5702.62846368171,1672.64134299416,5702.62846368171,1672.64134299416,26.0827719134503,7.65260328092834,869.918720827154,255.231417858234,NA,NA,NA,NA,12.943330423216,2.33092344992433,0.0493562726127603,0.0835039268831298,0.0244925864093397,18.0068880097449,12.943330423216,2.33092344992433
2020-03-23,615,2,0,292,0.285714285714286,0,80.4285714285714,0.285714285714286,0,15.7924263674614,3954.56894431796,3954.85465860367,584.228921963927,0,6690.48596055969,1962.27374035972,6690.7716748454,1962.55945464543,27.7418237068662,8.13936386142391,988.143211163694,289.918111651272,NA,NA,NA,NA,13.7666192831065,2.38643429550123,0.0579111713745128,0.0979733665425043,0.0287378745166755,17.3329514343043,13.7666192831065,2.38643429550123
2020-03-24,667,2,0,376.857142857143,0.571428571428571,0,84.8571428571428,0.285714285714286,0,5.50969297838791,4536.29093421255,4536.86236278398,582.007704180308,0,7674.58657175317,2250.80387927626,7675.15800032459,2251.37530784769,29.381054369518,8.62030898446655,984.38632547919,288.815853202258,NA,NA,NA,NA,14.5800720931443,2.14606574811259,0.0664335447124935,0.112387793901936,0.0329670221881547,14.7173487774579,14.5800720931443,2.14606574811259
2020-03-25,784,3,0,474.857142857143,1,0,98,0.428571428571429,0,6.04458542602872,5172.8992262073,5173.8992262073,637.036863423319,0,8751.61861240233,2566.49886413295,8752.61861240233,2567.49886413295,31.0005369899006,9.09546009399088,1077.46061207773,316.123556285256,NA,NA,NA,NA,15.3837251228078,2.16063369849449,0.0757617132936911,0.128165113561352,0.0375960381758167,14.0431218513524,15.3837251228078,2.16063369849449
2020-03-26,957,3,0,589.571428571429,1.42857142857143,0,114.714285714286,0.428571428571429,0,5.57406636123837,5881.56335728029,5882.99192870887,709.092702501567,0,9950.52323678207,2917.95088191568,9951.95180821064,2919.37945334425,32.6003448986497,9.5648387049749,1199.33319580831,351.880589211304,NA,NA,NA,NA,16.1776147617359,2.21789296224382,0.0861449998009842,0.14572702069402,0.0427486465177817,13.7078390955136,16.1776147617359,2.21789296224382
2020-03-27,1203,6,0,728.857142857143,2.28571428571429,0,139.285714285714,0.857142857142857,0,6.37254901960785,6701.88025779807,6704.16597208378,821.174043374916,0,11338.5695282449,3324.59364028218,11340.8552425306,3326.87935456789,34.1805516682254,10.0284664033471,1388.90343431999,407.499901223642,NA,NA,NA,NA,16.9617775195705,2.36848823272181,0.098169500031538,0.166064816074838,0.0487156917449737,13.9618328238946,16.9617775195705,2.36848823272181
2020-03-28,1373,6,0,872,3.14285714285714,0,143.142857142857,0.857142857142857,0,6.81864579789043,7508.08693581479,7511.22979295764,807.063820873861,0,12702.7503107467,3724.2343333474,12705.8931678896,3727.37719049026,35.7412311138191,10.4863648462526,1365.03792535895,400.497835922367,NA,NA,NA,NA,17.7362500264065,2.13614234013783,0.109987383436967,0.186053147392197,0.054580205314585,12.042349159175,17.7362500264065,2.13614234013783
2020-03-29,1537,7,0,1019.42857142857,4.14285714285714,0,147.428571428571,1,0,6.14395427754956,8303.9520854221,8308.09494256495,796.865149607312,0,14049.5385803696,4118.67117450592,14053.6814375125,4122.81403164878,37.2824572937232,10.9385557621615,1347.78826962289,395.436841158516,NA,NA,NA,NA,18.5010690329754,1.96385255829107,0.121655927094037,0.205788890977334,0.0603706104376426,10.6134246502413,18.5010690329754,1.96385255829107
2020-03-30,1834,13,0,1193.57142857143,5.71428571428571,0,174.142857142857,1.57142857142857,0,6.27800381109337,9163.71992287551,9212.43853759413,904.343595029171,43.004329004329,15504.5661336702,4544.67519266218,15583.2547783589,4571.58604121212,38.8043045091643,11.3850609508202,1529.57334084638,448.772009563349,0.708833151581243,NA,0.141113560182243,NA,19.2562714105627,2.09737678190635,0.134898284003221,0.228186524144192,0.0669420055955834,10.890520389885,19.2562714105627,2.09737678190635
2020-03-31,2239,23,121,1418.14285714286,8.71428571428571,17.2857142857143,224.571428571428,3,17.2857142857143,9.71810089020772,10240.466403715,10335.189347438,1122.75080984382,43.004329004329,17327.5710084631,5077.63316704225,17482.2340121261,5128.74057842786,40.3068473055391,11.8259022836137,1898.97923376723,557.154537215732,1.02724430549352,33.5164835164835,0.222540673681045,1.74196721311475,20.0018941516209,2.45096670873172,0.151338790715216,0.255993389714863,0.0751004525353704,12.2521292585677,20.0018941516209,2.45096670873172
2020-04-01,2683,24,137,1689.42857142857,11.7142857142857,36.8571428571429,271.285714285714,3,19.5714285714286,9.1934546862897,11481.1190845304,11643.3485217599,1308.15917432191,64.5064935064935,19427.6815605485,5692.00001831693,19694.806102673,5777.90227395602,41.7901604722676,12.2611017035226,2212.57209054693,649.161695528168,0.894521058516586,36.6071428571429,0.206126269905493,1.35219512195122,20.7379743696967,2.64947967189239,0.170494243106997,0.288392214090211,0.0846061657523446,12.774410097643,20.7379743696967,2.64947967189239
2020-04-02,2845,32,220,1959.14285714286,15.8571428571429,68.2857142857143,269.714285714286,4.14285714285714,31.4285714285714,9.58278347375902,12669.0266824759,12899.9054703547,1256.55694859483,64.5064935064935,21439.371157615,6279.61689291501,21820.100095344,6401.45684995045,43.2543190440311,12.6906812254866,2125.29399267094,623.554575994429,1.12478031634446,40.6593406593407,0.24806383328575,1.75516750236274,21.4645493000455,2.34947939723297,0.188894081046327,0.319513020100878,0.0937369123989292,10.9445511308032,21.4645493000455,2.34947939723297
2020-04-03,3067,37,248,2225.42857142857,20.2857142857143,103.714285714286,266.285714285714,4.42857142857143,35.4285714285714,8.57090307154682,13736.0622691487,14100.382615469,1200.47714511431,129.012987012987,23246.4621944941,6807.3241335625,23850.5427805747,6997.1823505335,44.6993983009118,13.1146629364452,2030.44268523072,595.725500583043,1.20639060971634,39.010989010989,0.262404226956286,1.96155122308712,22.1816562997006,2.1021084533529,0.206472739096544,0.349244912789961,0.102460156243398,9.47568566395745,22.1816562997006,2.1021084533529
2020-04-04,3321,43,416,2503.71428571429,25.5714285714286,163.142857142857,278.285714285714,5.28571428571429,59.4285714285714,8.45009326334967,14817.5513592229,15316.1704068419,1215.78779137291,129.012987012987,25078.5919498645,7341.77199566162,25906.8813271539,7600.50561542532,46.1254737682976,13.5330689953097,2056.33854657922,603.323264891823,1.29479072568503,35.0293542074364,0.280749030977034,2.18423383112853,22.8893328474259,2.02618019795764,0.224275591848178,0.379356000112955,0.111294654601352,8.85106493804695,22.8893328474259,2.02618019795764
2020-04-05,3633,44,416,2803.14285714286,30.8571428571429,222.571428571429,299.428571428572,5.28571428571428,59.4285714285714,8.47690689961983,15931.1817259624,16585.6016393823,1269.43123254042,150.515151515152,26964.9650599961,7892.24162985461,28053.9504079815,8230.44893382884,47.5326212185917,13.9459216334649,2147.06908082759,629.943318403519,1.21112028626479,31.4868804664723,0.26529034614893,2.13365843165914,23.5876165445643,2.02099416184549,0.242863948691047,0.410795660031235,0.120518951982024,8.56707833680153,23.5876165445643,2.02099416184549
