"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","cumIncidence","cumIncidence_U","cumIncidence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-03-13,1,0,0,1,0,0,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000172783490191945,0.000172783490191945,0.000172783490191945,NA,NA,NA
2020-03-14,2,0,0,1.5,0,0,0.5,0,0,NA,1.5,1.5,0.5,0,1.5,1.5,1.5,1.5,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,0.000259175235287918,0.000259175235287918,0.000259175235287918,NA,NA,NA
2020-03-15,3,0,0,2,0,0,0.5,0,0,NA,2,2,0.5,0,2,2,2,2,NA,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,0.00034556698038389,0.00034556698038389,0.00034556698038389,NA,NA,NA
2020-03-16,3,0,0,2.25,0,0,0.25,0,0,NA,2.25,2.25,0.25,0,2.25,2.25,2.25,2.25,NA,NA,0.25,0.25,NA,NA,NA,NA,NA,NA,0.000388762852931877,0.000388762852931877,0.000388762852931877,NA,NA,NA
2020-03-17,10,0,0,3.8,0,0,1.55,0,0,NA,4.65,4.65,2.4,0,4.65,3.8,3.8,3.8,NA,NA,1.55,1.55,NA,NA,NA,NA,NA,NA,0.000803443229392545,0.000656577262729392,0.000656577262729392,NA,NA,NA
2020-03-18,15,0,0,5.66666666666667,0,0,1.86666666666667,0,0,NA,6.51666666666667,6.51666666666667,1.86666666666667,0,6.51666666666667,5.66666666666667,5.66666666666667,5.66666666666667,99,57.2993685012896,1.86666666666667,1.86666666666667,NA,NA,NA,NA,60.3151247381996,40.1433691756272,0.00112597241108418,0.000979106444421023,0.000979106444421023,40.1433691756272,60.3151247381996,40.1433691756272
2020-03-19,18,0,0,7.42857142857143,0,0,1.76190476190476,0,0,NA,9.43783241000615,9.43783241000615,2.92116574333948,0,9.43783241000615,7.44636844636845,8.74157797544507,7.44636844636845,99,57.2993685012896,3.0749113087784,1.77970177970178,NA,NA,NA,NA,60.3151247381996,27.0369017172086,0.00163070162364752,0.00151040035238244,0.00128660952941871,44.8260727878181,60.3151247381996,27.0369017172086
2020-03-20,19,0,0,10,0,0,2.57142857142857,0,0,5.15759312320918,16.1486185771374,16.1486185771374,6.71078616713124,0,16.1486185771374,11.5348725348725,15.8055634145306,11.5348725348725,99,57.2993685012896,7.06398543908551,4.08850408850409,NA,NA,NA,NA,60.3151247381996,27.2459655958957,0.00279021467953628,0.00273094041121271,0.00199303553549449,71.105163512083,60.3151247381996,27.2459655958957
2020-03-21,23,0,0,13,0,0,3,0,0,4.57516339869281,21.1224953833641,21.1224953833641,4.97387680622668,0,21.1224953833641,14.5651755651756,21.0412232105587,14.5651755651756,99,57.2993685012896,5.23565979602809,3.03030303030303,NA,NA,NA,NA,60.3151247381996,18.5774404520724,0.00364961847390089,0.00363557598422809,0.00251662186940947,30.8006333945401,60.3151247381996,18.5774404520724
2020-03-22,24,0,0,16,0,0,3,0,0,4.57516339869281,26.0963721895907,26.0963721895907,4.97387680622668,0,26.2768830065868,17.5954785954786,26.2768830065868,17.5954785954786,99,57.2993685012896,5.23565979602809,3.03030303030303,NA,NA,NA,NA,60.3151247381996,14.2028673485368,0.0045090222682655,0.00454021155724347,0.00304020820332446,23.5477708289337,60.3151247381996,14.2028673485368
